cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
A,A_RAW,Raw,K-Means,NA,2,0.09854,455.37,2.9567,0.9649,0.019,"kmeans_stability (B=200, 80% subsample, ARI)",0.4569,0.5431,1.19,False,
A,A_RAW,Raw,K-Means,NA,3,0.08445,371.09,2.8211,0.8284,0.1256,"kmeans_stability (B=200, 80% subsample, ARI)",0.2842,0.4121,1.45,False,
A,A_RAW,Raw,K-Means,NA,4,0.08198,324.28,2.5721,0.732,0.1546,"kmeans_stability (B=200, 80% subsample, ARI)",0.1073,0.3891,3.63,False,
A,A_RAW,Raw,K-Means,NA,5,0.06351,294.04,2.6407,0.5132,0.1937,"kmeans_stability (B=200, 80% subsample, ARI)",0.0453,0.299,6.6,False,
A,A_RAW,Raw,K-Means,NA,6,0.06647,280.87,2.3906,0.7559,0.1619,"kmeans_stability (B=200, 80% subsample, ARI)",0.0031,0.2724,87.21,True,
A,A_RAW,Raw,K-Means,NA,7,0.06528,262.48,2.3882,0.6757,0.1634,"kmeans_stability (B=200, 80% subsample, ARI)",0.0031,0.2251,72.07,True,
A,A_RAW,Raw,GMM,full_cov,2,0.20709,159.35,4.2693,,,NA (not generated),0.1568,0.8432,5.38,False,BIC=209897; mean_max_posterior=0.976
A,A_RAW,Raw,GMM,full_cov,3,0.03805,143.8,4.3655,,,NA (not generated),0.0803,0.6321,7.87,False,BIC=207497; mean_max_posterior=0.929
A,A_RAW,Raw,GMM,full_cov,4,0.02411,166.72,3.8489,,,NA (not generated),0.0564,0.3969,7.03,False,BIC=206731; mean_max_posterior=0.889
A,A_RAW,Raw,GMM,full_cov,5,0.01644,159.53,3.7218,,,NA (not generated),0.0359,0.3173,8.83,False,BIC=206750; mean_max_posterior=0.868
A,A_RAW,Raw,GMM,full_cov,6,0.01829,169.55,3.2896,,,NA (not generated),0.0031,0.3041,97.36,True,BIC=206919; mean_max_posterior=0.856
A,A_RAW,Raw,GMM,full_cov,7,0.01477,151.48,3.3279,,,NA (not generated),0.0031,0.2784,89.14,True,BIC=207168; mean_max_posterior=0.858
A,A_RAW,Raw,Spectral,kNN_k10_NJW,2,0.09346,419.77,3.076,,,NA (not generated),0.4458,0.5542,1.24,False,eigengap_prev=0.07798; eigengap_next=0.01281
