matrix,cohort,scale,K,model_A,model_B,ARI
A_RAW,A,Raw,2,K-Means,GMM,0.04634
A_RAW,A,Raw,2,K-Means,Spectral,0.63718
A_RAW,A,Raw,2,K-Means,Hier-Ward,0.30306
A_RAW,A,Raw,2,GMM,Spectral,0.06075
A_RAW,A,Raw,2,GMM,Hier-Ward,0.02848
A_RAW,A,Raw,2,Spectral,Hier-Ward,0.2514
A_RAW,A,Raw,3,K-Means,GMM,0.12977
A_RAW,A,Raw,3,K-Means,Spectral,0.32609
A_RAW,A,Raw,3,K-Means,Hier-Ward,0.2127
A_RAW,A,Raw,3,GMM,Spectral,0.0452
A_RAW,A,Raw,3,GMM,Hier-Ward,0.02792
A_RAW,A,Raw,3,Spectral,Hier-Ward,0.26405
A_RAW,A,Raw,4,K-Means,GMM,0.16476
A_RAW,A,Raw,4,K-Means,Spectral,0.3811
A_RAW,A,Raw,4,K-Means,Hier-Ward,0.20936
A_RAW,A,Raw,4,GMM,Spectral,0.1983
A_RAW,A,Raw,4,GMM,Hier-Ward,0.13054
A_RAW,A,Raw,4,Spectral,Hier-Ward,0.27714
A_RAW,A,Raw,5,K-Means,GMM,0.15425
A_RAW,A,Raw,5,K-Means,Spectral,0.36038
A_RAW,A,Raw,5,K-Means,Hier-Ward,0.18427
A_RAW,A,Raw,5,GMM,Spectral,0.17396
A_RAW,A,Raw,5,GMM,Hier-Ward,0.10646
A_RAW,A,Raw,5,Spectral,Hier-Ward,0.24114
A_RAW,A,Raw,6,K-Means,GMM,0.15762
A_RAW,A,Raw,6,K-Means,Spectral,0.38809
A_RAW,A,Raw,6,K-Means,Hier-Ward,0.24996
A_RAW,A,Raw,6,GMM,Spectral,0.18228
A_RAW,A,Raw,6,GMM,Hier-Ward,0.09465
A_RAW,A,Raw,6,Spectral,Hier-Ward,0.19515
A_RAW,A,Raw,7,K-Means,GMM,0.17102
A_RAW,A,Raw,7,K-Means,Spectral,0.38141
A_RAW,A,Raw,7,K-Means,Hier-Ward,0.21206
A_RAW,A,Raw,7,GMM,Spectral,0.15813
A_RAW,A,Raw,7,GMM,Hier-Ward,0.08852
A_RAW,A,Raw,7,Spectral,Hier-Ward,0.1432
A_LOG,A,Log1p,2,K-Means,GMM,0.01435
A_LOG,A,Log1p,2,K-Means,Spectral,0.69326
A_LOG,A,Log1p,2,K-Means,Hier-Ward,0.32762
A_LOG,A,Log1p,2,GMM,Spectral,-0.00616
A_LOG,A,Log1p,2,GMM,Hier-Ward,-0.01196
A_LOG,A,Log1p,2,Spectral,Hier-Ward,0.35909
A_LOG,A,Log1p,3,K-Means,GMM,0.14773
A_LOG,A,Log1p,3,K-Means,Spectral,0.48903
A_LOG,A,Log1p,3,K-Means,Hier-Ward,0.29159
A_LOG,A,Log1p,3,GMM,Spectral,0.12156
A_LOG,A,Log1p,3,GMM,Hier-Ward,0.08964
A_LOG,A,Log1p,3,Spectral,Hier-Ward,0.3685
A_LOG,A,Log1p,4,K-Means,GMM,0.18835
A_LOG,A,Log1p,4,K-Means,Spectral,0.65071
A_LOG,A,Log1p,4,K-Means,Hier-Ward,0.33256
A_LOG,A,Log1p,4,GMM,Spectral,0.17478
A_LOG,A,Log1p,4,GMM,Hier-Ward,0.1304
A_LOG,A,Log1p,4,Spectral,Hier-Ward,0.35838
A_LOG,A,Log1p,5,K-Means,GMM,0.20097
A_LOG,A,Log1p,5,K-Means,Spectral,0.54704
A_LOG,A,Log1p,5,K-Means,Hier-Ward,0.2225
A_LOG,A,Log1p,5,GMM,Spectral,0.23353
A_LOG,A,Log1p,5,GMM,Hier-Ward,0.20838
A_LOG,A,Log1p,5,Spectral,Hier-Ward,0.28261
A_LOG,A,Log1p,6,K-Means,GMM,0.21189
A_LOG,A,Log1p,6,K-Means,Spectral,0.43513
A_LOG,A,Log1p,6,K-Means,Hier-Ward,0.2323
A_LOG,A,Log1p,6,GMM,Spectral,0.21203
A_LOG,A,Log1p,6,GMM,Hier-Ward,0.18042
A_LOG,A,Log1p,6,Spectral,Hier-Ward,0.23277
A_LOG,A,Log1p,7,K-Means,GMM,0.19878
A_LOG,A,Log1p,7,K-Means,Spectral,0.49806
A_LOG,A,Log1p,7,K-Means,Hier-Ward,0.2351
A_LOG,A,Log1p,7,GMM,Spectral,0.22277
