matrix,cohort,scale,K,model_A,model_B,NMI
A_RAW,A,Raw,2,K-Means,GMM,0.0463
A_RAW,A,Raw,2,K-Means,Spectral,0.52661
A_RAW,A,Raw,2,K-Means,Hier-Ward,0.23464
A_RAW,A,Raw,2,GMM,Spectral,0.05775
A_RAW,A,Raw,2,GMM,Hier-Ward,0.0514
A_RAW,A,Raw,2,Spectral,Hier-Ward,0.19398
A_RAW,A,Raw,3,K-Means,GMM,0.10093
A_RAW,A,Raw,3,K-Means,Spectral,0.34511
A_RAW,A,Raw,3,K-Means,Hier-Ward,0.18724
A_RAW,A,Raw,3,GMM,Spectral,0.05859
A_RAW,A,Raw,3,GMM,Hier-Ward,0.04772
A_RAW,A,Raw,3,Spectral,Hier-Ward,0.24881
A_RAW,A,Raw,4,K-Means,GMM,0.16199
A_RAW,A,Raw,4,K-Means,Spectral,0.40973
A_RAW,A,Raw,4,K-Means,Hier-Ward,0.20727
A_RAW,A,Raw,4,GMM,Spectral,0.20117
A_RAW,A,Raw,4,GMM,Hier-Ward,0.14661
A_RAW,A,Raw,4,Spectral,Hier-Ward,0.29696
A_RAW,A,Raw,5,K-Means,GMM,0.20754
A_RAW,A,Raw,5,K-Means,Spectral,0.43833
A_RAW,A,Raw,5,K-Means,Hier-Ward,0.22633
A_RAW,A,Raw,5,GMM,Spectral,0.21999
A_RAW,A,Raw,5,GMM,Hier-Ward,0.15084
A_RAW,A,Raw,5,Spectral,Hier-Ward,0.28566
A_RAW,A,Raw,6,K-Means,GMM,0.20661
A_RAW,A,Raw,6,K-Means,Spectral,0.48354
A_RAW,A,Raw,6,K-Means,Hier-Ward,0.28622
A_RAW,A,Raw,6,GMM,Spectral,0.23043
A_RAW,A,Raw,6,GMM,Hier-Ward,0.16324
A_RAW,A,Raw,6,Spectral,Hier-Ward,0.27903
A_RAW,A,Raw,7,K-Means,GMM,0.21671
A_RAW,A,Raw,7,K-Means,Spectral,0.46976
A_RAW,A,Raw,7,K-Means,Hier-Ward,0.27084
A_RAW,A,Raw,7,GMM,Spectral,0.22102
A_RAW,A,Raw,7,GMM,Hier-Ward,0.15594
A_RAW,A,Raw,7,Spectral,Hier-Ward,0.25101
A_LOG,A,Log1p,2,K-Means,GMM,0.01971
A_LOG,A,Log1p,2,K-Means,Spectral,0.62414
A_LOG,A,Log1p,2,K-Means,Hier-Ward,0.26608
A_LOG,A,Log1p,2,GMM,Spectral,0.01604
A_LOG,A,Log1p,2,GMM,Hier-Ward,0.01381
A_LOG,A,Log1p,2,Spectral,Hier-Ward,0.26959
A_LOG,A,Log1p,3,K-Means,GMM,0.11653
A_LOG,A,Log1p,3,K-Means,Spectral,0.47186
A_LOG,A,Log1p,3,K-Means,Hier-Ward,0.25967
A_LOG,A,Log1p,3,GMM,Spectral,0.12032
A_LOG,A,Log1p,3,GMM,Hier-Ward,0.08633
A_LOG,A,Log1p,3,Spectral,Hier-Ward,0.31887
A_LOG,A,Log1p,4,K-Means,GMM,0.18506
A_LOG,A,Log1p,4,K-Means,Spectral,0.60149
A_LOG,A,Log1p,4,K-Means,Hier-Ward,0.30451
A_LOG,A,Log1p,4,GMM,Spectral,0.18111
A_LOG,A,Log1p,4,GMM,Hier-Ward,0.1437
A_LOG,A,Log1p,4,Spectral,Hier-Ward,0.32372
A_LOG,A,Log1p,5,K-Means,GMM,0.23826
A_LOG,A,Log1p,5,K-Means,Spectral,0.56576
