K,cohort,mean_silhouette_primary_models,max_silhouette_primary_models,kmeans_stability_mean_ari,hierarchical_ward_stability_mean_ari,mean_cross_model_ari_raw,mean_cross_model_ari_log,any_small_cluster_flag,gmm_bic_minima_count,spectral_eigengap_K3_signal_count,raw_log_cross_ari_diff
2,A,0.1035,0.2071,0.9577,0.2218,0.2212,0.2294,False,0,0,0.0082
2,B,0.1102,0.158,0.799,0.1673,0.1153,0.1573,False,2,0,0.042
3,A,0.0565,0.0844,0.8305,0.1978,0.1676,0.2513,True,1,0,0.0837
3,B,0.0776,0.1005,0.8301,0.2981,0.2632,0.3395,False,0,2,0.0763
4,A,0.0552,0.0838,0.826,0.2078,0.2269,0.3059,True,1,0,0.079
4,B,0.0697,0.0873,0.7951,0.3326,0.3669,0.396,False,0,0,0.0291
5,A,0.0437,0.0646,0.6912,0.1925,0.2034,0.2825,True,0,0,0.0791
5,B,0.0615,0.0855,0.707,0.3579,0.3614,0.4,False,0,0,0.0386
6,A,0.0366,0.0665,0.7088,0.1812,0.2113,0.2508,True,0,0,0.0395
6,B,0.0583,0.0741,0.6136,0.3508,0.3467,0.4439,False,0,0,0.0972
7,A,0.0361,0.0653,0.6996,0.1783,0.1924,0.261,True,0,0,0.0686
7,B,0.0511,0.0712,0.5525,0.3408,0.3393,0.4099,False,0,0,0.0707
