SEQN,K2_cluster,K2_max_posterior,K2_norm_entropy,K3_cluster,K3_max_posterior,K3_norm_entropy,K4_cluster,K4_max_posterior,K4_norm_entropy,K5_cluster,K5_max_posterior,K5_norm_entropy,K6_cluster,K6_max_posterior,K6_norm_entropy,K7_cluster,K7_max_posterior,K7_norm_entropy
93705.0,0,0.8955481981002448,0.4829506758678807,1,0.8818335552160863,0.33065017336717,0,0.939066056262453,0.1655797643694314,2,0.9936149562340802,0.024006622991972412,1,0.9978159788979257,0.008700272577855135,1,0.9910830424109469,0.026200135119806706
93708.0,1,0.9997853353958253,0.002925485339834639,1,0.9985626783575873,0.00992785723377867,1,0.8921231223436876,0.24864922316547614,2,0.9166314019082975,0.17933097491026545,2,0.8492346063087081,0.26008484785686264,1,0.981985334597354,0.05118966969489036
93709.0,1,0.9954243314167308,0.042147357600029585,1,0.999325102544921,0.005191903185344398,0,0.9990073818966647,0.005850699527724767,2,0.9494902427360278,0.13008636926006742,3,0.5539425091570789,0.4329643608989835,1,0.9482734943608665,0.1187944323487824
93711.0,1,0.9998810770301285,0.0017220395950474105,1,0.966357859077591,0.13412346276022075,1,0.7704966467910115,0.39294385848568547,2,0.7728190931300531,0.3662437112919226,2,0.6968364307098134,0.4112963183247303,1,0.7443238144733975,0.38635024842977694
93713.0,1,0.9997099383672516,0.0038270263915147506,1,0.9822054548101716,0.08139392195819539,0,0.9390058309597132,0.17988342111765773,3,0.49181431361859523,0.6252828120330111,3,0.685906628064348,0.40264802787288767,1,0.5887913541397826,0.5385056822486652
93714.0,1,0.9886309036627804,0.08973856617430566,1,0.9926196100295278,0.044018590898918394,0,0.9840912088570714,0.06105915785058354,3,0.9678411319768482,0.10356478538633881,3,0.8913655692964271,0.23446727320045177,5,0.9551931258251466,0.10972837746848213
93715.0,1,0.9950466424071968,0.04505818536059722,2,0.9983446287527962,0.011177513511603914,1,0.6746105035803326,0.45853805713259566,0,0.6683438655065729,0.5176672519516292,0,0.9997778369238983,0.0012761011428067586,2,0.9981735717575081,0.007238137565624225
93716.0,1,0.9992944101173681,0.00840432939019289,2,0.9816651553809458,0.08340946305466891,0,0.8441984327248412,0.3406784624193406,3,0.9429788331333975,0.1561075151807092,3,0.9700716877571878,0.08834916623248175,5,0.9652578503485557,0.09575436062450654
93717.0,1,0.9999438588775846,0.0008737375997658482,1,0.9518535777785714,0.1757104075264153,1,0.8046797608931248,0.3622824311832046,0,0.8638631159995243,0.3072000106031036,2,0.8183693165322076,0.3353523709929514,3,0.7757647183643348,0.3595235213726544
93718.0,1,0.9999900908059353,0.0001790144337712552,1,0.9950943985010616,0.028199299194103838,1,0.8397410855431232,0.31834232193733464,0,0.9592532285962306,0.11963328579802081,2,0.9730071706607616,0.08075206719828738,3,0.9000360466996569,0.1976977578923042
93721.0,1,0.6426763925204909,0.9404391317576477,2,0.9996847506106735,0.0026003948005188125,2,0.9984569337078101,0.008414179351918847,3,0.8310450959481791,0.2823183423476929,0,0.9507622311511071,0.11049037989325211,2,0.9691328915156151,0.08102058318885862
93722.0,1,0.9999572014210641,0.0006828402740619009,1,0.9914905691226842,0.04464940507827063,1,0.9760518079947333,0.08185344301742203,0,0.8050026773077394,0.3127494208232344,2,0.9653401202536285,0.0873250062035673,1,0.4909989090722065,0.41987005894938634
93723.0,1,0.999974043670789,0.00043285372681101667,1,0.9438548055507717,0.19682067585885804,1,0.8063164550337093,0.36339465102811463,0,0.8786680460784607,0.2775585946395891,2,0.9679016622290115,0.08909907544467235,3,0.6386241438025694,0.4188276449640107
93726.0,1,0.8045862927094404,0.712660128459761,2,0.9782319743298425,0.09691800529176625,2,0.9253982134843252,0.2332328154069427,3,0.9777026849406457,0.0727435923215379,0,0.5748255630984996,0.6155628317709007,5,0.6034848548519101,0.4966879507963586
93728.0,1,0.9737383296937633,0.17528301206936123,1,0.9970324443870161,0.020126798329298895,0,0.9915971349387909,0.040233509591438954,2,0.9751379843160968,0.08650257740189415,1,0.5003737050158614,0.5277975265510907,1,0.8517040329134534,0.26759084639725533
93729.0,1,0.9999500800107741,0.0007853753100348545,1,0.9581686033497712,0.15813798837252996,1,0.6824489178718697,0.45900337160923504,0,0.7735563356976167,0.3897625265232466,2,0.774068379422039,0.3220512452615799,3,0.9132882867409197,0.19162941471829376
93730.0,1,0.9971132776052984,0.02851204916730648,2,0.5658787246564374,0.6252655273713824,1,0.8623794128507833,0.3561413758898804,3,0.8621900835406593,0.3400755280491765,3,0.4466968899958054,0.644420841130088,5,0.5242259880814852,0.5480995662090987
93731.0,1,0.9997484092844546,0.003371101041190842,1,0.8914207764878915,0.312808613357467,1,0.935931762397876,0.18239481869430596,0,0.7555350670692073,0.4028176137399346,2,0.8230949235502231,0.3124023750541975,3,0.8976515079896612,0.22258529961725573
