matrix_name,N,feature_count,K,covariance_type,BIC,AIC,log_likelihood,average_log_likelihood,silhouette,CH,DB,min_cluster_proportion,max_cluster_proportion,cluster_counts,cluster_proportions,mean_max_posterior,median_max_posterior,proportion_max_posterior_ge_0.50,proportion_max_posterior_ge_0.60,proportion_max_posterior_ge_0.70,proportion_max_posterior_ge_0.80,proportion_max_posterior_ge_0.90,mean_entropy,median_entropy,std_entropy,entropy_p5,entropy_p25,entropy_p75,entropy_p95,mean_norm_entropy,median_norm_entropy,convergence_status,n_iter,warnings,random_state,n_init,sklearn_version,runtime_seconds
A_RAW,4482,19,2,full,209896.78515867505,207211.90662849785,-103186.95331424892,-23.02252416649909,0.20708950381675137,159.3513612681257,4.26934823479659,0.15684962070504238,0.8431503792949576,"{""0"": 703, ""1"": 3779}","[0.1568, 0.8432]",0.975663967314908,0.9996845268468498,1.0,0.9863900044622936,0.9725568942436412,0.9560464078536368,0.926149040606872,0.06202056629382789,0.002858590316055113,0.14796673950691325,1.7825899419946985e-06,0.0004483893395671244,0.025711100120431946,0.45838256256175,0.08947676342523071,0.004124074072905926,CONVERGED,18,None,42,25,1.4.1.post1,23.347798824310303
A_RAW,4482,19,3,full,207497.17548265128,203466.65377505828,-101104.32688752914,-22.557859635771784,0.03804855826822855,143.7953225061114,4.365456180698137,0.08032128514056225,0.6320838911200357,"{""0"": 360, ""1"": 2833, ""2"": 1289}","[0.0803, 0.6321, 0.2876]",0.9289171109156988,0.9851068692306788,0.999330655957162,0.9629629629629629,0.926149040606872,0.8699241410084784,0.7759928603302098,0.18116770271868582,0.07822964282629852,0.2181804301246054,0.00025649286120455877,0.015657263042996562,0.28838571470101015,0.6644704699209292,0.16490594961241734,0.07120768958550366,CONVERGED,24,None,42,25,1.4.1.post1,32.66695976257324
A_RAW,4482,19,4,full,206730.53694068757,201354.3720556788,-99838.1860278394,-22.27536502182941,0.024111121357614583,166.72403653788436,3.8488729271457482,0.056448014279339584,0.3969210174029451,"{""0"": 1779, ""1"": 1765, ""2"": 685, ""3"": 253}","[0.3969, 0.3938, 0.1528, 0.0564]",0.8893690539393737,0.9612582717139739,0.9910754127621597,0.92904953145917,0.8612226684515841,0.7757697456492637,0.6470325747434181,0.2731634086956664,0.17397923475311838,0.2678026121467988,4.1680723337324864e-06,0.03383419092534974,0.49498503840155245,0.7338359007697131,0.19704574753878157,0.12549948959799034,CONVERGED,38,None,42,25,1.4.1.post1,38.15027737617493
A_RAW,4482,19,5,full,206750.25079697586,200028.4427345513,-98965.22136727565,-22.080593790110587,0.01643904038723337,159.53335947921238,3.721750732325508,0.035921463632307006,0.3172690763052209,"{""0"": 1342, ""1"": 161, ""2"": 1057, ""3"": 1422, ""4"": 500}","[0.2994, 0.0359, 0.2358, 0.3173, 0.1116]",0.8681022509234674,0.9474605699539191,0.9676483712628291,0.8962516733601071,0.8203926818384649,0.7278000892458724,0.6001784917447568,0.33362288124054784,0.22454297005796048,0.31875519744723,5.412745313566849e-05,0.04552791053609121,0.6002836785807278,0.9374731587696727,0.20729155108318495,0.13951639160678375,CONVERGED,19,None,42,25,1.4.1.post1,51.50420594215393
A_RAW,4482,19,6,full,206919.1855362521,198851.73429641177,-98166.86714820589,-21.902469243240937,0.018287348595016732,169.54853830066045,3.2896027446198084,0.0031236055332440876,0.3041053101294065,"{""0"": 941, ""1"": 490, ""2"": 1326, ""3"": 1363, ""4"": 348, ""5"": 14}","[0.21, 0.1093, 0.2959, 0.3041, 0.0776, 0.0031]",0.8555855559129896,0.934502980885192,0.9596162427487729,0.8788487282463187,0.7909415439535922,0.7014725568942436,0.5662650602409639,0.3673425251235178,0.2730648124653921,0.3393653938238841,3.242793641091686e-05,0.05166238230375318,0.6481189207593405,1.001906480617013,0.20501776685560383,0.1524003735741588,CONVERGED,21,None,42,25,1.4.1.post1,70.54581952095032
A_RAW,4482,19,7,full,207167.9334809488,197754.83906369266,-97408.41953184633,-21.733248445302618,0.014770172730433156,151.47798872962474,3.3278805432877028,0.0031236055332440876,0.2784471218206158,"{""0"": 252, ""1"": 918, ""2"": 706, ""3"": 1248, ""4"": 14, ""5"": 1076, ""6"": 268}","[0.0562, 0.2048, 0.1575, 0.2784, 0.0031, 0.2401, 0.0598]",0.8579561475154673,0.9383234209640694,0.9535921463632308,0.8777331548415885,0.8032128514056225,0.7097278000892459,0.5769745649263721,0.37852487306134175,0.2644784382854821,0.35993666334599667,0.00045031060646691026,0.051346345741267924,0.6560312145353939,1.0632944160037492,0.19452330481194383,0.13591503102744967,CONVERGED,38,None,42,25,1.4.1.post1,91.0514485836029
A_LOG,4482,19,2,full,217232.90003569025,214548.02150551305,-106855.01075275653,-23.84092163158334,0.13250467409076228,119.34672930604728,5.296616178625947,0.2110664881749219,0.7889335118250781,"{""0"": 3536, ""1"": 946}","[0.7889, 0.2111]",0.944691917877446,0.9933591805849286,1.0,0.9703257474341812,0.9428826416778224,0.9004908522980812,0.8279785809906292,0.14113494229505144,0.03991923592159689,0.1973777865819516,0.0003844584827402175,0.008347985205098045,0.19184088235148433,0.6309573722461079,0.20361468134522076,0.05759128370016442,CONVERGED,20,None,42,25,1.4.1.post1,19.29973864555359
A_LOG,4482,19,3,full,216679.517939971,212648.996232378,-105695.498116189,-23.582217339622712,0.04061740588058563,164.9725856876266,4.72229504801917,0.10553324408746095,0.45805443998215084,"{""0"": 1956, ""1"": 2053, ""2"": 473}","[0.4364, 0.4581, 0.1055]",0.8666649303030273,0.9322395079304557,0.9933065595716198,0.9087460954930835,0.823516287371709,0.7173136992414101,0.572289156626506,0.3136577736889089,0.25800067433625873,0.266030152321793,0.0008372283842183857,0.0560304388901282,0.5573682003849096,0.7171666314273188,0.28550360934808794,0.2348423342770387,CONVERGED,20,None,42,25,1.4.1.post1,33.07221508026123
A_LOG,4482,19,4,full,216907.67300075147,211531.5081157427,-104926.75405787135,-23.410699254322033,0.03002045524631023,161.8615877674876,4.737397834251048,0.0749665327978581,0.3536367692994199,"{""0"": 1449, ""1"": 1585, ""2"": 336, ""3"": 1112}","[0.3233, 0.3536, 0.075, 0.2481]",0.8385289155001708,0.9083205822694627,0.9504685408299867,0.8605533244087461,0.7677376171352075,0.6613119143239625,0.5124944221329764,0.39783497044907234,0.34372811956130167,0.3319788787995977,0.0019465613683637322,0.07650436659777209,0.6832720773119464,0.9823339357623091,0.28697726947954194,0.2479474267525893,CONVERGED,28,None,42,25,1.4.1.post1,40.453802824020386
A_LOG,4482,19,5,full,217417.2721042511,210695.46404182655,-104298.73202091327,-23.27057831791907,0.03236622880609889,173.15114590685465,4.3515142476703845,0.06269522534582775,0.2646140116019634,"{""0"": 816, ""1"": 1043, ""2"": 1186, ""3"": 1156, ""4"": 281}","[0.1821, 0.2327, 0.2646, 0.2579, 0.0627]",0.8307576558099207,0.9006709024549212,0.9377510040160643,0.8516287371709058,0.7617135207496654,0.6490406068719322,0.501784917447568,0.4346022065425709,0.3711478057039811,0.36209745886296896,0.003145520055066153,0.08929478356224167,0.7128734267459648,1.084823367791445,0.2700335335615912,0.23060709756902664,CONVERGED,19,None,42,25,1.4.1.post1,49.58879065513611
