matrix_name,cohort,N,n_features,min_cluster_size,min_samples_setting,min_samples_value,n_clusters_excluding_noise,n_noise_points,noise_fraction,n_non_noise_points,non_noise_fraction,cluster_sizes,cluster_proportions,min_cluster_size_actual,max_cluster_size_actual,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
A_LOG,Cohort_A,4482,19,10,5,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}","[0.0045, 0.0058]",20,26,0.3009,25.63,1.273,0.9899,0.9956,0.0102,5.837,1.4.1.post1
A_LOG,Cohort_A,4482,19,10,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.128,1.4.1.post1
A_LOG,Cohort_A,4482,19,10,default,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.95,1.4.1.post1
A_LOG,Cohort_A,4482,19,15,5,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}","[0.0045, 0.0058]",20,26,0.3009,25.63,1.273,0.9967,1.0,0.0102,4.609,1.4.1.post1
A_LOG,Cohort_A,4482,19,15,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.113,1.4.1.post1
A_LOG,Cohort_A,4482,19,15,default,15,2,4451,0.9931,31,0.0069,"{""0"": 15, ""1"": 16}","[0.0033, 0.0036]",15,16,0.2925,16.92,1.292,0.9997,1.0,0.0069,5.682,1.4.1.post1
A_LOG,Cohort_A,4482,19,25,5,5,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,6.896,1.4.1.post1
A_LOG,Cohort_A,4482,19,25,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.061,1.4.1.post1
A_LOG,Cohort_A,4482,19,25,default,25,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,4.533,1.4.1.post1
A_LOG,Cohort_A,4482,19,50,5,5,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,6.319,1.4.1.post1
A_LOG,Cohort_A,4482,19,50,10,10,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.111,1.4.1.post1
A_LOG,Cohort_A,4482,19,50,default,50,0,4482,1.0,0,0.0,{},[],0,0,,,,,,0.0,5.378,1.4.1.post1
