matrix_name,cohort,N,n_features,min_cluster_size,min_samples_setting,min_samples_value,n_clusters_excluding_noise,n_noise_points,noise_fraction,n_non_noise_points,non_noise_fraction,cluster_sizes,cluster_proportions,min_cluster_size_actual,max_cluster_size_actual,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
B_LOG,Cohort_B,967,24,5,3,3,2,468,0.484,499,0.516,"{""0"": 494, ""1"": 5}","[0.0052, 0.5109]",5,494,0.0573,4.53,1.66,0.9482,0.9501,0.4893,0.441,1.4.1.post1
B_LOG,Cohort_B,967,24,5,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}","[0.0186, 0.0465]",18,45,0.2259,18.64,1.583,0.9498,0.9455,0.0619,0.336,1.4.1.post1
B_LOG,Cohort_B,967,24,5,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.311,1.4.1.post1
B_LOG,Cohort_B,967,24,10,3,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}","[0.0445, 0.0858]",43,83,0.1912,31.49,1.846,0.9634,0.9652,0.1255,0.228,1.4.1.post1
B_LOG,Cohort_B,967,24,10,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}","[0.0186, 0.0465]",18,45,0.2259,18.64,1.583,0.9747,0.976,0.0635,0.253,1.4.1.post1
B_LOG,Cohort_B,967,24,10,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.276,1.4.1.post1
B_LOG,Cohort_B,967,24,15,3,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}","[0.0445, 0.0858]",43,83,0.1912,31.49,1.846,0.9732,0.9778,0.1268,0.249,1.4.1.post1
B_LOG,Cohort_B,967,24,15,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}","[0.0186, 0.0465]",18,45,0.2259,18.64,1.583,0.9871,1.0,0.0643,0.235,1.4.1.post1
B_LOG,Cohort_B,967,24,15,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.235,1.4.1.post1
B_LOG,Cohort_B,967,24,25,3,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}","[0.0445, 0.0858]",43,83,0.1912,31.49,1.846,0.9866,0.9973,0.1285,0.246,1.4.1.post1
B_LOG,Cohort_B,967,24,25,5,5,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.245,1.4.1.post1
B_LOG,Cohort_B,967,24,25,10,10,0,967,1.0,0,0.0,{},[],0,0,,,,,,0.0,0.232,1.4.1.post1
