matrix_name,N,n_features,min_cluster_size,min_samples_setting,min_samples_value,n_clusters_found,n_noise_samples,noise_proportion,n_non_noise_samples,non_noise_proportion,cluster_sizes,min_cluster_size_actual,max_cluster_size_actual,min_cluster_proportion_actual,max_cluster_proportion_actual,mean_membership_prob_non_noise,median_membership_prob_non_noise,mean_membership_prob_all,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,sklearn_version,runtime_seconds
B_LOG,967,24,10,default (min_cluster_size),10,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.332
B_LOG,967,24,10,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}",18,45,0.0186,0.0465,0.9747,0.976,0.0635,0.2259,18.64,1.583,1.4.1.post1,0.316
B_LOG,967,24,10,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.296
B_LOG,967,24,25,default (min_cluster_size),25,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.225
B_LOG,967,24,25,5,5,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.218
B_LOG,967,24,25,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.239
B_LOG,967,24,50,default (min_cluster_size),50,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.269
B_LOG,967,24,50,5,5,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.251
B_LOG,967,24,50,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.229
B_LOG,967,24,100,default (min_cluster_size),100,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.284
B_LOG,967,24,100,5,5,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.218
B_LOG,967,24,100,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.214
