matrix_name,N,n_features,min_cluster_size,min_samples_setting,min_samples_value,n_clusters_found,n_noise_samples,noise_proportion,n_non_noise_samples,non_noise_proportion,cluster_sizes,min_cluster_size_actual,max_cluster_size_actual,min_cluster_proportion_actual,max_cluster_proportion_actual,mean_membership_prob_non_noise,median_membership_prob_non_noise,mean_membership_prob_all,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,sklearn_version,runtime_seconds
B_RAW,967,24,10,default (min_cluster_size),10,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.296
B_RAW,967,24,10,5,5,2,919,0.9504,48,0.0496,"{""0"": 10, ""1"": 38}",10,38,0.0103,0.0393,0.9777,0.9913,0.0485,0.2309,12.93,1.426,1.4.1.post1,0.237
B_RAW,967,24,10,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.349
B_RAW,967,24,25,default (min_cluster_size),25,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.424
B_RAW,967,24,25,5,5,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.437
B_RAW,967,24,25,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.404
B_RAW,967,24,50,default (min_cluster_size),50,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.411
B_RAW,967,24,50,5,5,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.268
B_RAW,967,24,50,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.332
B_RAW,967,24,100,default (min_cluster_size),100,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.468
B_RAW,967,24,100,5,5,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.38
B_RAW,967,24,100,15,15,0,967,1.0,0,0.0,{},0,0,0.0,0.0,,,0.0,,,,1.4.1.post1,0.372
