matrix,N,dimensionality,min_cluster_size,min_samples,number_of_clusters_excluding_noise,number_of_noise_points,noise_fraction,number_of_non_noise_points,non_noise_fraction,cluster_sizes,minimum_cluster_size_actual,maximum_cluster_size_actual,min_cluster_proportion_cohort,max_cluster_proportion_cohort,mean_cluster_proportion_non_noise,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
A_LOG,4482,19,3,2,3,81,0.0181,4401,0.9819,"{""0"": 3, ""1"": 4393, ""2"": 5}",3,4393,0.00067,0.98014,0.33333,0.2874,12.06,1.076,0.9976,1.0,0.9796,4.932,1.4.1.post1
A_LOG,4482,19,3,3,3,428,0.0955,4054,0.9045,"{""0"": 3, ""1"": 4046, ""2"": 5}",3,4046,0.00067,0.90272,0.33333,0.2621,10.2,1.114,0.9825,1.0,0.8887,4.125,1.4.1.post1
A_LOG,4482,19,3,5,2,1228,0.274,3254,0.726,"{""0"": 3250, ""1"": 4}",4,3250,0.00089,0.72512,0.5,0.2077,8.15,1.018,0.9655,1.0,0.701,4.669,1.4.1.post1
A_LOG,4482,19,5,2,3,300,0.0669,4182,0.9331,"{""0"": 5, ""1"": 4172, ""2"": 5}",5,4172,0.00112,0.93083,0.33333,0.2549,11.8,1.336,0.9869,1.0,0.9208,5.049,1.4.1.post1
A_LOG,4482,19,5,3,2,431,0.0962,4051,0.9038,"{""0"": 4046, ""1"": 5}",5,4046,0.00112,0.90272,0.5,0.275,12.24,0.993,0.9825,1.0,0.888,4.105,1.4.1.post1
A_LOG,4482,19,5,5,4,4425,0.9873,57,0.0127,"{""0"": 5, ""1"": 6, ""2"": 26, ""3"": 20}",5,26,0.00112,0.0058,0.25,0.1735,14.98,1.477,0.985,0.9951,0.0125,6.675,1.4.1.post1
A_LOG,4482,19,7,2,2,1058,0.2361,3424,0.7639,"{""0"": 3417, ""1"": 7}",7,3417,0.00156,0.76238,0.5,0.2316,14.99,1.055,0.9937,1.0,0.7591,6.007,1.4.1.post1
A_LOG,4482,19,7,3,3,3764,0.8398,718,0.1602,"{""0"": 7, ""1"": 698, ""2"": 13}",7,698,0.00156,0.15573,0.33333,-0.0089,6.95,1.975,0.9951,1.0,0.1594,4.0,1.4.1.post1
A_LOG,4482,19,7,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}",20,26,0.00446,0.0058,0.5,0.3009,25.63,1.273,0.984,0.9857,0.0101,4.095,1.4.1.post1
A_LOG,4482,19,10,2,3,3406,0.7599,1076,0.2401,"{""0"": 13, ""1"": 1044, ""2"": 19}",13,1044,0.0029,0.23293,0.33333,-0.0022,10.08,2.159,0.9958,1.0,0.2391,3.886,1.4.1.post1
A_LOG,4482,19,10,3,2,3771,0.8414,711,0.1586,"{""0"": 698, ""1"": 13}",13,698,0.0029,0.15573,0.5,0.0318,8.58,2.028,0.9684,0.9678,0.1536,4.552,1.4.1.post1
A_LOG,4482,19,10,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}",20,26,0.00446,0.0058,0.5,0.3009,25.63,1.273,0.9899,0.9956,0.0102,5.71,1.4.1.post1
