matrix,N,dimensionality,min_cluster_size,min_samples,number_of_clusters_excluding_noise,number_of_noise_points,noise_fraction,number_of_non_noise_points,non_noise_fraction,cluster_sizes,minimum_cluster_size_actual,maximum_cluster_size_actual,min_cluster_proportion_cohort,max_cluster_proportion_cohort,mean_cluster_proportion_non_noise,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
A_RAW,4482,19,3,2,2,4,0.0009,4478,0.9991,"{""0"": 4475, ""1"": 3}",3,4475,0.00067,0.99844,0.5,0.7471,82.62,0.357,0.9983,1.0,0.9974,4.892,1.4.1.post1
A_RAW,4482,19,3,3,2,5,0.0011,4477,0.9989,"{""0"": 4474, ""1"": 3}",3,4474,0.00067,0.99822,0.5,0.7474,82.84,0.357,0.9978,1.0,0.9967,5.634,1.4.1.post1
A_RAW,4482,19,3,5,3,3949,0.8811,533,0.1189,"{""0"": 3, ""1"": 525, ""2"": 5}",3,525,0.00067,0.11714,0.33333,-0.0025,4.6,1.449,0.9943,1.0,0.1182,4.892,1.4.1.post1
A_RAW,4482,19,5,2,3,383,0.0855,4099,0.9145,"{""0"": 6, ""1"": 4088, ""2"": 5}",5,4088,0.00112,0.91209,0.33333,0.2602,16.01,0.972,0.9901,1.0,0.9055,4.985,1.4.1.post1
A_RAW,4482,19,5,3,2,515,0.1149,3967,0.8851,"{""0"": 3962, ""1"": 5}",5,3962,0.00112,0.88398,0.5,0.294,13.16,0.96,0.8828,0.8969,0.7813,3.978,1.4.1.post1
A_RAW,4482,19,5,5,2,3952,0.8817,530,0.1183,"{""0"": 525, ""1"": 5}",5,525,0.00112,0.11714,0.5,0.0594,4.79,1.559,0.9943,1.0,0.1176,5.408,1.4.1.post1
A_RAW,4482,19,7,2,2,998,0.2227,3484,0.7773,"{""0"": 3477, ""1"": 7}",7,3477,0.00156,0.77577,0.5,0.3076,19.54,0.935,0.971,1.0,0.7548,5.619,1.4.1.post1
A_RAW,4482,19,7,3,2,3598,0.8028,884,0.1972,"{""0"": 873, ""1"": 11}",11,873,0.00245,0.19478,0.5,0.0683,7.45,2.126,0.9952,1.0,0.1963,5.209,1.4.1.post1
A_RAW,4482,19,7,5,2,4357,0.9721,125,0.0279,"{""0"": 10, ""1"": 115}",10,115,0.00223,0.02566,0.5,0.1214,9.53,1.689,0.9931,1.0,0.0277,4.503,1.4.1.post1
A_RAW,4482,19,10,2,4,3536,0.7889,946,0.2111,"{""0"": 12, ""1"": 12, ""2"": 906, ""3"": 16}",12,906,0.00268,0.20214,0.25,-0.031,8.43,2.191,0.9922,1.0,0.2094,4.8,1.4.1.post1
A_RAW,4482,19,10,3,3,3843,0.8574,639,0.1426,"{""0"": 11, ""1"": 618, ""2"": 10}",10,618,0.00223,0.13788,0.33333,0.024,8.5,1.96,0.9757,0.9797,0.1391,4.631,1.4.1.post1
A_RAW,4482,19,10,5,2,4357,0.9721,125,0.0279,"{""0"": 10, ""1"": 115}",10,115,0.00223,0.02566,0.5,0.1214,9.53,1.689,0.9932,1.0,0.0277,5.98,1.4.1.post1
