matrix,N,dimensionality,min_cluster_size,min_samples,number_of_clusters_excluding_noise,number_of_noise_points,noise_fraction,number_of_non_noise_points,non_noise_fraction,cluster_sizes,minimum_cluster_size_actual,maximum_cluster_size_actual,min_cluster_proportion_cohort,max_cluster_proportion_cohort,mean_cluster_proportion_non_noise,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
B_LOG,967,24,3,2,2,70,0.0724,897,0.9276,"{""0"": 894, ""1"": 3}",3,894,0.0031,0.92451,0.5,0.1975,5.09,1.219,0.9928,1.0,0.9209,0.384,1.4.1.post1
B_LOG,967,24,3,3,2,468,0.484,499,0.516,"{""0"": 494, ""1"": 5}",5,494,0.00517,0.51086,0.5,0.0573,4.53,1.66,0.9922,1.0,0.512,0.4,1.4.1.post1
B_LOG,967,24,3,5,4,902,0.9328,65,0.0672,"{""0"": 4, ""1"": 45, ""2"": 13, ""3"": 3}",3,45,0.0031,0.04654,0.25,0.1736,9.51,1.461,0.9375,0.9307,0.063,0.343,1.4.1.post1
B_LOG,967,24,5,2,3,362,0.3744,605,0.6256,"{""0"": 5, ""1"": 595, ""2"": 5}",5,595,0.00517,0.61531,0.33333,-0.0379,4.49,1.661,0.9625,0.9775,0.6022,0.392,1.4.1.post1
B_LOG,967,24,5,3,2,468,0.484,499,0.516,"{""0"": 494, ""1"": 5}",5,494,0.00517,0.51086,0.5,0.0573,4.53,1.66,0.9482,0.9501,0.4893,0.412,1.4.1.post1
B_LOG,967,24,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}",18,45,0.01861,0.04654,0.5,0.2259,18.64,1.583,0.9498,0.9455,0.0619,0.329,1.4.1.post1
B_LOG,967,24,7,2,5,778,0.8046,189,0.1954,"{""0"": 7, ""1"": 130, ""2"": 10, ""3"": 32, ""4"": 10}",7,130,0.00724,0.13444,0.2,0.0715,12.7,2.319,0.996,1.0,0.1947,0.313,1.4.1.post1
B_LOG,967,24,7,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}",43,83,0.04447,0.08583,0.5,0.1912,31.49,1.846,0.9432,0.9459,0.1229,0.214,1.4.1.post1
B_LOG,967,24,7,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}",18,45,0.01861,0.04654,0.5,0.2259,18.64,1.583,0.9744,0.976,0.0635,0.216,1.4.1.post1
B_LOG,967,24,10,2,4,785,0.8118,182,0.1882,"{""0"": 130, ""1"": 10, ""2"": 32, ""3"": 10}",10,130,0.01034,0.13444,0.25,0.0885,14.8,2.258,0.9456,0.9376,0.178,0.213,1.4.1.post1
B_LOG,967,24,10,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}",43,83,0.04447,0.08583,0.5,0.1912,31.49,1.846,0.9634,0.9652,0.1255,0.214,1.4.1.post1
B_LOG,967,24,10,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}",18,45,0.01861,0.04654,0.5,0.2259,18.64,1.583,0.9747,0.976,0.0635,0.248,1.4.1.post1
