matrix,N,dimensionality,min_cluster_size,min_samples,number_of_clusters_excluding_noise,number_of_noise_points,noise_fraction,number_of_non_noise_points,non_noise_fraction,cluster_sizes,minimum_cluster_size_actual,maximum_cluster_size_actual,min_cluster_proportion_cohort,max_cluster_proportion_cohort,mean_cluster_proportion_non_noise,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
B_RAW,967,24,3,2,4,99,0.1024,868,0.8976,"{""0"": 3, ""1"": 3, ""2"": 859, ""3"": 3}",3,859,0.0031,0.88831,0.25,0.1545,5.64,1.169,0.9884,1.0,0.8872,0.312,1.4.1.post1
B_RAW,967,24,3,3,3,553,0.5719,414,0.4281,"{""0"": 3, ""1"": 408, ""2"": 3}",3,408,0.0031,0.42192,0.33333,0.0366,4.03,1.304,0.9681,0.9789,0.4145,0.245,1.4.1.post1
B_RAW,967,24,3,5,3,920,0.9514,47,0.0486,"{""0"": 10, ""1"": 32, ""2"": 5}",5,32,0.00517,0.03309,0.33333,0.2012,10.66,1.402,0.9678,0.9695,0.047,0.217,1.4.1.post1
B_RAW,967,24,5,2,2,667,0.6898,300,0.3102,"{""0"": 294, ""1"": 6}",6,294,0.0062,0.30403,0.5,0.0806,5.75,1.642,0.9984,1.0,0.3097,0.217,1.4.1.post1
B_RAW,967,24,5,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}",16,95,0.01655,0.09824,0.5,0.1289,12.13,1.936,0.9871,1.0,0.1133,0.261,1.4.1.post1
B_RAW,967,24,5,5,3,920,0.9514,47,0.0486,"{""0"": 10, ""1"": 32, ""2"": 5}",5,32,0.00517,0.03309,0.33333,0.2012,10.66,1.402,0.9774,0.9845,0.0475,0.214,1.4.1.post1
B_RAW,967,24,7,2,3,803,0.8304,164,0.1696,"{""0"": 29, ""1"": 126, ""2"": 9}",9,126,0.00931,0.1303,0.33333,0.1054,14.64,2.056,0.9889,1.0,0.1677,0.243,1.4.1.post1
B_RAW,967,24,7,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}",16,95,0.01655,0.09824,0.5,0.1289,12.13,1.936,0.9871,1.0,0.1133,0.259,1.4.1.post1
B_RAW,967,24,7,5,2,919,0.9504,48,0.0496,"{""0"": 10, ""1"": 38}",10,38,0.01034,0.0393,0.5,0.2309,12.93,1.426,0.9716,0.9815,0.0482,0.279,1.4.1.post1
B_RAW,967,24,10,2,2,791,0.818,176,0.182,"{""0"": 147, ""1"": 29}",29,147,0.02999,0.15202,0.5,0.114,17.16,2.225,0.9863,1.0,0.1795,0.262,1.4.1.post1
B_RAW,967,24,10,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}",16,95,0.01655,0.09824,0.5,0.1289,12.13,1.936,0.9265,0.9161,0.1064,0.298,1.4.1.post1
B_RAW,967,24,10,5,2,919,0.9504,48,0.0496,"{""0"": 10, ""1"": 38}",10,38,0.01034,0.0393,0.5,0.2309,12.93,1.426,0.9777,0.9913,0.0485,0.296,1.4.1.post1
