matrix,config_1,config_2,ari_full_cohort,n_both_non_noise,ari_non_noise_overlap
A_RAW,mcs3_ms2,mcs3_ms3,0.9331,4477,1.0
A_RAW,mcs3_ms2,mcs3_ms5,-0.0027,533,0.0
A_RAW,mcs3_ms2,mcs5_ms2,0.0289,4099,0.0
A_RAW,mcs3_ms2,mcs5_ms3,0.0205,3967,0.0
A_RAW,mcs3_ms2,mcs5_ms5,-0.0027,530,0.0
A_RAW,mcs3_ms2,mcs7_ms2,0.0077,3484,0.0
A_RAW,mcs3_ms2,mcs7_ms3,-0.0024,884,0.0
A_RAW,mcs3_ms2,mcs7_ms5,-0.0029,125,0.0
A_RAW,mcs3_ms2,mcs10_ms2,-0.0023,946,0.0
A_RAW,mcs3_ms2,mcs10_ms3,-0.0026,639,0.0
A_RAW,mcs3_ms2,mcs10_ms5,-0.0029,125,0.0
A_RAW,mcs3_ms3,mcs3_ms5,-0.0031,533,0.0
A_RAW,mcs3_ms3,mcs5_ms2,0.033,4099,0.0
A_RAW,mcs3_ms3,mcs5_ms3,0.0234,3967,0.0
A_RAW,mcs3_ms3,mcs5_ms5,-0.0031,530,0.0
A_RAW,mcs3_ms3,mcs7_ms2,0.0088,3484,0.0
A_RAW,mcs3_ms3,mcs7_ms3,-0.0027,884,0.0
A_RAW,mcs3_ms3,mcs7_ms5,-0.0033,125,0.0
A_RAW,mcs3_ms3,mcs10_ms2,-0.0026,946,0.0
A_RAW,mcs3_ms3,mcs10_ms3,-0.003,639,0.0
A_RAW,mcs3_ms3,mcs10_ms5,-0.0033,125,0.0
A_RAW,mcs3_ms5,mcs5_ms2,-0.0848,533,0.0
A_RAW,mcs3_ms5,mcs5_ms3,-0.0944,533,0.0
A_RAW,mcs3_ms5,mcs5_ms5,0.9964,530,1.0
A_RAW,mcs3_ms5,mcs7_ms2,-0.0965,533,0.0
A_RAW,mcs3_ms5,mcs7_ms3,0.6199,526,0.0
A_RAW,mcs3_ms5,mcs7_ms5,0.3133,125,0.0
A_RAW,mcs3_ms5,mcs10_ms2,0.5302,501,-0.0149
A_RAW,mcs3_ms5,mcs10_ms3,0.7152,467,-0.0109
A_RAW,mcs3_ms5,mcs10_ms5,0.3133,125,0.0
A_RAW,mcs5_ms2,mcs5_ms3,0.8174,3967,1.0
A_RAW,mcs5_ms2,mcs5_ms5,-0.0846,530,0.0
A_RAW,mcs5_ms2,mcs7_ms2,0.4058,3484,0.0
A_RAW,mcs5_ms2,mcs7_ms3,-0.0872,884,0.0
A_RAW,mcs5_ms2,mcs7_ms5,-0.0388,125,0.0
A_RAW,mcs5_ms2,mcs10_ms2,-0.0876,946,0.0
A_RAW,mcs5_ms2,mcs10_ms3,-0.0883,639,0.0
A_RAW,mcs5_ms2,mcs10_ms5,-0.0388,125,0.0
A_RAW,mcs5_ms3,mcs5_ms5,-0.0941,530,0.0
A_RAW,mcs5_ms3,mcs7_ms2,0.5228,3480,0.0
A_RAW,mcs5_ms3,mcs7_ms3,-0.0993,884,0.0
A_RAW,mcs5_ms3,mcs7_ms5,-0.0395,125,0.0
A_RAW,mcs5_ms3,mcs10_ms2,-0.1,946,0.0
A_RAW,mcs5_ms3,mcs10_ms3,-0.0994,639,0.0
A_RAW,mcs5_ms3,mcs10_ms5,-0.0395,125,0.0
A_RAW,mcs5_ms5,mcs7_ms2,-0.096,530,0.0
A_RAW,mcs5_ms5,mcs7_ms3,0.617,523,0.0
A_RAW,mcs5_ms5,mcs7_ms5,0.3152,125,0.0
A_RAW,mcs5_ms5,mcs10_ms2,0.5275,498,-0.0117
A_RAW,mcs5_ms5,mcs10_ms3,0.7116,464,-0.0086
A_RAW,mcs5_ms5,mcs10_ms5,0.3152,125,0.0
A_RAW,mcs7_ms2,mcs7_ms3,-0.1003,884,0.0
A_RAW,mcs7_ms2,mcs7_ms5,-0.0353,125,0.0
A_RAW,mcs7_ms2,mcs10_ms2,-0.101,946,0.0
A_RAW,mcs7_ms2,mcs10_ms3,-0.1029,639,0.0
A_RAW,mcs7_ms2,mcs10_ms5,-0.0353,125,0.0
A_RAW,mcs7_ms3,mcs7_ms5,0.1639,125,0.0
A_RAW,mcs7_ms3,mcs10_ms2,0.7147,764,0.5124
A_RAW,mcs7_ms3,mcs10_ms3,0.7454,639,0.6766
A_RAW,mcs7_ms3,mcs10_ms5,0.1639,125,0.0
A_RAW,mcs7_ms5,mcs10_ms2,0.1479,125,0.0
A_RAW,mcs7_ms5,mcs10_ms3,0.254,125,0.0
A_RAW,mcs7_ms5,mcs10_ms5,1.0,125,1.0
A_RAW,mcs10_ms2,mcs10_ms3,0.6951,638,0.9726
A_RAW,mcs10_ms2,mcs10_ms5,0.1479,125,0.0
A_RAW,mcs10_ms3,mcs10_ms5,0.254,125,0.0
A_LOG,mcs3_ms2,mcs3_ms3,0.2898,4054,0.5448
A_LOG,mcs3_ms2,mcs3_ms5,0.0652,3254,0.0
A_LOG,mcs3_ms2,mcs5_ms2,0.4067,4182,0.6659
A_LOG,mcs3_ms2,mcs5_ms3,0.2888,4051,0.0
A_LOG,mcs3_ms2,mcs5_ms5,-0.0154,57,0.0
A_LOG,mcs3_ms2,mcs7_ms2,0.0866,3424,0.0
A_LOG,mcs3_ms2,mcs7_ms3,-0.029,718,0.0
A_LOG,mcs3_ms2,mcs7_ms5,-0.0134,46,0.0
A_LOG,mcs3_ms2,mcs10_ms2,-0.0255,1076,0.0
A_LOG,mcs3_ms2,mcs10_ms3,-0.029,711,0.0
A_LOG,mcs3_ms2,mcs10_ms5,-0.0134,46,0.0
A_LOG,mcs3_ms3,mcs3_ms5,0.3267,3254,0.0
A_LOG,mcs3_ms3,mcs5_ms2,0.7897,4054,1.0
A_LOG,mcs3_ms3,mcs5_ms3,0.9996,4051,1.0
A_LOG,mcs3_ms3,mcs5_ms5,-0.0204,57,0.0
A_LOG,mcs3_ms3,mcs7_ms2,0.409,3422,0.0
A_LOG,mcs3_ms3,mcs7_ms3,-0.0936,718,0.0
A_LOG,mcs3_ms3,mcs7_ms5,-0.0168,46,0.0
A_LOG,mcs3_ms3,mcs10_ms2,-0.0873,1076,0.0
A_LOG,mcs3_ms3,mcs10_ms3,-0.0932,711,0.0
A_LOG,mcs3_ms3,mcs10_ms5,-0.0168,46,0.0
A_LOG,mcs3_ms5,mcs5_ms2,0.2301,3254,0.0
A_LOG,mcs3_ms5,mcs5_ms3,0.327,3254,0.0
A_LOG,mcs3_ms5,mcs5_ms5,-0.0152,57,0.0
A_LOG,mcs3_ms5,mcs7_ms2,0.7181,3177,1.0
A_LOG,mcs3_ms5,mcs7_ms3,-0.0878,718,0.0
A_LOG,mcs3_ms5,mcs7_ms5,-0.0123,46,0.0
A_LOG,mcs3_ms5,mcs10_ms2,-0.0635,1075,0.0
A_LOG,mcs3_ms5,mcs10_ms3,-0.087,711,0.0
A_LOG,mcs3_ms5,mcs10_ms5,-0.0123,46,0.0
A_LOG,mcs5_ms2,mcs5_ms3,0.7891,4051,1.0
A_LOG,mcs5_ms2,mcs5_ms5,-0.0202,57,0.0
A_LOG,mcs5_ms2,mcs7_ms2,0.2952,3424,0.0
A_LOG,mcs5_ms2,mcs7_ms3,-0.0774,718,0.0
A_LOG,mcs5_ms2,mcs7_ms5,-0.0168,46,0.0
A_LOG,mcs5_ms2,mcs10_ms2,-0.0712,1076,0.0
A_LOG,mcs5_ms2,mcs10_ms3,-0.0771,711,0.0
A_LOG,mcs5_ms2,mcs10_ms5,-0.0168,46,0.0
A_LOG,mcs5_ms3,mcs5_ms5,-0.0204,57,0.0
A_LOG,mcs5_ms3,mcs7_ms2,0.4092,3422,0.0
A_LOG,mcs5_ms3,mcs7_ms3,-0.0934,718,0.0
A_LOG,mcs5_ms3,mcs7_ms5,-0.0168,46,0.0
A_LOG,mcs5_ms3,mcs10_ms2,-0.0871,1076,0.0
A_LOG,mcs5_ms3,mcs10_ms3,-0.093,711,0.0
A_LOG,mcs5_ms3,mcs10_ms5,-0.0168,46,0.0
A_LOG,mcs5_ms5,mcs7_ms2,-0.0168,57,0.0
A_LOG,mcs5_ms5,mcs7_ms3,0.1039,57,0.0
A_LOG,mcs5_ms5,mcs7_ms5,0.8912,46,1.0
A_LOG,mcs5_ms5,mcs10_ms2,0.0545,57,0.0
A_LOG,mcs5_ms5,mcs10_ms3,0.1053,57,0.0
A_LOG,mcs5_ms5,mcs10_ms5,0.8912,46,1.0
A_LOG,mcs7_ms2,mcs7_ms3,-0.101,718,0.0
A_LOG,mcs7_ms2,mcs7_ms5,-0.0137,46,0.0
A_LOG,mcs7_ms2,mcs10_ms2,-0.0846,1076,0.0
A_LOG,mcs7_ms2,mcs10_ms3,-0.1002,711,0.0
A_LOG,mcs7_ms2,mcs10_ms5,-0.0137,46,0.0
A_LOG,mcs7_ms3,mcs7_ms5,0.0845,46,0.0
A_LOG,mcs7_ms3,mcs10_ms2,0.6681,718,1.0
A_LOG,mcs7_ms3,mcs10_ms3,0.9933,711,1.0
A_LOG,mcs7_ms3,mcs10_ms5,0.0845,46,0.0
A_LOG,mcs7_ms5,mcs10_ms2,0.0441,46,0.0
A_LOG,mcs7_ms5,mcs10_ms3,0.0856,46,0.0
A_LOG,mcs7_ms5,mcs10_ms5,1.0,46,1.0
A_LOG,mcs10_ms2,mcs10_ms3,0.6616,711,1.0
A_LOG,mcs10_ms2,mcs10_ms5,0.0441,46,0.0
A_LOG,mcs10_ms3,mcs10_ms5,0.0856,46,0.0
B_RAW,mcs3_ms2,mcs3_ms3,-0.0147,414,0.0
B_RAW,mcs3_ms2,mcs3_ms5,-0.0618,47,0.0
B_RAW,mcs3_ms2,mcs5_ms2,-0.0754,300,0.0
B_RAW,mcs3_ms2,mcs5_ms3,-0.0974,111,0.0
B_RAW,mcs3_ms2,mcs5_ms5,-0.0618,47,0.0
B_RAW,mcs3_ms2,mcs7_ms2,-0.1107,164,0.0
B_RAW,mcs3_ms2,mcs7_ms3,-0.0974,111,0.0
B_RAW,mcs3_ms2,mcs7_ms5,-0.0622,48,0.0
B_RAW,mcs3_ms2,mcs10_ms2,-0.1088,176,0.0
B_RAW,mcs3_ms2,mcs10_ms3,-0.0974,111,0.0
B_RAW,mcs3_ms2,mcs10_ms5,-0.0622,48,0.0
B_RAW,mcs3_ms3,mcs3_ms5,0.0396,47,0.0
B_RAW,mcs3_ms3,mcs5_ms2,0.5114,288,0.0
B_RAW,mcs3_ms3,mcs5_ms3,0.1225,111,0.0
B_RAW,mcs3_ms3,mcs5_ms5,0.0396,47,0.0
B_RAW,mcs3_ms3,mcs7_ms2,0.189,159,0.0
B_RAW,mcs3_ms3,mcs7_ms3,0.1225,111,0.0
B_RAW,mcs3_ms3,mcs7_ms5,0.0413,48,0.0
B_RAW,mcs3_ms3,mcs10_ms2,0.2169,171,0.0
B_RAW,mcs3_ms3,mcs10_ms3,0.1225,111,0.0
B_RAW,mcs3_ms3,mcs10_ms5,0.0413,48,0.0
B_RAW,mcs3_ms5,mcs5_ms2,0.1224,47,0.0
B_RAW,mcs3_ms5,mcs5_ms3,0.5276,47,0.5336
B_RAW,mcs3_ms5,mcs5_ms5,1.0,47,1.0
B_RAW,mcs3_ms5,mcs7_ms2,0.3415,46,0.596
B_RAW,mcs3_ms5,mcs7_ms3,0.5276,47,0.5336
B_RAW,mcs3_ms5,mcs7_ms5,0.986,47,0.7022
B_RAW,mcs3_ms5,mcs10_ms2,0.3207,47,0.5336
B_RAW,mcs3_ms5,mcs10_ms3,0.5276,47,0.5336
