SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
93705.0,0,2,2,0,3,3,1,0,0,1,0,6,0,2,0,2,2,2
93708.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93709.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93711.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93713.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93714.0,0,2,2,0,3,3,1,0,0,1,0,6,0,2,0,2,2,2
93715.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93716.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93717.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93718.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93721.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93722.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93723.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93726.0,0,2,2,0,5,5,1,0,0,1,0,6,0,2,0,2,2,2
93728.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93729.0,1,1,0,2,2,0,1,0,3,3,1,0,0,2,0,2,2,2
93730.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93731.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93735.0,0,0,3,3,1,1,0,2,2,2,2,2,0,0,2,0,0,1
93738.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93742.0,0,2,2,0,3,3,1,0,0,4,4,4,0,2,0,2,2,2
93743.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93746.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93752.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93754.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93755.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93756.0,0,2,2,0,5,5,1,0,0,1,0,6,0,2,0,2,2,2
93757.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93758.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93759.0,0,2,2,0,5,5,1,0,3,3,1,0,0,2,0,2,2,2
93760.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93761.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93762.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93763.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93766.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93767.0,0,2,2,0,5,5,1,0,0,1,0,6,0,2,0,2,2,2
93768.0,0,0,3,3,1,1,1,0,0,1,0,6,0,2,0,2,2,2
93770.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93772.0,0,0,3,3,1,1,1,0,3,3,1,0,0,2,0,2,2,2
93773.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93774.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93775.0,0,0,3,3,1,1,1,0,0,1,0,6,0,2,0,2,2,2
93776.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93780.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93782.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93783.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93785.0,0,0,3,3,1,1,1,0,3,3,1,0,0,2,0,2,2,2
93788.0,0,0,1,1,0,6,1,0,0,1,0,1,0,2,0,2,2,2
93789.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93791.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93794.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93795.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93796.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93797.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93798.0,1,1,0,2,2,0,1,0,0,1,0,6,0,2,0,2,2,2
93800.0,0,0,3,3,1,1,1,0,3,3,1,0,0,2,0,2,2,2
93801.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93805.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93806.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93811.0,0,0,1,1,0,2,1,0,0,1,0,6,0,2,0,2,2,2
93812.0,0,0,3,3,1,1,1,0,0,1,0,6,0,2,0,2,2,2
93813.0,0,2,2,0,3,3,1,0,0,1,0,6,0,2,0,2,2,2
93814.0,1,1,0,4,4,4,1,0,0,1,0,6,0,2,0,2,2,2
93815.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
93817.0,0,0,1,1,0,6,1,0,0,1,0,6,0,2,0,2,2,2
