SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
93705.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93708.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93709.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93711.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93713.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93714.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93715.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93716.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93717.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93718.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93721.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93722.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93723.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93726.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93728.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93729.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93730.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93731.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93735.0,0,2,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1
93738.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93742.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93743.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93746.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93752.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93754.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93755.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93756.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93757.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93758.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93759.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93760.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93761.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93762.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93763.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
93766.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93767.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93768.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93770.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93772.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93773.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93774.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93775.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93776.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93780.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93782.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93783.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93785.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93788.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
93789.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93791.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
93794.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93795.0,0,0,3,1,0,6,0,0,2,0,0,0,0,0,0,2,2,0
93796.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93797.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93798.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93800.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93801.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93805.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93806.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93811.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93812.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93813.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93814.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93815.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93817.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93819.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93823.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93824.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93825.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93827.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93829.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93830.0,0,2,2,2,5,5,0,2,0,4,4,4,0,2,2,0,0,2
93831.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93832.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93834.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
93837.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93839.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93840.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93841.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93843.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93845.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93846.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93847.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93848.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93849.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93850.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93851.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93852.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93855.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93856.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93861.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93863.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
93866.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93868.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93869.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93870.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93871.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93875.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93877.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93878.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93883.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93887.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93888.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93890.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93891.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93892.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93893.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93894.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93895.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93899.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93902.0,0,0,3,1,0,6,0,0,2,0,0,0,0,0,0,2,2,0
93903.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93906.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93907.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93909.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
93913.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93914.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93915.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93916.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93918.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93920.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93923.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93924.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93926.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93927.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93929.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93930.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93931.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93932.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93937.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93939.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93940.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93941.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93945.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93946.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93947.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93949.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
93950.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93952.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93953.0,0,0,3,1,0,6,0,0,2,0,0,6,0,0,0,2,2,0
93957.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93959.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93960.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93963.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93964.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93965.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93968.0,0,0,0,4,4,4,0,0,2,0,5,5,0,0,3,3,3,3
93970.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93971.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
93972.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93974.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93975.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93978.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93981.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93982.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93983.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93984.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93987.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
93988.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93989.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93990.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
93998.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
93999.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94003.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94004.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94007.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94010.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94012.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94013.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94015.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94016.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94017.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94019.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94021.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94027.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
94028.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94029.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94030.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94031.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
94033.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94037.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94038.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94039.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94040.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94041.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94042.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94043.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94044.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94045.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
94046.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
94047.0,0,0,3,1,0,6,0,0,2,0,0,0,0,0,0,2,2,0
94048.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94049.0,0,0,0,3,3,1,0,0,2,0,0,0,0,0,0,2,2,0
94050.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
94051.0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0
94057.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
94058.0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,2,2,0
94060.0,0,0,0,4,4,4,0,0,2,0,0,0,0,0,0,2,2,0
94061.0,1,1,1,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0
