SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
93711.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
93717.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
93731.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
93738.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
93755.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
93758.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
93760.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
93763.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
93766.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
93770.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
93775.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
93776.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
93780.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
93789.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
93801.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
93806.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
93811.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
93814.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
93815.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
93823.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
93834.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
93837.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
93840.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
93843.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
93847.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
