matrix,cohort,scale,distance_metric,linkage,N,p,K,silhouette_score,calinski_harabasz_score,davies_bouldin_score,within_dispersion,dispersion_type,min_cluster_size,max_cluster_size,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,cluster_sizes_str,mean_ari,median_ari,std_ari,p05_ari,p95_ari
A_LOG,Broad (A),Log1p,euclidean,complete,4482,19,2,0.420281,86.7911,1.4898,83539.5872,WSS_L2,32,4450,0.00714,0.99286,139.0625,True,"[4450, 32]",0.589445,0.603156,0.121781,0.366648,0.751908
A_LOG,Broad (A),Log1p,euclidean,complete,4482,19,3,0.390524,49.2467,1.5026,83325.664,WSS_L2,3,4450,0.000669,0.99286,1483.3333,True,"[4450, 29, 3]",0.573332,0.605214,0.169596,0.227432,0.779052
A_LOG,Broad (A),Log1p,euclidean,complete,4482,19,4,0.134815,56.1952,2.7919,82068.3326,WSS_L2,3,4195,0.000669,0.935966,1398.3333,True,"[255, 4195, 29, 3]",0.209354,0.208474,0.109333,0.012541,0.371053
A_LOG,Broad (A),Log1p,euclidean,complete,4482,19,5,0.106513,62.138,2.8266,80678.9042,WSS_L2,3,4040,0.000669,0.901383,1346.6667,True,"[255, 155, 4040, 29, 3]",0.181719,0.195803,0.10844,-0.006814,0.344201
A_LOG,Broad (A),Log1p,euclidean,complete,4482,19,6,0.106397,51.1586,2.3685,80554.4935,WSS_L2,1,4040,0.000223,0.901383,4040.0,True,"[255, 155, 4040, 29, 2, 1]",0.192016,0.205933,0.110403,0.013023,0.360548
A_LOG,Broad (A),Log1p,euclidean,complete,4482,19,7,0.098985,46.8854,2.7074,80121.327,WSS_L2,1,3947,0.000223,0.880634,3947.0,True,"[255, 155, 3947, 93, 29, 2, 1]",0.208631,0.22245,0.115497,0.041315,0.386734
A_LOG,Broad (A),Log1p,euclidean,average,4482,19,2,0.563135,8.9577,0.322,84988.0669,WSS_L2,1,4481,0.000223,0.999777,4481.0,True,"[4481, 1]",0.609934,1.0,0.487832,-0.000418,1.0
A_LOG,Broad (A),Log1p,euclidean,average,4482,19,3,0.530424,45.6782,0.8016,83455.7869,WSS_L2,1,4467,0.000223,0.996653,4467.0,True,"[4467, 14, 1]",0.852652,0.927709,0.191964,0.425725,1.0
A_LOG,Broad (A),Log1p,euclidean,average,4482,19,4,0.513599,32.4027,1.0213,83348.6703,WSS_L2,1,4467,0.000223,0.996653,4467.0,True,"[4467, 2, 12, 1]",0.888935,0.916058,0.112876,0.568475,0.999911
A_LOG,Broad (A),Log1p,euclidean,average,4482,19,5,0.437177,25.6167,0.94,83252.5689,WSS_L2,1,4466,0.000223,0.99643,4466.0,True,"[4466, 1, 2, 12, 1]",0.884441,0.905242,0.085609,0.73848,0.969017
A_LOG,Broad (A),Log1p,euclidean,average,4482,19,6,0.436262,21.3168,0.8472,83177.3523,WSS_L2,1,4466,0.000223,0.99643,4466.0,True,"[4466, 1, 2, 11, 1, 1]",0.856898,0.871353,0.086617,0.712347,0.969035
A_LOG,Broad (A),Log1p,euclidean,average,4482,19,7,0.433567,18.4014,0.7763,83107.5431,WSS_L2,1,4466,0.000223,0.99643,4466.0,True,"[4466, 1, 2, 10, 1, 1, 1]",0.814697,0.815448,0.088671,0.643005,0.9413
A_LOG,Broad (A),Log1p,manhattan,complete,4482,19,2,0.245615,123.2665,2.1738,64669.1554,WAD_L1,117,4365,0.026104,0.973896,37.3077,False,"[4365, 117]",0.374444,0.414874,0.181376,0.084837,0.639392
A_LOG,Broad (A),Log1p,manhattan,complete,4482,19,3,0.19296,73.8933,2.5583,64549.2394,WAD_L1,55,4365,0.012271,0.973896,79.3636,False,"[4365, 62, 55]",0.253096,0.18613,0.21359,0.003143,0.626412
A_LOG,Broad (A),Log1p,manhattan,complete,4482,19,4,0.060359,71.3195,3.1627,64065.779,WAD_L1,55,4139,0.012271,0.923472,75.2545,False,"[226, 4139, 62, 55]",0.120717,0.091497,0.103698,0.015804,0.328141
A_LOG,Broad (A),Log1p,manhattan,complete,4482,19,5,0.059333,59.0527,2.901,63983.3337,WAD_L1,27,4139,0.006024,0.923472,153.2963,True,"[226, 4139, 62, 28, 27]",0.104683,0.062363,0.095136,0.013285,0.326767
A_LOG,Broad (A),Log1p,manhattan,complete,4482,19,6,0.034319,95.2466,3.0899,62106.9702,WAD_L1,27,3304,0.006024,0.737171,122.3704,True,"[226, 3304, 835, 62, 28, 27]",0.076835,0.060518,0.086992,-0.031731,0.249524
