matrix,cohort,scale,distance_metric,linkage,N,p,K,silhouette_score,calinski_harabasz_score,davies_bouldin_score,within_dispersion,dispersion_type,min_cluster_size,max_cluster_size,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,cluster_sizes_str,mean_ari,median_ari,std_ari,p05_ari,p95_ari
B_LOG,Fasting (B),Log1p,euclidean,complete,967,24,2,0.52928,7.6854,0.3506,23024.6284,WSS_L2,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.716248,1.0,0.417556,0.0,1.0
B_LOG,Fasting (B),Log1p,euclidean,complete,967,24,3,0.059755,36.3746,2.5558,21579.4844,WSS_L2,1,571,0.001034,0.590486,571.0,True,"[395, 571, 1]",0.051958,0.011571,0.075266,-0.014686,0.208343
B_LOG,Fasting (B),Log1p,euclidean,complete,967,24,4,0.063559,35.1812,2.2765,20915.6694,WSS_L2,1,549,0.001034,0.567735,549.0,True,"[395, 22, 549, 1]",0.098075,0.087476,0.074113,-0.000599,0.23116
B_LOG,Fasting (B),Log1p,euclidean,complete,967,24,5,0.057687,33.9055,2.54,20340.4242,WSS_L2,1,468,0.001034,0.483971,468.0,True,"[395, 22, 81, 468, 1]",0.143749,0.13782,0.068128,0.056719,0.264748
B_LOG,Fasting (B),Log1p,euclidean,complete,967,24,6,0.057646,28.1996,2.1963,20238.5946,WSS_L2,1,468,0.001034,0.483971,468.0,True,"[394, 1, 22, 81, 468, 1]",0.156239,0.147773,0.070174,0.066031,0.297597
B_LOG,Fasting (B),Log1p,euclidean,complete,967,24,7,0.042969,34.0381,2.2513,19136.8636,WSS_L2,1,468,0.001034,0.483971,468.0,True,"[225, 169, 1, 22, 81, 468, 1]",0.178857,0.177092,0.062498,0.079354,0.268953
B_LOG,Fasting (B),Log1p,euclidean,average,967,24,2,0.52928,7.6854,0.3506,23024.6284,WSS_L2,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.79,1.0,0.407308,0.0,1.0
B_LOG,Fasting (B),Log1p,euclidean,average,967,24,3,0.405064,6.1229,0.4212,22916.884,WSS_L2,1,965,0.001034,0.997932,965.0,True,"[965, 1, 1]",0.872054,1.0,0.205307,0.665802,1.0
B_LOG,Fasting (B),Log1p,euclidean,average,967,24,4,0.354001,5.4062,0.4467,22823.608,WSS_L2,1,964,0.001034,0.996898,964.0,True,"[964, 1, 1, 1]",0.781149,0.799065,0.226047,0.392983,1.0
B_LOG,Fasting (B),Log1p,euclidean,average,967,24,5,0.315879,4.9541,0.4654,22739.5822,WSS_L2,1,963,0.001034,0.995863,963.0,True,"[963, 1, 1, 1, 1]",0.693793,0.74821,0.190846,0.396054,1.0
