matrix,cohort,scale,distance_metric,linkage,N,p,K,silhouette_score,calinski_harabasz_score,davies_bouldin_score,within_dispersion,dispersion_type,min_cluster_size,max_cluster_size,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,cluster_sizes_str,mean_ari,median_ari,std_ari,p05_ari,p95_ari
B_RAW,Fasting (B),Raw,euclidean,complete,967,24,2,0.613193,11.6465,0.281,22931.2449,WSS_L2,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.853972,1.0,0.349728,0.0,1.0
B_RAW,Fasting (B),Raw,euclidean,complete,967,24,3,0.437926,16.3832,0.7605,22445.0903,WSS_L2,1,961,0.001034,0.993795,961.0,True,"[5, 961, 1]",0.757382,0.887341,0.284254,0.239527,1.0
B_RAW,Fasting (B),Raw,euclidean,complete,967,24,4,0.32307,16.2399,1.5214,22090.4102,WSS_L2,1,947,0.001034,0.979317,947.0,True,"[5, 947, 14, 1]",0.344491,0.431717,0.213495,0.015264,0.580582
B_RAW,Fasting (B),Raw,euclidean,complete,967,24,5,0.298973,13.7793,1.3022,21950.366,WSS_L2,1,947,0.001034,0.979317,947.0,True,"[5, 947, 13, 1, 1]",0.174201,0.083103,0.201598,0.014485,0.664448
B_RAW,Fasting (B),Raw,euclidean,complete,967,24,6,0.295434,14.2148,1.4688,21609.7784,WSS_L2,1,935,0.001034,0.966908,935.0,True,"[5, 12, 935, 13, 1, 1]",0.161846,0.082916,0.187555,0.027727,0.66812
B_RAW,Fasting (B),Raw,euclidean,complete,967,24,7,0.0635,22.5637,2.0122,20339.6439,WSS_L2,1,512,0.001034,0.529473,512.0,True,"[5, 12, 512, 423, 13, 1, 1]",0.130141,0.108,0.07613,0.032274,0.261637
B_RAW,Fasting (B),Raw,euclidean,average,967,24,2,0.613193,11.6465,0.281,22931.2449,WSS_L2,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.86,1.0,0.346987,0.0,1.0
B_RAW,Fasting (B),Raw,euclidean,average,967,24,3,0.532027,9.7277,0.3238,22748.883,WSS_L2,1,965,0.001034,0.997932,965.0,True,"[965, 1, 1]",0.75244,1.0,0.311024,0.282078,1.0
B_RAW,Fasting (B),Raw,euclidean,average,967,24,4,0.474942,13.3809,0.6108,22279.2889,WSS_L2,1,961,0.001034,0.993795,961.0,True,"[4, 961, 1, 1]",0.864932,0.907992,0.184525,0.441065,1.0
B_RAW,Fasting (B),Raw,euclidean,average,967,24,5,0.405047,11.2078,0.5787,22174.6127,WSS_L2,1,960,0.001034,0.992761,960.0,True,"[4, 960, 1, 1, 1]",0.81349,0.855116,0.17375,0.395573,1.0
B_RAW,Fasting (B),Raw,euclidean,average,967,24,6,0.355599,9.8322,0.5605,22078.5502,WSS_L2,1,959,0.001034,0.991727,959.0,True,"[4, 959, 1, 1, 1, 1]",0.790432,0.820208,0.15147,0.493181,1.0
B_RAW,Fasting (B),Raw,euclidean,average,967,24,7,0.335695,8.8728,0.5496,21988.6214,WSS_L2,1,958,0.001034,0.990693,958.0,True,"[4, 958, 1, 1, 1, 1, 1]",0.731365,0.732086,0.13692,0.517763,0.93271
B_RAW,Fasting (B),Raw,manhattan,complete,967,24,2,0.519276,11.6465,0.281,17006.2793,WAD_L1,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.774872,1.0,0.398733,0.0,1.0
B_RAW,Fasting (B),Raw,manhattan,complete,967,24,3,0.140674,34.0907,1.9807,16514.3929,WAD_L1,1,841,0.001034,0.8697,841.0,True,"[125, 841, 1]",0.176288,0.132863,0.152593,0.006106,0.501646
B_RAW,Fasting (B),Raw,manhattan,complete,967,24,4,0.067435,46.5855,2.4296,15793.6186,WAD_L1,1,502,0.001034,0.519131,502.0,True,"[125, 339, 502, 1]",0.13316,0.128601,0.081214,0.012952,0.274662
B_RAW,Fasting (B),Raw,manhattan,complete,967,24,5,0.066996,39.2049,2.3933,15720.4773,WAD_L1,1,488,0.001034,0.504654,488.0,True,"[125, 339, 488, 14, 1]",0.163235,0.155706,0.070892,0.049672,0.272464
B_RAW,Fasting (B),Raw,manhattan,complete,967,24,6,0.06646,34.5999,2.2763,15672.0769,WAD_L1,1,488,0.001034,0.504654,488.0,True,"[7, 118, 339, 488, 14, 1]",0.179967,0.166599,0.074585,0.076045,0.314672
B_RAW,Fasting (B),Raw,manhattan,complete,967,24,7,0.062435,36.2428,2.2898,15394.1687,WAD_L1,1,488,0.001034,0.504654,488.0,True,"[7, 118, 294, 45, 488, 14, 1]",0.215987,0.209257,0.070643,0.110509,0.327594
B_RAW,Fasting (B),Raw,manhattan,average,967,24,2,0.519276,11.6465,0.281,17006.2793,WAD_L1,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.86,1.0,0.346987,0.0,1.0
B_RAW,Fasting (B),Raw,manhattan,average,967,24,3,0.393822,13.1916,0.5502,16965.192,WAD_L1,1,964,0.001034,0.996898,964.0,True,"[2, 964, 1]",0.539157,0.397821,0.252023,0.268668,1.0
