matrix,distance_metric,linkage,K,mean_ari,median_ari,std_ari,p05_ari,p95_ari,valid_iterations
A_RAW,euclidean,complete,2,0.868007,1.0,0.25791,0.301394,1.0,100
A_RAW,euclidean,complete,3,0.644561,0.676179,0.117004,0.48123,0.808838,100
A_RAW,euclidean,complete,4,0.67038,0.684821,0.09218,0.522681,0.808841,100
A_RAW,euclidean,complete,5,0.666545,0.68949,0.109142,0.482002,0.809782,100
A_RAW,euclidean,complete,6,0.5673,0.565975,0.161161,0.328742,0.786419,100
A_RAW,euclidean,complete,7,0.545728,0.586896,0.18861,0.097856,0.758743,100
A_RAW,euclidean,average,2,0.910182,1.0,0.184566,0.459941,1.0,100
A_RAW,euclidean,average,3,0.755383,0.89739,0.258011,0.306251,1.0,100
A_RAW,euclidean,average,4,0.862822,0.916036,0.1597,0.468827,1.0,100
A_RAW,euclidean,average,5,0.809429,0.829127,0.137563,0.585256,1.0,100
A_RAW,euclidean,average,6,0.778316,0.773235,0.127132,0.529875,0.999925,100
A_RAW,euclidean,average,7,0.755013,0.757414,0.090862,0.575868,0.888184,100
A_RAW,manhattan,complete,2,0.507434,0.480496,0.277889,0.126885,0.951974,100
A_RAW,manhattan,complete,3,0.442992,0.469913,0.168197,0.0622,0.643504,100
A_RAW,manhattan,complete,4,0.287642,0.325375,0.187838,0.025561,0.581788,100
A_RAW,manhattan,complete,5,0.216476,0.171049,0.186767,0.02424,0.544967,100
A_RAW,manhattan,complete,6,0.131687,0.091543,0.123578,0.021422,0.352129,100
A_RAW,manhattan,complete,7,0.105464,0.062865,0.098185,0.022172,0.312974,100
A_RAW,manhattan,average,2,0.798462,0.832591,0.155065,0.499511,1.0,100
A_RAW,manhattan,average,3,0.782215,0.799441,0.154797,0.529903,1.0,100
A_RAW,manhattan,average,4,0.729205,0.713283,0.16881,0.498784,1.0,100
A_RAW,manhattan,average,5,0.669157,0.650026,0.158206,0.425737,0.909568,100
A_RAW,manhattan,average,6,0.758019,0.768903,0.152576,0.498866,0.956286,100
A_RAW,manhattan,average,7,0.789599,0.799051,0.138555,0.569745,0.965233,100
A_LOG,euclidean,complete,2,0.589445,0.603156,0.121781,0.366648,0.751908,100
A_LOG,euclidean,complete,3,0.573332,0.605214,0.169596,0.227432,0.779052,100
A_LOG,euclidean,complete,4,0.209354,0.208474,0.109333,0.012541,0.371053,100
A_LOG,euclidean,complete,5,0.181719,0.195803,0.10844,-0.006814,0.344201,100
A_LOG,euclidean,complete,6,0.192016,0.205933,0.110403,0.013023,0.360548,100
A_LOG,euclidean,complete,7,0.208631,0.22245,0.115497,0.041315,0.386734,100
A_LOG,euclidean,average,2,0.609934,1.0,0.487832,-0.000418,1.0,100
A_LOG,euclidean,average,3,0.852652,0.927709,0.191964,0.425725,1.0,100
A_LOG,euclidean,average,4,0.888935,0.916058,0.112876,0.568475,0.999911,100
A_LOG,euclidean,average,5,0.884441,0.905242,0.085609,0.73848,0.969017,100
A_LOG,euclidean,average,6,0.856898,0.871353,0.086617,0.712347,0.969035,100
A_LOG,euclidean,average,7,0.814697,0.815448,0.088671,0.643005,0.9413,100
A_LOG,manhattan,complete,2,0.374444,0.414874,0.181376,0.084837,0.639392,100
A_LOG,manhattan,complete,3,0.253096,0.18613,0.21359,0.003143,0.626412,100
A_LOG,manhattan,complete,4,0.120717,0.091497,0.103698,0.015804,0.328141,100
A_LOG,manhattan,complete,5,0.104683,0.062363,0.095136,0.013285,0.326767,100
A_LOG,manhattan,complete,6,0.076835,0.060518,0.086992,-0.031731,0.249524,100
A_LOG,manhattan,complete,7,0.066605,0.049332,0.076745,-0.02548,0.202934,100
A_LOG,manhattan,average,2,0.499952,0.499477,0.284989,-0.000374,1.0,100
A_LOG,manhattan,average,3,0.476232,0.399419,0.232422,0.233693,1.0,100
A_LOG,manhattan,average,4,0.397109,0.322906,0.220863,0.165936,0.856892,100
A_LOG,manhattan,average,5,0.406957,0.345835,0.199897,0.220547,0.888647,100
A_LOG,manhattan,average,6,0.367531,0.337337,0.142939,0.219821,0.726668,100
A_LOG,manhattan,average,7,0.714081,0.722118,0.128689,0.452629,0.893998,100
