matrix,cohort,scale,linkage,linkage_type,metric,N,p,K,silhouette_score,calinski_harabasz_score,davies_bouldin_score,within_cluster_wss,min_cluster_size,max_cluster_size,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,cluster_sizes_str,mean_ari,median_ari,std_ari,p05_ari,p95_ari
A_LOG,Broad (A),Log1p,ward,Primary,euclidean,4482,19,2,0.05516,307.721,3.5655,79684.6428,1821,2661,0.406292,0.593708,1.4613,False,"[2661, 1821]",0.24238,0.243822,0.083071,0.086537,0.372547
A_LOG,Broad (A),Log1p,ward,Primary,euclidean,4482,19,3,0.049992,260.2115,3.3524,76293.3412,824,1837,0.183846,0.409862,2.2294,False,"[1837, 1821, 824]",0.205604,0.203496,0.060922,0.110734,0.317562
A_LOG,Broad (A),Log1p,ward,Primary,euclidean,4482,19,4,0.052398,232.898,3.0945,73664.2973,369,1821,0.082329,0.406292,4.935,False,"[1821, 1468, 824, 369]",0.221781,0.220552,0.061564,0.116177,0.314344
A_LOG,Broad (A),Log1p,ward,Primary,euclidean,4482,19,5,0.025693,202.7859,3.4838,72095.6925,369,1468,0.082329,0.327532,3.9783,False,"[824, 1468, 1147, 369, 674]",0.193209,0.18624,0.039001,0.133807,0.26592
A_LOG,Broad (A),Log1p,ward,Primary,euclidean,4482,19,6,0.018504,182.814,3.3725,70716.5613,357,1468,0.079652,0.327532,4.112,False,"[1468, 369, 1147, 357, 674, 467]",0.190777,0.185533,0.035376,0.145184,0.258064
A_LOG,Broad (A),Log1p,ward,Primary,euclidean,4482,19,7,0.016429,169.3022,3.5405,69403.5732,357,1147,0.079652,0.255913,3.2129,False,"[1147, 369, 819, 357, 674, 467, 649]",0.187453,0.186694,0.022262,0.155166,0.225578
A_LOG,Broad (A),Log1p,complete,Sensitivity,euclidean,4482,19,2,0.420281,86.7911,1.4898,83539.5872,32,4450,0.00714,0.99286,139.0625,True,"[32, 4450]",0.589445,0.603156,0.121781,0.366648,0.751908
A_LOG,Broad (A),Log1p,complete,Sensitivity,euclidean,4482,19,3,0.390524,49.2467,1.5026,83325.664,3,4450,0.000669,0.99286,1483.3333,True,"[4450, 3, 29]",0.573332,0.605214,0.169596,0.227432,0.779052
A_LOG,Broad (A),Log1p,complete,Sensitivity,euclidean,4482,19,4,0.134815,56.1952,2.7919,82068.3326,3,4195,0.000669,0.935966,1398.3333,True,"[4195, 3, 29, 255]",0.209354,0.208474,0.109333,0.012541,0.371053
A_LOG,Broad (A),Log1p,complete,Sensitivity,euclidean,4482,19,5,0.106513,62.138,2.8266,80678.9042,3,4040,0.000669,0.901383,1346.6667,True,"[3, 4040, 29, 255, 155]",0.181719,0.195803,0.10844,-0.006814,0.344201
A_LOG,Broad (A),Log1p,complete,Sensitivity,euclidean,4482,19,6,0.106397,51.1586,2.3685,80554.4935,1,4040,0.000223,0.901383,4040.0,True,"[4040, 255, 29, 2, 155, 1]",0.192016,0.205933,0.110403,0.013023,0.360548
A_LOG,Broad (A),Log1p,complete,Sensitivity,euclidean,4482,19,7,0.098985,46.8854,2.7074,80121.327,1,3947,0.000223,0.880634,3947.0,True,"[255, 93, 29, 2, 155, 1, 3947]",0.208631,0.22245,0.115497,0.041315,0.386734
A_LOG,Broad (A),Log1p,average,Sensitivity,euclidean,4482,19,2,0.563135,8.9577,0.322,84988.0669,1,4481,0.000223,0.999777,4481.0,True,"[4481, 1]",0.609934,1.0,0.487832,-0.000418,1.0
A_LOG,Broad (A),Log1p,average,Sensitivity,euclidean,4482,19,3,0.530424,45.6782,0.8016,83455.7869,1,4467,0.000223,0.996653,4467.0,True,"[14, 1, 4467]",0.852652,0.927709,0.191964,0.425725,1.0
A_LOG,Broad (A),Log1p,average,Sensitivity,euclidean,4482,19,4,0.513599,32.4027,1.0213,83348.6703,1,4467,0.000223,0.996653,4467.0,True,"[4467, 2, 12, 1]",0.888935,0.916058,0.112876,0.568475,0.999911
A_LOG,Broad (A),Log1p,average,Sensitivity,euclidean,4482,19,5,0.437177,25.6167,0.94,83252.5689,1,4466,0.000223,0.99643,4466.0,True,"[12, 2, 4466, 1, 1]",0.884441,0.905242,0.085609,0.73848,0.969017
A_LOG,Broad (A),Log1p,average,Sensitivity,euclidean,4482,19,6,0.436262,21.3168,0.8472,83177.3523,1,4466,0.000223,0.99643,4466.0,True,"[11, 2, 4466, 1, 1, 1]",0.856898,0.871353,0.086617,0.712347,0.969035
A_LOG,Broad (A),Log1p,average,Sensitivity,euclidean,4482,19,7,0.433567,18.4014,0.7763,83107.5431,1,4466,0.000223,0.99643,4466.0,True,"[2, 10, 4466, 1, 1, 1, 1]",0.814697,0.815448,0.088671,0.643005,0.9413
