matrix,cohort,scale,linkage,linkage_type,metric,N,p,K,silhouette_score,calinski_harabasz_score,davies_bouldin_score,within_cluster_wss,min_cluster_size,max_cluster_size,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,cluster_sizes_str,mean_ari,median_ari,std_ari,p05_ari,p95_ari
B_LOG,Fasting (B),Log1p,ward,Primary,euclidean,967,24,2,0.095705,97.0212,2.9818,21087.8267,362,605,0.374354,0.625646,1.6713,False,"[605, 362]",0.194499,0.16587,0.149779,0.003488,0.447862
B_LOG,Fasting (B),Log1p,ward,Primary,euclidean,967,24,3,0.064547,87.641,2.7783,19637.3794,274,362,0.283351,0.374354,1.3212,False,"[362, 331, 274]",0.317953,0.307305,0.093645,0.20057,0.488392
B_LOG,Fasting (B),Log1p,ward,Primary,euclidean,967,24,4,0.06565,76.2234,2.7146,18754.6042,112,331,0.115822,0.342296,2.9554,False,"[331, 112, 274, 250]",0.329378,0.317688,0.062648,0.243962,0.468914
B_LOG,Fasting (B),Log1p,ward,Primary,euclidean,967,24,5,0.053183,66.9518,2.94,18154.1437,112,274,0.115822,0.283351,2.4464,False,"[112, 190, 274, 250, 141]",0.367784,0.365806,0.054083,0.26682,0.44659
B_LOG,Fasting (B),Log1p,ward,Primary,euclidean,967,24,6,0.057068,60.8554,2.748,17626.879,36,274,0.037229,0.283351,7.6111,False,"[274, 190, 76, 250, 141, 36]",0.367599,0.364419,0.053931,0.282038,0.453564
B_LOG,Fasting (B),Log1p,ward,Primary,euclidean,967,24,7,0.0462,54.8744,2.9525,17281.168,36,250,0.037229,0.258532,6.9444,False,"[190, 250, 76, 160, 141, 36, 114]",0.350328,0.349163,0.047147,0.270464,0.441222
B_LOG,Fasting (B),Log1p,complete,Sensitivity,euclidean,967,24,2,0.52928,7.6854,0.3506,23024.6284,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.716248,1.0,0.417556,0.0,1.0
B_LOG,Fasting (B),Log1p,complete,Sensitivity,euclidean,967,24,3,0.059755,36.3746,2.5558,21579.4844,1,571,0.001034,0.590486,571.0,True,"[571, 1, 395]",0.051958,0.011571,0.075266,-0.014686,0.208343
B_LOG,Fasting (B),Log1p,complete,Sensitivity,euclidean,967,24,4,0.063559,35.1812,2.2765,20915.6694,1,549,0.001034,0.567735,549.0,True,"[549, 22, 395, 1]",0.098075,0.087476,0.074113,-0.000599,0.23116
B_LOG,Fasting (B),Log1p,complete,Sensitivity,euclidean,967,24,5,0.057687,33.9055,2.54,20340.4242,1,468,0.001034,0.483971,468.0,True,"[395, 81, 468, 1, 22]",0.143749,0.13782,0.068128,0.056719,0.264748
B_LOG,Fasting (B),Log1p,complete,Sensitivity,euclidean,967,24,6,0.057646,28.1996,2.1963,20238.5946,1,468,0.001034,0.483971,468.0,True,"[394, 81, 468, 1, 22, 1]",0.156239,0.147773,0.070174,0.066031,0.297597
B_LOG,Fasting (B),Log1p,complete,Sensitivity,euclidean,967,24,7,0.042969,34.0381,2.2513,19136.8636,1,468,0.001034,0.483971,468.0,True,"[468, 81, 169, 1, 22, 1, 225]",0.178857,0.177092,0.062498,0.079354,0.268953
B_LOG,Fasting (B),Log1p,average,Sensitivity,euclidean,967,24,2,0.52928,7.6854,0.3506,23024.6284,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.79,1.0,0.407308,0.0,1.0
B_LOG,Fasting (B),Log1p,average,Sensitivity,euclidean,967,24,3,0.405064,6.1229,0.4212,22916.884,1,965,0.001034,0.997932,965.0,True,"[965, 1, 1]",0.872054,1.0,0.205307,0.665802,1.0
B_LOG,Fasting (B),Log1p,average,Sensitivity,euclidean,967,24,4,0.354001,5.4062,0.4467,22823.608,1,964,0.001034,0.996898,964.0,True,"[964, 1, 1, 1]",0.781149,0.799065,0.226047,0.392983,1.0
B_LOG,Fasting (B),Log1p,average,Sensitivity,euclidean,967,24,5,0.315879,4.9541,0.4654,22739.5822,1,963,0.001034,0.995863,963.0,True,"[963, 1, 1, 1, 1]",0.693793,0.74821,0.190846,0.396054,1.0
B_LOG,Fasting (B),Log1p,average,Sensitivity,euclidean,967,24,6,0.245616,4.609,0.4835,22664.5046,1,962,0.001034,0.994829,962.0,True,"[962, 1, 1, 1, 1, 1]",0.635024,0.637287,0.170614,0.390493,0.887924
B_LOG,Fasting (B),Log1p,average,Sensitivity,euclidean,967,24,7,0.226334,4.6054,0.6784,22558.6832,1,960,0.001034,0.992761,960.0,True,"[960, 1, 2, 1, 1, 1, 1]",0.673641,0.663042,0.155987,0.427064,0.922087
