matrix,cohort,scale,linkage,linkage_type,metric,N,p,K,silhouette_score,calinski_harabasz_score,davies_bouldin_score,within_cluster_wss,min_cluster_size,max_cluster_size,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,cluster_sizes_str,mean_ari,median_ari,std_ari,p05_ari,p95_ari
B_RAW,Fasting (B),Raw,ward,Primary,euclidean,967,24,2,0.081823,81.1528,3.283,21407.6943,398,569,0.411582,0.588418,1.4296,False,"[569, 398]",0.140064,0.115587,0.128141,-0.000314,0.395235
B_RAW,Fasting (B),Raw,ward,Primary,euclidean,967,24,3,0.048602,73.516,2.8075,20136.6955,283,398,0.292658,0.411582,1.4064,False,"[398, 286, 283]",0.278221,0.270266,0.066125,0.191579,0.389951
B_RAW,Fasting (B),Raw,ward,Primary,euclidean,967,24,4,0.051268,67.4655,2.9282,19177.4238,157,286,0.162358,0.29576,1.8217,False,"[241, 286, 283, 157]",0.335675,0.332045,0.056571,0.257601,0.432015
B_RAW,Fasting (B),Raw,ward,Primary,euclidean,967,24,5,0.056642,62.9306,2.7214,18394.7312,32,286,0.033092,0.29576,8.9375,False,"[286, 157, 283, 209, 32]",0.348076,0.340051,0.056737,0.278049,0.446435
B_RAW,Fasting (B),Raw,ward,Primary,euclidean,967,24,6,0.04167,56.2408,2.823,17954.2849,32,283,0.033092,0.292658,8.8438,False,"[157, 209, 283, 173, 32, 113]",0.333977,0.329397,0.046621,0.263795,0.409377
B_RAW,Fasting (B),Raw,ward,Primary,euclidean,967,24,7,0.033839,51.1907,2.7744,17582.594,32,283,0.033092,0.292658,8.8438,False,"[283, 209, 52, 173, 32, 113, 105]",0.331348,0.324655,0.047436,0.265372,0.411367
B_RAW,Fasting (B),Raw,complete,Sensitivity,euclidean,967,24,2,0.613193,11.6465,0.281,22931.2449,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.853972,1.0,0.349728,0.0,1.0
B_RAW,Fasting (B),Raw,complete,Sensitivity,euclidean,967,24,3,0.437926,16.3832,0.7605,22445.0903,1,961,0.001034,0.993795,961.0,True,"[961, 1, 5]",0.757382,0.887341,0.284254,0.239527,1.0
B_RAW,Fasting (B),Raw,complete,Sensitivity,euclidean,967,24,4,0.32307,16.2399,1.5214,22090.4102,1,947,0.001034,0.979317,947.0,True,"[14, 947, 5, 1]",0.344491,0.431717,0.213495,0.015264,0.580582
B_RAW,Fasting (B),Raw,complete,Sensitivity,euclidean,967,24,5,0.298973,13.7793,1.3022,21950.366,1,947,0.001034,0.979317,947.0,True,"[947, 13, 5, 1, 1]",0.174201,0.083103,0.201598,0.014485,0.664448
B_RAW,Fasting (B),Raw,complete,Sensitivity,euclidean,967,24,6,0.295434,14.2148,1.4688,21609.7784,1,935,0.001034,0.966908,935.0,True,"[935, 13, 12, 1, 1, 5]",0.161846,0.082916,0.187555,0.027727,0.66812
B_RAW,Fasting (B),Raw,complete,Sensitivity,euclidean,967,24,7,0.0635,22.5637,2.0122,20339.6439,1,512,0.001034,0.529473,512.0,True,"[423, 13, 512, 1, 1, 5, 12]",0.130141,0.108,0.07613,0.032274,0.261637
B_RAW,Fasting (B),Raw,average,Sensitivity,euclidean,967,24,2,0.613193,11.6465,0.281,22931.2449,1,966,0.001034,0.998966,966.0,True,"[966, 1]",0.86,1.0,0.346987,0.0,1.0
B_RAW,Fasting (B),Raw,average,Sensitivity,euclidean,967,24,3,0.532027,9.7277,0.3238,22748.883,1,965,0.001034,0.997932,965.0,True,"[965, 1, 1]",0.75244,1.0,0.311024,0.282078,1.0
B_RAW,Fasting (B),Raw,average,Sensitivity,euclidean,967,24,4,0.474942,13.3809,0.6108,22279.2889,1,961,0.001034,0.993795,961.0,True,"[961, 4, 1, 1]",0.864932,0.907992,0.184525,0.441065,1.0
B_RAW,Fasting (B),Raw,average,Sensitivity,euclidean,967,24,5,0.405047,11.2078,0.5787,22174.6127,1,960,0.001034,0.992761,960.0,True,"[960, 4, 1, 1, 1]",0.81349,0.855116,0.17375,0.395573,1.0
B_RAW,Fasting (B),Raw,average,Sensitivity,euclidean,967,24,6,0.355599,9.8322,0.5605,22078.5502,1,959,0.001034,0.991727,959.0,True,"[959, 4, 1, 1, 1, 1]",0.790432,0.820208,0.15147,0.493181,1.0
B_RAW,Fasting (B),Raw,average,Sensitivity,euclidean,967,24,7,0.335695,8.8728,0.5496,21988.6214,1,958,0.001034,0.990693,958.0,True,"[958, 4, 1, 1, 1, 1, 1]",0.731365,0.732086,0.13692,0.517763,0.93271
