matrix,linkage,K,mean_ari,median_ari,std_ari,p05_ari,p95_ari,valid_iterations
A_RAW,ward,2,0.201318,0.195028,0.070082,0.090917,0.321396,100
A_RAW,ward,3,0.190145,0.177172,0.066927,0.0922,0.320751,100
A_RAW,ward,4,0.193825,0.187898,0.07357,0.091686,0.32124,100
A_RAW,ward,5,0.191918,0.19187,0.049607,0.116348,0.283049,100
A_RAW,ward,6,0.171493,0.166608,0.029939,0.125888,0.211985,100
A_RAW,ward,7,0.169049,0.169073,0.027909,0.1232,0.214089,100
A_RAW,complete,2,0.868007,1.0,0.25791,0.301394,1.0,100
A_RAW,complete,3,0.644561,0.676179,0.117004,0.48123,0.808838,100
A_RAW,complete,4,0.67038,0.684821,0.09218,0.522681,0.808841,100
A_RAW,complete,5,0.666545,0.68949,0.109142,0.482002,0.809782,100
A_RAW,complete,6,0.5673,0.565975,0.161161,0.328742,0.786419,100
A_RAW,complete,7,0.545728,0.586896,0.18861,0.097856,0.758743,100
A_RAW,average,2,0.910182,1.0,0.184566,0.459941,1.0,100
A_RAW,average,3,0.755383,0.89739,0.258011,0.306251,1.0,100
A_RAW,average,4,0.862822,0.916036,0.1597,0.468827,1.0,100
A_RAW,average,5,0.809429,0.829127,0.137563,0.585256,1.0,100
A_RAW,average,6,0.778316,0.773235,0.127132,0.529875,0.999925,100
A_RAW,average,7,0.755013,0.757414,0.090862,0.575868,0.888184,100
A_LOG,ward,2,0.24238,0.243822,0.083071,0.086537,0.372547,100
A_LOG,ward,3,0.205604,0.203496,0.060922,0.110734,0.317562,100
A_LOG,ward,4,0.221781,0.220552,0.061564,0.116177,0.314344,100
A_LOG,ward,5,0.193209,0.18624,0.039001,0.133807,0.26592,100
A_LOG,ward,6,0.190777,0.185533,0.035376,0.145184,0.258064,100
A_LOG,ward,7,0.187453,0.186694,0.022262,0.155166,0.225578,100
A_LOG,complete,2,0.589445,0.603156,0.121781,0.366648,0.751908,100
A_LOG,complete,3,0.573332,0.605214,0.169596,0.227432,0.779052,100
A_LOG,complete,4,0.209354,0.208474,0.109333,0.012541,0.371053,100
A_LOG,complete,5,0.181719,0.195803,0.10844,-0.006814,0.344201,100
A_LOG,complete,6,0.192016,0.205933,0.110403,0.013023,0.360548,100
A_LOG,complete,7,0.208631,0.22245,0.115497,0.041315,0.386734,100
A_LOG,average,2,0.609934,1.0,0.487832,-0.000418,1.0,100
A_LOG,average,3,0.852652,0.927709,0.191964,0.425725,1.0,100
A_LOG,average,4,0.888935,0.916058,0.112876,0.568475,0.999911,100
A_LOG,average,5,0.884441,0.905242,0.085609,0.73848,0.969017,100
A_LOG,average,6,0.856898,0.871353,0.086617,0.712347,0.969035,100
A_LOG,average,7,0.814697,0.815448,0.088671,0.643005,0.9413,100
B_RAW,ward,2,0.140064,0.115587,0.128141,-0.000314,0.395235,100
B_RAW,ward,3,0.278221,0.270266,0.066125,0.191579,0.389951,100
B_RAW,ward,4,0.335675,0.332045,0.056571,0.257601,0.432015,100
B_RAW,ward,5,0.348076,0.340051,0.056737,0.278049,0.446435,100
B_RAW,ward,6,0.333977,0.329397,0.046621,0.263795,0.409377,100
B_RAW,ward,7,0.331348,0.324655,0.047436,0.265372,0.411367,100
B_RAW,complete,2,0.853972,1.0,0.349728,0.0,1.0,100
B_RAW,complete,3,0.757382,0.887341,0.284254,0.239527,1.0,100
B_RAW,complete,4,0.344491,0.431717,0.213495,0.015264,0.580582,100
B_RAW,complete,5,0.174201,0.083103,0.201598,0.014485,0.664448,100
B_RAW,complete,6,0.161846,0.082916,0.187555,0.027727,0.66812,100
B_RAW,complete,7,0.130141,0.108,0.07613,0.032274,0.261637,100
B_RAW,average,2,0.86,1.0,0.346987,0.0,1.0,100
B_RAW,average,3,0.75244,1.0,0.311024,0.282078,1.0,100
B_RAW,average,4,0.864932,0.907992,0.184525,0.441065,1.0,100
B_RAW,average,5,0.81349,0.855116,0.17375,0.395573,1.0,100
B_RAW,average,6,0.790432,0.820208,0.15147,0.493181,1.0,100
B_RAW,average,7,0.731365,0.732086,0.13692,0.517763,0.93271,100
B_LOG,ward,2,0.194499,0.16587,0.149779,0.003488,0.447862,100
B_LOG,ward,3,0.317953,0.307305,0.093645,0.20057,0.488392,100
B_LOG,ward,4,0.329378,0.317688,0.062648,0.243962,0.468914,100
B_LOG,ward,5,0.367784,0.365806,0.054083,0.26682,0.44659,100
B_LOG,ward,6,0.367599,0.364419,0.053931,0.282038,0.453564,100
B_LOG,ward,7,0.350328,0.349163,0.047147,0.270464,0.441222,100
B_LOG,complete,2,0.716248,1.0,0.417556,0.0,1.0,100
B_LOG,complete,3,0.051958,0.011571,0.075266,-0.014686,0.208343,100
B_LOG,complete,4,0.098075,0.087476,0.074113,-0.000599,0.23116,100
B_LOG,complete,5,0.143749,0.13782,0.068128,0.056719,0.264748,100
B_LOG,complete,6,0.156239,0.147773,0.070174,0.066031,0.297597,100
B_LOG,complete,7,0.178857,0.177092,0.062498,0.079354,0.268953,100
B_LOG,average,2,0.79,1.0,0.407308,0.0,1.0,100
B_LOG,average,3,0.872054,1.0,0.205307,0.665802,1.0,100
B_LOG,average,4,0.781149,0.799065,0.226047,0.392983,1.0,100
B_LOG,average,5,0.693793,0.74821,0.190846,0.396054,1.0,100
B_LOG,average,6,0.635024,0.637287,0.170614,0.390493,0.887924,100
B_LOG,average,7,0.673641,0.663042,0.155987,0.427064,0.922087,100
