matrix_name,K,n_samples,n_features,k_neighbors,silhouette_score,calinski_harabasz_score,davies_bouldin_score,embedding_kmeans_inertia,cluster_sizes,cluster_proportions,min_cluster_size,max_cluster_size,min_cluster_proportion,max_cluster_proportion,max_min_cluster_ratio,fiedler_lambda2,eigengap_K_minus_1_to_K,eigengap_K_to_K_plus_1,random_seed,n_init,sklearn_version,runtime_k_seconds
A_RAW,2,4482,19,10,0.09346063431894203,419.76883186467114,3.0760384478845184,398.4459867666732,"{""0"": 1998, ""1"": 2484}","[0.4458, 0.5542]",1998,2484,0.4458,0.5542,1.2432,0.07798,0.07798,0.012807,42,25,1.4.1.post1,2.056
A_RAW,3,4482,19,10,0.021210820308463198,272.8145152345148,4.265128120048188,540.00591261278,"{""0"": 1487, ""1"": 1542, ""2"": 1453}","[0.3318, 0.344, 0.3242]",1453,1542,0.3242,0.344,1.0613,0.07798,0.012807,0.000876,42,25,1.4.1.post1,1.699
A_RAW,4,4482,19,10,0.029886965466744755,260.3915940964427,3.7562430416363504,525.6824070252184,"{""0"": 1408, ""1"": 1185, ""2"": 613, ""3"": 1276}","[0.3141, 0.2644, 0.1368, 0.2847]",613,1408,0.1368,0.3141,2.2969,0.07798,0.000876,0.008379,42,25,1.4.1.post1,2.066
A_RAW,5,4482,19,10,0.03790813278476461,251.66085027225802,3.42195663394117,665.7929230684667,"{""0"": 1348, ""1"": 1052, ""2"": 1172, ""3"": 340, ""4"": 570}","[0.3008, 0.2347, 0.2615, 0.0759, 0.1272]",340,1348,0.0759,0.3008,3.9647,0.07798,0.008379,0.021558,42,25,1.4.1.post1,2.773
A_RAW,6,4482,19,10,0.042490809439749026,243.36817220512313,2.8637717433250844,868.9228277156889,"{""0"": 430, ""1"": 1041, ""2"": 355, ""3"": 600, ""4"": 1182, ""5"": 874}","[0.0959, 0.2323, 0.0792, 0.1339, 0.2637, 0.195]",355,1182,0.0792,0.2637,3.3296,0.07798,0.021558,0.017767,42,25,1.4.1.post1,5.559
A_RAW,7,4482,19,10,0.040608740950581326,224.20061937251418,2.8513445891646305,996.1933129307337,"{""0"": 776, ""1"": 903, ""2"": 777, ""3"": 392, ""4"": 741, ""5"": 569, ""6"": 324}","[0.1731, 0.2015, 0.1734, 0.0875, 0.1653, 0.127, 0.0723]",324,903,0.0723,0.2015,2.787,0.07798,0.017767,0.013177,42,25,1.4.1.post1,2.578
A_LOG,2,4482,19,10,0.0873940552888638,465.65527428629315,2.9354372806950413,446.2418237870646,"{""0"": 1922, ""1"": 2560}","[0.4288, 0.5712]",1922,2560,0.4288,0.5712,1.3319,0.087695,0.087695,0.024706,42,25,1.4.1.post1,1.361
A_LOG,3,4482,19,10,0.07416149578551874,368.0404841533712,2.876222078273892,808.4489343179669,"{""0"": 1012, ""1"": 1953, ""2"": 1517}","[0.2258, 0.4357, 0.3385]",1012,1953,0.2258,0.4357,1.9298,0.087695,0.024706,0.010535,42,25,1.4.1.post1,1.628
A_LOG,4,4482,19,10,0.07855280082043029,326.0366956928372,2.6868145942303645,937.9352353513807,"{""0"": 594, ""1"": 1423, ""2"": 941, ""3"": 1524}","[0.1325, 0.3175, 0.21, 0.34]",594,1524,0.1325,0.34,2.5657,0.087695,0.010535,0.034562,42,25,1.4.1.post1,2.273
A_LOG,5,4482,19,10,0.05696597695540875,282.58029520776597,2.739811488592806,920.2383591438719,"{""0"": 788, ""1"": 1400, ""2"": 555, ""3"": 1190, ""4"": 549}","[0.1758, 0.3124, 0.1238, 0.2655, 0.1225]",549,1400,0.1225,0.3124,2.5501,0.087695,0.034562,0.007877,42,25,1.4.1.post1,2.964
