matrix,diagnostic_k,eigenvalue_index,eigenvalue,eigengap_to_next,k_selection_rule
A_RAW,5,1,0.0,0.044228,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,2,0.044228,0.003995,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,3,0.048224,0.009298,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,4,0.057522,0.010171,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,5,0.067693,0.015178,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,6,0.082871,0.012826,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,7,0.095697,0.006064,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,8,0.101761,0.005544,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,9,0.107306,0.004141,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_RAW,5,10,0.111447,,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,1,-0.0,0.061012,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,2,0.061012,0.003161,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,3,0.064174,0.005352,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,4,0.069526,0.02071,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,5,0.090236,0.021924,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,6,0.11216,0.011479,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,7,0.12364,0.003986,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,8,0.127626,0.002628,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,9,0.130254,0.011299,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
A_LOG,5,10,0.141554,,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,1,-0.0,0.065294,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,2,0.065294,0.010482,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,3,0.075776,0.047726,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,4,0.123502,0.012047,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,5,0.135549,0.027212,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,6,0.162761,0.0079,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,7,0.170661,0.003685,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,8,0.174346,0.007127,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,9,0.181473,0.008738,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_RAW,5,10,0.190211,,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,1,-0.0,0.06992,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,2,0.06992,0.005655,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,3,0.075576,0.059489,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,4,0.135064,0.009295,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,5,0.14436,0.013464,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,6,0.157824,0.016058,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,7,0.173882,0.017092,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,8,0.190975,0.007543,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,9,0.198518,0.011712,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
B_LOG,5,10,0.210229,,"Smallest k in sweep [5,7,10,12,15,20] yielding fully connected graph; if none connected, largest k in sweep."
