matrix,k,eigenvalue_index,eigenvalue,eigengap_to_next
A_RAW,5,1,0.0,0.044228
A_RAW,5,2,0.044228,0.003995
A_RAW,5,3,0.048224,0.009298
A_RAW,5,4,0.057522,0.010171
A_RAW,5,5,0.067693,0.015178
A_RAW,5,6,0.082871,0.012826
A_RAW,5,7,0.095697,0.006064
A_RAW,5,8,0.101761,0.005544
A_RAW,5,9,0.107306,0.004141
A_RAW,5,10,0.111447,
A_RAW,10,1,0.0,0.07798
A_RAW,10,2,0.07798,0.012807
A_RAW,10,3,0.090787,0.000876
A_RAW,10,4,0.091664,0.008379
A_RAW,10,5,0.100042,0.021558
A_RAW,10,6,0.1216,0.017767
A_RAW,10,7,0.139367,0.013177
A_RAW,10,8,0.152544,0.015027
A_RAW,10,9,0.167571,0.006074
A_RAW,10,10,0.173645,
A_RAW,15,1,-0.0,0.096046
A_RAW,15,2,0.096046,0.015918
A_RAW,15,3,0.111964,0.009457
A_RAW,15,4,0.121421,0.004079
A_RAW,15,5,0.125501,0.022415
A_RAW,15,6,0.147915,0.021985
A_RAW,15,7,0.1699,0.010884
A_RAW,15,8,0.180784,0.023468
A_RAW,15,9,0.204252,0.009177
A_RAW,15,10,0.213428,
A_RAW,20,1,0.0,0.107626
A_RAW,20,2,0.107626,0.020847
A_RAW,20,3,0.128473,0.016844
A_RAW,20,4,0.145317,0.00544
A_RAW,20,5,0.150758,0.020279
A_RAW,20,6,0.171036,0.019957
A_RAW,20,7,0.190993,0.010607
A_RAW,20,8,0.201601,0.028084
A_RAW,20,9,0.229684,0.008894
A_RAW,20,10,0.238578,
A_LOG,5,1,-0.0,0.061012
A_LOG,5,2,0.061012,0.003161
A_LOG,5,3,0.064174,0.005352
A_LOG,5,4,0.069526,0.02071
A_LOG,5,5,0.090236,0.021924
A_LOG,5,6,0.11216,0.011479
A_LOG,5,7,0.12364,0.003986
A_LOG,5,8,0.127626,0.002628
A_LOG,5,9,0.130254,0.011299
A_LOG,5,10,0.141554,
A_LOG,10,1,-0.0,0.087695
A_LOG,10,2,0.087695,0.024706
A_LOG,10,3,0.112401,0.010535
A_LOG,10,4,0.122936,0.034562
A_LOG,10,5,0.157498,0.007877
A_LOG,10,6,0.165375,0.009436
A_LOG,10,7,0.17481,0.009702
A_LOG,10,8,0.184512,0.02175
A_LOG,10,9,0.206262,0.007844
A_LOG,10,10,0.214106,
A_LOG,15,1,-0.0,0.100925
A_LOG,15,2,0.100925,0.030503
A_LOG,15,3,0.131428,0.024352
A_LOG,15,4,0.15578,0.038355
A_LOG,15,5,0.194135,0.003
A_LOG,15,6,0.197135,0.004653
A_LOG,15,7,0.201789,0.011056
A_LOG,15,8,0.212845,0.028005
A_LOG,15,9,0.240849,0.010939
A_LOG,15,10,0.251788,
A_LOG,20,1,-0.0,0.110487
A_LOG,20,2,0.110487,0.036296
A_LOG,20,3,0.146783,0.02896
A_LOG,20,4,0.175743,0.04279
A_LOG,20,5,0.218533,0.00459
A_LOG,20,6,0.223123,0.003011
A_LOG,20,7,0.226134,0.021391
A_LOG,20,8,0.247525,0.025201
A_LOG,20,9,0.272726,0.006446
A_LOG,20,10,0.279172,
B_RAW,5,1,0.0,0.065294
B_RAW,5,2,0.065294,0.010482
B_RAW,5,3,0.075776,0.047726
B_RAW,5,4,0.123502,0.012047
B_RAW,5,5,0.135549,0.027212
B_RAW,5,6,0.162761,0.0079
B_RAW,5,7,0.170661,0.003685
B_RAW,5,8,0.174346,0.007127
B_RAW,5,9,0.181473,0.008738
B_RAW,5,10,0.190211,
B_RAW,10,1,-0.0,0.096591
B_RAW,10,2,0.096591,0.009526
B_RAW,10,3,0.106117,0.079608
B_RAW,10,4,0.185725,0.013754
B_RAW,10,5,0.199479,0.035854
B_RAW,10,6,0.235333,0.010794
B_RAW,10,7,0.246127,0.01641
B_RAW,10,8,0.262537,0.012441
B_RAW,10,9,0.274979,0.01014
B_RAW,10,10,0.285119,
B_RAW,15,1,0.0,0.111643
B_RAW,15,2,0.111643,0.018007
B_RAW,15,3,0.12965,0.101043
B_RAW,15,4,0.230693,0.023347
B_RAW,15,5,0.25404,0.024866
B_RAW,15,6,0.278906,0.006178
B_RAW,15,7,0.285084,0.028392
B_RAW,15,8,0.313476,0.025612
B_RAW,15,9,0.339088,0.009858
B_RAW,15,10,0.348946,
B_RAW,20,1,-0.0,0.12383
B_RAW,20,2,0.12383,0.023172
B_RAW,20,3,0.147002,0.12078
B_RAW,20,4,0.267782,0.026185
B_RAW,20,5,0.293966,0.014747
B_RAW,20,6,0.308713,0.010814
B_RAW,20,7,0.319527,0.032668
B_RAW,20,8,0.352195,0.026309
B_RAW,20,9,0.378504,0.011931
B_RAW,20,10,0.390435,
B_LOG,5,1,-0.0,0.06992
B_LOG,5,2,0.06992,0.005655
B_LOG,5,3,0.075576,0.059489
