matrix,N,k,fiedler_lambda2,gap_1_to_2_fiedler,gap_2_to_3,gap_3_to_4,gap_4_to_5,gap_5_to_6,gap_6_to_7,gap_7_to_8,gap_8_to_9,gap_9_to_10,max_sub_fiedler_gap_pos,max_sub_fiedler_gap_mag
A_RAW,4482,5,0.044228,0.044228,0.003995,0.009298,0.010171,0.015178,0.012826,0.006064,0.005544,0.004141,5->6,0.015178
A_RAW,4482,10,0.07798,0.07798,0.012807,0.000876,0.008379,0.021558,0.017767,0.013177,0.015027,0.006074,5->6,0.021558
A_RAW,4482,15,0.096046,0.096046,0.015918,0.009457,0.004079,0.022415,0.021985,0.010884,0.023468,0.009177,8->9,0.023468
A_RAW,4482,20,0.107626,0.107626,0.020847,0.016844,0.00544,0.020279,0.019957,0.010607,0.028084,0.008894,8->9,0.028084
A_LOG,4482,5,0.061012,0.061012,0.003161,0.005352,0.02071,0.021924,0.011479,0.003986,0.002628,0.011299,5->6,0.021924
A_LOG,4482,10,0.087695,0.087695,0.024706,0.010535,0.034562,0.007877,0.009436,0.009702,0.02175,0.007844,4->5,0.034562
A_LOG,4482,15,0.100925,0.100925,0.030503,0.024352,0.038355,0.003,0.004653,0.011056,0.028005,0.010939,4->5,0.038355
A_LOG,4482,20,0.110487,0.110487,0.036296,0.02896,0.04279,0.00459,0.003011,0.021391,0.025201,0.006446,4->5,0.04279
B_RAW,967,5,0.065294,0.065294,0.010482,0.047726,0.012047,0.027212,0.0079,0.003685,0.007127,0.008738,3->4,0.047726
B_RAW,967,10,0.096591,0.096591,0.009526,0.079608,0.013754,0.035854,0.010794,0.01641,0.012441,0.01014,3->4,0.079608
B_RAW,967,15,0.111643,0.111643,0.018007,0.101043,0.023347,0.024866,0.006178,0.028392,0.025612,0.009858,3->4,0.101043
B_RAW,967,20,0.12383,0.12383,0.023172,0.12078,0.026185,0.014747,0.010814,0.032668,0.026309,0.011931,3->4,0.12078
B_LOG,967,5,0.06992,0.06992,0.005655,0.059489,0.009295,0.013464,0.016058,0.017092,0.007543,0.011712,3->4,0.059489
B_LOG,967,10,0.094559,0.094559,0.011982,0.087918,0.020773,0.01228,0.026196,0.026164,0.014926,0.010971,3->4,0.087918
B_LOG,967,15,0.110543,0.110543,0.014817,0.102834,0.035056,0.005556,0.034655,0.018569,0.028527,0.004554,3->4,0.102834
B_LOG,967,20,0.122356,0.122356,0.017707,0.118669,0.039112,0.010172,0.026848,0.023033,0.032031,0.001333,3->4,0.118669
