,BMXBMI,BMXWAIST,DXDTOBMD,DXDTOPF,DXDTOLE,Avg_Systolic_BP,Avg_Diastolic_BP,BPXPLS,LBXGLU,LBXIN,HOMA_IR,LBXTC,LBDHDD,LBXSTR,TC_HDL_ratio,TG_HDL_ratio,LBXSATSI,LBXSAL,LBXSTP,LBXSTB,LBXSCR,LBXSUA,LBXSBU,LBXSCA,LBXSPH,LBXSNASI,LBXSKSI
BMXBMI,1.0,0.9028616994363409,0.14576349794376728,0.5777410289217723,0.5956539327541397,0.13282717497922672,0.09423129105575087,0.09772880879471786,0.18236274907805633,0.3046551772117836,0.24952374929832993,-0.008349950951506074,-0.2683654392460114,0.13574247496155734,0.20032396654856874,0.1393493183175522,0.11592590185701858,-0.268321862315904,-0.04754949606328526,-0.10646520927212559,0.024351214309793836,0.2581055954717444,0.03581268048572124,-0.08965173523517796,-0.0586960614786635,-0.010599333537563085,0.021557945519457687
BMXWAIST,0.9028616994363409,1.0,0.14223958825448083,0.5103600505372092,0.6606321029220914,0.19911720829513355,0.11648733925976698,0.0862987263229857,0.24820779081731253,0.3097001928395202,0.25974202677968355,-0.004852581509671091,-0.33214174844427174,0.19235318848053845,0.2508979249109654,0.19153899335072055,0.15617629099404134,-0.24899335195568859,-0.08255438920725768,-0.059838594153057124,0.08547395419307698,0.33322926386241086,0.10834099910729411,-0.06322288059130148,-0.08458433307264453,-0.0049167310278965155,0.0632686063050887
DXDTOBMD,0.14576349794376728,0.14223958825448083,1.0,-0.3110012915961807,0.4876778512585608,0.048413007649062194,0.0489618783404984,-0.08376582406088723,0.07185954379908306,-0.014683265100851927,0.020492817117834503,-0.08551178795048622,-0.0860327730747184,0.008838650237198376,0.019518914510202916,0.027869436075575883,0.02772535470007669,0.03490725016951849,-0.0236533083684237,0.10221407695390339,0.16883329752311832,0.19763897777553946,0.10257780505085767,-0.0038408730417140375,0.014615348513815504,-0.030166633453545116,0.020417891888322746
DXDTOPF,0.5777410289217723,0.5103600505372092,-0.3110012915961807,1.0,-0.20855331139013747,0.0511402584422404,0.03270081436090699,0.14898054933574376,0.07115631824389583,0.2435617317873341,0.20396112647510453,0.09339432703430309,-0.016562916884525256,-0.011759360498778853,0.01750568766606632,-0.03859525393046753,-0.09104990586522603,-0.39418622577604256,-0.05546581987486104,-0.25493405524425244,-0.21539152202390202,-0.16863227027762673,-0.15165088480728825,-0.15818774863810536,-0.050788729033186174,-0.048183515833935,-0.10180057443428145
DXDTOLE,0.5956539327541397,0.6606321029220914,0.4876778512585608,-0.20855331139013747,1.0,0.2256267546644673,0.18948419365148989,-0.017468869847438003,0.1529674403528263,0.26175127725046515,0.2514885783897336,-0.004539152977851211,-0.3882515433915721,0.21685641257564764,0.29818969627599773,0.2348310913864407,0.2879047855279954,0.05021030471012062,0.012857329113098915,0.11540475399446161,0.2698504164322274,0.4899539451331042,0.1650364052695036,0.03028540201790802,-0.05104629136823102,-0.005436497664919952,0.11043157722770912
Avg_Systolic_BP,0.13282717497922672,0.19911720829513355,0.048413007649062194,0.0511402584422404,0.2256267546644673,1.0,0.3807086365800028,-0.07586441351338633,0.16838685283984547,0.06719673457127331,0.08558381204420738,0.10459317736544664,0.016027894258619564,0.07417883768764343,0.050402594994372975,0.03925285857147841,0.02966214012785849,-0.07553875374870557,0.023729140301904515,0.006319398227784665,0.1445406599804544,0.16657743382109053,0.17352480318112873,0.05217451346597868,-0.07220133816155286,0.0766278164971713,0.01731467463641272
Avg_Diastolic_BP,0.09423129105575087,0.11648733925976698,0.0489618783404984,0.03270081436090699,0.18948419365148989,0.3807086365800028,1.0,0.11278075135822034,-0.0072649648009643275,0.02603209620191592,0.009425978819558655,0.13527091350599751,-0.058514963724513334,0.08360307244006596,0.14146411329954414,0.07584023528056859,0.13422669636526563,0.05319628075804084,0.1284800409515924,0.016842762731176644,0.012629329251502779,0.09184891301952547,-0.10849433301198307,-0.0234285110275348,-0.06318442146705136,0.04282804166788165,-0.07539858292949426
BPXPLS,0.09772880879471786,0.0862987263229857,-0.08376582406088723,0.14898054933574376,-0.017468869847438003,-0.07586441351338633,0.11278075135822034,1.0,0.13412965069619556,0.13484627198019472,0.1309777855865564,0.0522163716131147,-0.032158056031539095,0.1044636660099527,0.07844974767784221,0.08891245613701239,0.07118008542445783,-0.022640941224166967,0.1295774332834373,-0.07722164499209154,-0.07142601746878884,-0.033850054858117956,-0.11330734989033407,0.04835551415501326,0.0002335741094404668,-0.09747543058154651,-0.08500793478554997
LBXGLU,0.18236274907805633,0.24820779081731253,0.07185954379908306,0.07115631824389583,0.1529674403528263,0.16838685283984547,-0.0072649648009643275,0.13412965069619556,1.0,0.2362620006005269,0.43414346072504667,-0.014529952651528871,-0.1799700345151188,0.22789506384281244,0.15661378730148703,0.22174454953872316,0.11773606848418723,-0.07587140125623272,0.007423422059569388,0.05868492917693053,0.014134297335619293,0.0419251771309874,0.17776754867550315,0.054892325255680344,-0.047513593331154264,-0.1362582520173045,0.048022585785606045
LBXIN,0.3046551772117836,0.3097001928395202,-0.014683265100851927,0.2435617317873341,0.26175127725046515,0.06719673457127331,0.02603209620191592,0.13484627198019472,0.2362620006005269,1.0,0.8954058805734788,-0.058201291614399776,-0.2010542858821274,0.14387407021446197,0.1239303021078266,0.14036645263660907,0.11358631917577522,-0.17951748533581008,0.023946252600956154,-0.08532123583856838,0.028868258183793464,0.1107769677222987,0.13133668325904924,-0.03660839573324858,-0.005620607693002772,-0.00436758536710814,-0.0067347051515372755
HOMA_IR,0.24952374929832993,0.25974202677968355,0.020492817117834503,0.20396112647510453,0.2514885783897336,0.08558381204420738,0.009425978819558655,0.1309777855865564,0.43414346072504667,0.8954058805734788,1.0,-0.04543240741167556,-0.17107595738086914,0.15423389915791724,0.11348478303370328,0.15012708333978428,0.09625863670858777,-0.1690138206579721,0.004346512009122128,-0.05867021742648186,0.027245228305595132,0.08207334667150198,0.15649916089292049,-0.011958070603422669,-0.009110961343191204,-0.0422249915904066,0.007558427679490778
LBXTC,-0.008349950951506074,-0.004852581509671091,-0.08551178795048622,0.09339432703430309,-0.004539152977851211,0.10459317736544664,0.13527091350599751,0.0522163716131147,-0.014529952651528871,-0.058201291614399776,-0.04543240741167556,1.0,0.19084006886811464,0.29734890582224416,0.5162589198675035,0.19479933431676397,0.08150560612604897,0.05489750022904424,0.10587759386443808,-0.09678564883815523,-0.06526777139899945,0.03212709361488688,-0.03275819225553079,0.1484885364406509,0.04011879124562514,-0.07897172405603016,-0.07446162276999856
LBDHDD,-0.2683654392460114,-0.33214174844427174,-0.0860327730747184,-0.016562916884525256,-0.3882515433915721,0.016027894258619564,-0.058514963724513334,-0.032158056031539095,-0.1799700345151188,-0.2010542858821274,-0.17107595738086914,0.19084006886811464,1.0,-0.3986662526925733,-0.6338308254533124,-0.4754911662038202,-0.13922143744520657,0.0011183448884352113,-0.030943891048190023,0.026047501003058592,-0.09191261884855197,-0.24538217861860404,-0.05569950690975401,0.07065395790632512,0.04403512089788828,-0.004270601491551672,-0.07854206070012307
LBXSTR,0.13574247496155734,0.19235318848053845,0.008838650237198376,-0.011759360498778853,0.21685641257564764,0.07417883768764343,0.08360307244006596,0.1044636660099527,0.22789506384281244,0.14387407021446197,0.15423389915791724,0.29734890582224416,-0.3986662526925733,1.0,0.6183539398739586,0.9580560568040307,0.19478790757815867,0.0251752332980268,0.04393018503730248,-0.09556095580196355,0.042876727684863614,0.20219865065136464,0.08964684393424321,0.04688435795880259,0.03494408226124078,-0.08041991518744902,0.007355955933626373
