variable,n_valid,mean,std,min,p25,median,p75,max,skewness,kurtosis,skew_class
BMXBMI,5175,29.8518,7.3963,14.2,24.8,28.6,33.6,86.2,1.2695,3.3003,Moderately skewed (right)
BMXWAIST,4937,100.7598,16.9976,57.9,88.8,99.4,111.1,169.5,0.4946,0.2297,Approximately symmetric
DXDTOBMD,2253,1.1178,0.1065,0.697,1.045,1.113,1.183,1.728,0.3523,0.7503,Approximately symmetric
DXDTOPF,2250,33.5027,8.5539,12.1,27.3,33.4,40.5,56.1,-0.1022,-0.6839,Approximately symmetric
DXDTOLE,2347,51056.3722,12652.6395,20076.9,40856.7,49759.6,59567.55,105578.4,0.5247,-0.0761,Approximately symmetric
Avg_Systolic_BP,4996,127.1418,20.1749,72.6667,112.6667,124.0,137.3333,238.0,1.0174,1.6338,Moderately skewed (right)
Avg_Diastolic_BP,4996,72.551,12.947,0.0,65.3333,72.6667,80.0,135.3333,-0.5349,3.7181,Approximately symmetric
BPXPLS,5017,71.6739,11.7009,34.0,64.0,70.0,78.0,136.0,0.6844,1.0281,Approximately symmetric
LBXGLU,2435,114.3864,37.8572,47.0,96.0,104.0,116.0,451.0,3.7235,17.9199,HEAVILY SKEWED (right)
LBXIN,2379,14.7233,21.1024,1.2,6.25,9.95,16.41,485.1,9.75,152.4203,HEAVILY SKEWED (right)
HOMA_IR,2379,4.6304,9.2213,0.2676,1.603,2.6173,4.7449,178.8105,10.5267,148.2601,HEAVILY SKEWED (right)
LBXTC,4937,188.0703,41.2855,76.0,160.0,185.0,213.0,446.0,0.6562,1.3697,Approximately symmetric
LBDHDD,4937,53.2564,15.68,10.0,42.0,51.0,61.0,189.0,1.3175,4.4657,Moderately skewed (right)
LBXSTR,4914,145.8639,115.0527,25.0,83.0,118.0,171.0,2923.0,6.4491,96.4954,HEAVILY SKEWED (right)
TC_HDL_ratio,4937,3.7883,1.3769,1.2843,2.859,3.5636,4.4375,28.0,3.1707,35.7553,HEAVILY SKEWED (right)
TG_HDL_ratio,4910,3.2904,3.9401,0.3034,1.4029,2.3,3.8218,100.7931,8.0359,122.6588,HEAVILY SKEWED (right)
LBXSATSI,4915,22.2193,16.489,3.0,13.0,18.0,25.0,213.0,3.871,24.5003,HEAVILY SKEWED (right)
LBXSAL,4917,4.0403,0.339,2.1,3.8,4.1,4.3,5.4,-0.445,1.1219,Approximately symmetric
LBXSTP,4914,7.1427,0.4425,5.3,6.8,7.1,7.4,10.0,0.0905,0.645,Approximately symmetric
LBXSTB,4916,0.4608,0.2712,0.1,0.3,0.4,0.6,2.8,2.1395,7.9495,HEAVILY SKEWED (right)
LBXSCR,4916,0.9073,0.4776,0.25,0.7,0.85,1.01,12.74,12.0385,226.049,HEAVILY SKEWED (right)
LBXSUA,4914,5.474,1.5016,0.8,4.4,5.3,6.4,15.1,0.5821,0.7498,Approximately symmetric
LBXSBU,4914,15.1709,6.227,2.0,11.0,14.0,18.0,79.0,2.4243,12.7326,HEAVILY SKEWED (right)
LBXSCA,4914,9.2798,0.3724,6.4,9.0,9.3,9.5,11.7,0.0975,2.7249,Approximately symmetric
LBXSPH,4914,3.5608,0.5295,1.9,3.2,3.6,3.9,9.6,0.7086,5.8918,Approximately symmetric
LBXSNASI,4917,140.3297,2.799,121.0,139.0,140.0,142.0,151.0,-0.2634,1.2093,Approximately symmetric
LBXSKSI,4914,4.0819,0.3711,2.8,3.8,4.1,4.3,6.6,0.4033,1.302,Approximately symmetric
