,missing_count,missing_pct,present_count
DXDTOPF,3319,59.6,2250
DXDTOBMD,3316,59.54,2253
DXDTOLE,3222,57.86,2347
LBXIN,3190,57.28,2379
HOMA_IR,3190,57.28,2379
LBDINLC,3183,57.16,2386
LBXGLU,3134,56.28,2435
DXAEXSTS,2322,41.7,3247
BPXDI1,910,16.34,4659
BPXSY1,910,16.34,4659
BPXSY3,696,12.5,4873
BPXDI3,696,12.5,4873
BPXSY2,683,12.26,4886
BPXDI2,683,12.26,4886
TG_HDL_ratio,659,11.83,4910
LBXSKSI,655,11.76,4914
LBXSPH,655,11.76,4914
LBXSBU,655,11.76,4914
LBXSCA,655,11.76,4914
LBXSUA,655,11.76,4914
LBXSTP,655,11.76,4914
LBXSTR,655,11.76,4914
LBXSATSI,654,11.74,4915
LBXSCR,653,11.73,4916
LBXSTB,653,11.73,4916
LBXSNASI,652,11.71,4917
LBXSAL,652,11.71,4917
TC_HDL_ratio,632,11.35,4937
BMXWAIST,632,11.35,4937
LBDHDD,632,11.35,4937
LBXTC,632,11.35,4937
Avg_Diastolic_BP,573,10.29,4996
Avg_Systolic_BP,573,10.29,4996
BPXPLS,552,9.91,5017
BMXBMI,394,7.07,5175
RIDRETH3,0,0.0,5569
SEQN,0,0.0,5569
RIAGENDR,0,0.0,5569
RIDAGEYR,0,0.0,5569
