variable,n_valid,Q1,Q3,IQR,lower_fence,upper_fence,n_mild_outliers,pct_mild,n_extreme_outliers,pct_extreme,max_value,min_value,n_plausible,n_suspicious,n_requires_inv
BMXBMI,5175.0,24.8,33.6,8.8,11.6,46.8,152.0,2.94,20.0,0.39,86.2,14.2,18.0,2.0,0.0
BMXWAIST,4937.0,88.8,111.1,22.3,55.35,144.55,64.0,1.3,0.0,0.0,169.5,57.9,0.0,0.0,0.0
DXDTOBMD,2253.0,1.045,1.183,0.138,0.838,1.39,31.0,1.38,1.0,0.04,1.728,0.697,1.0,0.0,0.0
DXDTOPF,2250.0,27.3,40.5,13.2,7.5,60.3,0.0,0.0,0.0,0.0,56.1,12.1,0.0,0.0,0.0
DXDTOLE,2347.0,40856.7,59567.55,18710.85,12790.425,87633.825,9.0,0.38,0.0,0.0,105578.4,20076.9,0.0,0.0,0.0
Avg_Systolic_BP,4996.0,112.6667,137.3333,24.6667,75.6667,174.3333,142.0,2.84,11.0,0.22,238.0,72.6667,11.0,0.0,0.0
Avg_Diastolic_BP,4996.0,65.3333,80.0,14.6667,43.3333,102.0,136.0,2.72,28.0,0.56,135.3333,0.0,4.0,8.0,16.0
BPXPLS,5017.0,64.0,78.0,14.0,43.0,99.0,97.0,1.93,5.0,0.1,136.0,34.0,5.0,0.0,0.0
LBXGLU,2435.0,96.0,116.0,20.0,66.0,146.0,254.0,10.43,129.0,5.3,451.0,47.0,129.0,0.0,0.0
LBXIN,2379.0,6.25,16.41,10.16,-8.99,31.65,163.0,6.85,73.0,3.07,485.1,1.2,73.0,0.0,0.0
HOMA_IR,2379.0,1.603,4.7449,3.1418,-3.1097,9.4576,199.0,8.36,93.0,3.91,178.8105,0.2676,87.0,6.0,0.0
LBXTC,4937.0,160.0,213.0,53.0,80.5,292.5,74.0,1.5,6.0,0.12,446.0,76.0,6.0,0.0,0.0
LBDHDD,4937.0,42.0,61.0,19.0,13.5,89.5,125.0,2.53,19.0,0.38,189.0,10.0,19.0,0.0,0.0
LBXSTR,4914.0,83.0,171.0,88.0,-49.0,303.0,294.0,5.98,106.0,2.16,2923.0,25.0,106.0,0.0,0.0
TC_HDL_ratio,4937.0,2.859,4.4375,1.5785,0.4912,6.8053,119.0,2.41,21.0,0.43,28.0,1.2843,21.0,0.0,0.0
TG_HDL_ratio,4910.0,1.4029,3.8218,2.4189,-2.2254,7.4501,328.0,6.68,147.0,2.99,100.7931,0.3034,146.0,1.0,0.0
LBXSATSI,4915.0,13.0,25.0,12.0,-5.0,43.0,365.0,7.43,134.0,2.73,213.0,3.0,134.0,0.0,0.0
LBXSAL,4917.0,3.8,4.3,0.5,3.05,5.05,45.0,0.92,1.0,0.02,5.4,2.1,1.0,0.0,0.0
LBXSTP,4914.0,6.8,7.4,0.6,5.9,8.3,40.0,0.81,1.0,0.02,10.0,5.3,1.0,0.0,0.0
LBXSTB,4916.0,0.3,0.6,0.3,-0.15,1.05,191.0,3.89,37.0,0.75,2.8,0.1,37.0,0.0,0.0
LBXSCR,4916.0,0.7,1.01,0.31,0.235,1.475,162.0,3.3,58.0,1.18,12.74,0.25,58.0,0.0,0.0
LBXSUA,4914.0,4.4,6.4,2.0,1.4,9.4,58.0,1.18,1.0,0.02,15.1,0.8,1.0,0.0,0.0
LBXSBU,4914.0,11.0,18.0,7.0,0.5,28.5,150.0,3.05,38.0,0.77,79.0,2.0,38.0,0.0,0.0
LBXSCA,4914.0,9.0,9.5,0.5,8.25,10.25,62.0,1.26,6.0,0.12,11.7,6.4,6.0,0.0,0.0
LBXSPH,4914.0,3.2,3.9,0.7,2.15,4.95,49.0,1.0,4.0,0.08,9.6,1.9,4.0,0.0,0.0
LBXSNASI,4917.0,139.0,142.0,3.0,134.5,146.5,144.0,2.93,9.0,0.18,151.0,121.0,9.0,0.0,0.0
LBXSKSI,4914.0,3.8,4.3,0.5,3.05,5.05,78.0,1.59,2.0,0.04,6.6,2.8,2.0,0.0,0.0
