,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
BMXBMI,0.41831585223389495,0.23396666097810792,-0.18893877643021934,-0.09254796881964436,-0.08379227587253685,0.34010666933663997,-0.19064080549230422,-0.21857196331587497,0.05771373632864763,-0.001642537213350233,0.023593368731680858,-0.018918918938023745,0.03881358281491231,-0.047273909255628146,-0.19999955446610637,-0.0014576590930700834,0.06337500815870098,0.023047906269157765,0.6831238122928388
BMXWAIST,0.4706759265575077,0.19532924017408715,-0.12916388380481802,-0.07298016673572094,-0.09093434559693124,0.28788866989534795,-0.14582096461123759,-0.20189447104133917,0.020155711714274268,-0.01665052003907985,0.03530855119998763,0.05211769399446938,-0.007798455984768051,-0.05232359719428026,-0.16164483064760296,0.02761309382819775,0.0832277545438756,0.051668581114899095,-0.7219377557256865
Avg_Systolic_BP,0.21462119141253794,-0.061661589946218204,0.0163904266987754,0.6085574014361353,-0.01303494197141734,0.09520625931131219,-0.011429266025952074,0.09999306096795774,0.1704244239435506,-0.18398951157313642,0.18509025607577653,0.23537143516600853,-0.2332865140427755,0.3645838524293835,0.3028611283761456,-0.049063232348541645,0.32798075274452637,-0.12935134500552156,0.04274952760504802
Avg_Diastolic_BP,0.15684852491476117,-0.10494241509931533,-0.22802465480904444,0.5153519559131515,-0.1497867569068582,-0.11946997184431718,-0.08151012708858761,0.3709704210583621,0.056002928602688115,0.17273868916931337,0.16058288470639992,-0.012186710024471666,0.09634876528834001,-0.4542084050944623,-0.23480207626264116,-0.059479946301076,-0.3553464587598598,0.07991822602227268,-0.002004562713249017
BPXPLS,0.04201675460825413,-0.027862455061126022,-0.33368209182976033,-0.12443968659794707,0.09747374856897623,0.10908601688420229,-0.2115080013657977,0.4447611554501428,-0.6123049745012281,0.17748460077867612,-0.28031726852583244,0.2357214413498416,-0.15539410434693032,0.11609074844401032,0.05455452324239532,-0.06456831968587366,0.11433964693414156,-0.09051921698924198,0.009100545355944692
LBXTC,0.0531452070175302,-0.1829370480017393,-0.23162357249803098,0.2885952878044326,0.4646445867159306,-0.12495500760410459,0.1634544344326616,-0.4240252288910266,-0.17939380705369473,0.030217019132777478,-0.1617157583718674,0.014808720245069601,0.31980062129967773,-0.03153909819947313,-0.19551216148796885,0.05979260755965017,0.07476918731941629,-0.4223878666968466,-0.014630981859840688
LBDHDD,-0.3277938931354607,-0.015734466376946227,0.03216042768062086,0.3713470508787457,0.10747077954451989,0.3900203774519634,-0.03808383103146223,-0.3022790367814482,-0.2533169982846028,0.22954260202337562,-0.05767783900136306,-0.14962585125889796,-0.04539914548999675,-0.0230425615177006,0.049034864684022884,-0.06808877072811494,0.07255145029306334,0.5824123094925914,-0.014405526851554412
LBXSTR,0.34175590212804224,-0.12301141958764969,-0.174038356494428,-0.11471132050951839,0.3185014038430537,-0.4312664075008066,0.15126469094371237,-0.021411920578483158,0.081552168304344,-0.11474078777337249,-0.0798639138300776,0.24597803269954402,-0.0156530342750388,0.11294139009288402,0.004982101977534613,-0.001889117370336629,-0.008856931938413732,0.6415107054947039,0.050064801429846956
LBXSATSI,0.23214119119195883,-0.21735022437843712,-0.13025291983572398,-0.05097541442435739,-0.19632266331311893,-0.2837704043964157,0.05919232388048576,-0.22317324874483357,-0.13690161996031242,0.48535463582361255,0.2077702142527023,-0.4084809726523649,-0.40315129853859494,0.13054624989242156,0.1330006882910212,0.19876436161422767,0.016487453713324333,-0.07225189951413476,0.018124764149006475
LBXSAL,-0.09217293890249739,-0.5163989987264518,-0.0282134566728644,-0.1259475359777741,-0.16331139065656367,-0.04158084103008941,-0.10725746979233233,-0.036281666610176476,0.08529218747491062,-0.1323776641891341,-0.00366877495318026,-0.011247119381161231,-0.1526244030467014,-0.30959888642533107,-0.2979146228974198,-0.3201140773792858,0.5752721420980322,0.02616117487364034,0.004950995043346951
