,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
BMXBMI,0.46240391689561416,-0.12019858072488768,-0.2220398100907202,-0.0948730564453357,-0.04848265936309332,-0.33615618962084687,-0.21479988429743532,-0.13271247202335024,-0.007137713953697491,0.05904919114614557,0.010994494220817545,0.012441538859786338,-0.07869562727693086,0.1915976609744644,-0.08225224195375366,-0.08895271118134764,0.012280103350370343,0.07639575750490003,0.6833359226000123
BMXWAIST,0.5051221369872467,-0.09231998509568426,-0.16073018308391132,-0.07817073391470805,-0.07406504683026235,-0.2828063417090032,-0.17913079865855902,-0.1401161859364718,0.0023828032258442107,0.013489163907821428,0.011387077823960541,0.0686311420606575,-0.016698895047585337,0.15653428817051523,-0.08849832687686549,-0.07192534891344891,0.033485268235373414,0.038562225792766774,-0.7223402632638197
Avg_Systolic_BP,0.21452925576557125,0.08612131263673763,0.03756532305297206,0.60261433528982,-0.12018640380964211,-0.057574913051685106,0.02954797871600836,0.03705928054694105,-0.20789497751254044,-0.05700669655175337,0.1651137174193129,0.16213091112140188,0.3861192711659046,-0.06047789939624185,0.41269982614214723,-0.08870283377759836,0.34167613980785944,-0.1094144671161371,0.048278746545350595
Avg_Diastolic_BP,0.14982240987605203,0.17232263401568168,-0.1983310597448779,0.49615244755688703,-0.16076683984305654,0.0949432340931658,0.08221930543503628,0.40015814325791876,-0.01653325615462453,0.12297610341537288,0.12954504633031333,0.13208891764481742,-0.217024947189627,-0.07296267747471047,-0.46271130898994706,0.04170713632900832,-0.3696771155638781,0.0778285160011378,8.000317319308003e-05
BPXPLS,0.051676268289769414,0.1131538370400853,-0.27267697547883935,-0.09983866332007094,0.2086629728840389,-0.1485657756522315,-0.016806006936832537,0.5234759376511543,0.5241349760251499,-0.2615627497223311,-0.3340872696046713,0.15969895972971723,0.1680450949616022,-0.09854643903345964,0.09875244646572295,-0.08299988868854082,0.11393634485532539,-0.11121362257298449,0.009571143573332191
LBXTC,0.026427779652746796,0.23180428296399314,-0.14826847670366183,0.3423490601039743,0.41471365240578756,0.1599183708462691,-0.04438917157336392,-0.4569324339706833,0.1758915176604143,-0.049405048461183924,-0.17256291077888278,0.011217691113833625,-0.3225611242549432,0.16274551272728527,-0.05456782258665898,0.050982577737157767,0.07194816676116882,-0.4398784777322533,0.0014951259904485825
LBDHDD,-0.32716232652972177,-0.04340684788769639,0.029506561439744464,0.3860275943482971,0.06858266913034891,-0.35904914195476867,-0.07115340552048585,-0.26227359216316093,0.36203393658016575,0.03934964012262679,-0.06538410621952255,-0.10894749354568685,-0.0023067306078703304,-0.06344308536775495,-0.032845454743652136,-0.1665000357554927,0.0234865961963061,0.5916306079936712,-0.039384924356970996
LBXSTR,0.27712040087264145,0.21221905412506106,-0.09623743419169284,-0.09634974830232405,0.3355921830239177,0.5033361980623547,0.08152497833000229,-0.07309058022196314,-0.1466803207841239,-0.056604943219382656,-0.13578604670025876,0.20550251160368746,0.08605552769258597,0.08864547671310125,0.1355815282192994,-0.0827207050199608,-0.052528361419101936,0.5939734997548763,0.014956132897523441
LBXSATSI,0.17235672277082825,0.2500220580362561,-0.10727108651008573,-0.09043513512061001,-0.15734116163662948,0.24395174843064696,0.10443330481916842,-0.115356797985014,0.5099580320010613,0.39725179355327606,0.30272002052583524,-0.3736378917051589,0.3476774545108168,0.05755378819644643,0.01726151361147539,0.06510956330161648,-0.004297222124630677,-0.04038154317807658,0.011183034865675193
LBXSAL,-0.15890217591478062,0.49222124538784073,0.08068995784133294,-0.1363337419649282,-0.16712346573546522,0.012507189298258087,-0.11352750733007376,0.0207339768446965,-0.1485063239173578,-0.054013505755420944,-0.014871682755162995,-0.003531559744317481,0.0555666645408117,0.14605026875321683,-0.42895643699751895,-0.5159744489492379,0.40692882320993856,-0.020842797983243625,0.009121565998108427
