,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
BMXBMI,0.3772496207435468,0.18507416412888383,-0.11688376802372953,-0.10437454938648762,-0.19312616714370245,-0.05432904336396821,0.2333505502524476,-0.16713642646531848,0.043538823694212976,-0.008660382101933484,-0.03918240352875933,0.02480958668957722,-0.09020442806604503,-0.030073524111565435,-0.002159870428346376,-0.07725125325513277,-0.1486071196196088,-0.021886270051219056,0.016453320248916985,-0.031041580289809464,-0.0155175141618009,0.021443907446874154,-0.7227179686834847,0.3320897956245994
BMXWAIST,0.4090638030137673,0.13692507939792437,-0.08753077909742893,-0.07150420875144142,-0.14510566137512096,-0.05601192292739846,0.18276510511667005,-0.14561838579859795,0.031829099919200125,0.03034551255153184,-0.05220130511812403,0.06159833202271542,-0.08670142814290324,-0.0673475787813935,0.0640167405618027,-0.10038926215145544,-0.18856464844497234,-0.03753883408088318,0.013761558303620055,0.002585464908543302,-0.08063621087338763,-0.007582601381084806,0.6781544966935669,0.4290055093373327
DXDTOBMD,0.09589875347780465,-0.1829869461014647,-0.3157772044736567,0.13896528789710755,-0.31862446237603964,0.13302596435623398,-0.002391002975020382,0.1925879066137915,0.35916802264686254,-0.26789674082648884,-0.10611029623486821,0.0015369649368185533,-0.047952753930344066,0.10409997638613958,-0.48394894218736134,-0.07083336747270665,0.24434501497081404,0.2764560072650897,-0.18718966223763156,0.004520058768152496,0.10108674806080527,0.1815604340138394,0.0537517237635283,0.017951389387276657
DXDTOPF,0.1337773938263213,0.4241011394921966,0.12890305726614165,-0.09514326650284398,-0.041975310000061994,-0.09293704216056871,0.26108568115439124,-0.19265725639170117,-0.07009948123896784,0.09340337029763707,-0.035179580422197154,-1.3050743110891092e-05,-0.17283256109468642,-0.08496243306318306,-0.07617804689835111,-0.03922039708069306,0.03141749039694122,0.08767739791215803,-0.3236245868041154,0.12941878885321378,0.08435342011435173,0.37191282217117705,0.07135865002265279,-0.5664820060262641
DXDTOLE,0.33412529227987614,-0.21357381484875293,-0.27095240315790636,-0.02711192087845627,-0.19914308493770372,0.015366859351332971,0.036406913391152144,-7.452403220222642e-05,0.09173598199282987,-0.05640640373458852,-0.08983587602124911,0.06894568007046227,0.08047119535131245,0.013017176536629876,0.106610688077916,-0.11168592809792087,-0.22542913848879217,-0.16046502925543618,0.2245806711203596,-0.14883854940689684,-0.10418403473741635,-0.36963774301084434,0.018174441177286088,-0.6127784821613865
Avg_Systolic_BP,0.21825539133884017,-0.06078985219205443,0.1975828416546533,0.5275573336837939,-0.06586512087484399,-0.13746887432736948,0.07618894855352008,0.07207780525350838,-0.055729232616806984,-0.06783532453765517,0.15074659423990863,-0.22171829899034198,-0.11652329670133356,-0.008892427639609495,0.14109704413775298,-0.0009622733861778697,-0.010721359699941526,0.23866053179476732,0.5523338609417402,0.1536243937313644,0.20167879889982737,0.23309164346360445,2.4803746533352822e-05,-0.0562815660260553
Avg_Diastolic_BP,0.20074720292117937,-0.07469061758329058,0.18005983853849133,0.532868453011333,-0.03188972808391493,-0.210545018113219,0.03774854089953432,0.19149478760102626,-0.16386246709603638,0.03908228588792377,0.09953620369471627,-0.13243795224758886,0.006777824107908289,-0.1435767837738783,-0.003290759612608,-0.1228756973391341,0.09732790789615257,-0.16618319472903748,-0.5466994717723268,-0.1882108262745328,-0.1505650268694958,-0.256952559398525,-0.038207070715488275,0.03417083873092436
BPXPLS,0.07417881746764997,0.09837542042454138,0.2793184111493952,-0.12395800051351802,-0.12906317206343543,-0.13717568118163423,-0.09213829099531742,0.5922136837400435,-0.00010304882354833229,0.33815051569145976,-0.2862876897685115,0.3294164849766197,0.14723395135719136,-0.24779647637587884,-0.1931350041638299,-0.04353739577653573,-0.17027105431951683,0.10345146321375374,0.12035388752707366,0.013398882807004736,0.119780910301583,-0.0008778344781863959,-0.02784677440623967,0.013134811218690288
LBXGLU,0.20687037406091574,0.02698757794819235,0.20606625493475472,0.024577032557574936,0.04227606564081633,-0.012542143628596108,-0.3074165316786418,0.07446552131794879,0.6108321597278639,0.07814853396023441,0.11157751494821529,0.07729734637884694,-0.23213797876530246,0.21336462520363633,0.27613791818884453,0.40090533434826675,-0.14466485147632888,-0.09972326289236866,-0.1812277756106529,-0.06092792314832114,0.041340414508366695,0.0846684331004252,-0.019220037846525595,-0.026486679196501987
LBXIN,0.3374662252006559,0.129430050961228,0.059899666358125,-0.22022506480807133,0.031989054250974897,-0.07003069187409802,-0.013659080480548424,0.10081751055275834,-0.11389100244410344,0.05529668720136388,0.014272005820155845,-0.004188987030893789,0.09768787445503344,0.22522972791347676,0.024395409066140156,0.08308280658924677,0.7259367664441054,-0.21096563611508015,0.19304259693586542,-0.30084361050544683,0.12883716300817732,0.003858884953781049,0.03320754142254487,-4.963169919899174e-05
LBXTC,0.09481590770524036,-0.0325006891204951,0.33158748856363274,0.21742741064487478,0.3201956931030588,0.3552982204699246,0.13209272486778711,-0.25197870685871965,0.056871871578251854,-0.225117410455218,-0.34714015018726135,0.2766940809068453,-0.02726684112211093,0.016018027767663704,-0.17235117882432097,-0.07427184702605577,-0.03667181951469419,-0.1686946673569814,0.005566054828084932,-0.04553601577936009,0.41539982699264305,-0.1762212689327472,-0.0009479904796649424,0.017501984223009484
