,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
BMXBMI,0.39650933458569354,0.19581198373649208,-0.0821209475328967,-0.13016046492786817,-0.17548306010869674,-0.12858117646945574,0.1755205079157944,-0.1405502421147913,0.11011536056129234,0.02796341216794906,-0.06972892052941956,-0.0732661623691917,0.060113627148729615,-0.0040139284870996704,-0.11196271687754702,0.004533384692301877,-0.022617623210250022,-0.075062295039905,0.0858232944121687,-0.005799974484998888,-0.011070220372778106,-0.03055796729321326,-0.7106689418575441,0.3519772001523888
BMXWAIST,0.42885777115943724,0.14893769985941363,-0.0534327300223187,-0.09617536008621566,-0.13015101652610755,-0.12150907758714397,0.13012977604128614,-0.12651609144050766,0.07888301712347252,0.06558318679746353,-0.08204288007806432,-0.05610158296319272,0.0841122247771765,-0.03683981978368331,-0.10597927688741321,-0.07206611545512928,-0.035429323102103505,-0.10456582552165973,0.07188259104324046,0.006739547316961277,-0.021483537048936182,0.02948496045360228,0.6932156957245517,0.41546363678003356
DXDTOBMD,0.12383812961186819,-0.18244672271621432,-0.28613816217167504,0.11153144832644551,-0.3127904506637691,0.2317867302940437,0.026880416061536853,0.19096740549375046,0.38516316977425674,-0.1928461671997565,-0.06177180478853688,0.08863622583737654,0.00982433870504195,0.11343172797781784,-0.07136805915209786,0.4484174472801112,-0.12930197514048017,0.367956077601716,-0.21405584506976053,-0.11995933686857245,0.025501148507698183,-0.1891694443915551,0.054554737325803015,0.015138657929930027
DXDTOPF,0.12482029825904045,0.42953305130128583,0.1371689767938441,-0.10260878252815528,-0.04014436456819518,-0.21023993376280878,0.20222347046141617,-0.16041342888482474,-0.014824623107804538,0.11294608261994143,-0.10361939123494923,-0.1514776671769242,0.07764460083065469,-0.014428143128916743,-0.09814351885594229,0.05173013415718987,-0.007423713848963513,0.12387108434473024,-0.2010976676604748,-0.18079837262887027,0.21295999801362417,-0.3620326676283912,0.06575103612796346,-0.5689145865385818
DXDTOLE,0.3658978548843843,-0.20622069275187982,-0.23635860852111137,-0.04774187848347299,-0.18236307645243335,0.03364845069886315,0.01993102051061951,-0.00918049607066386,0.11997320666996764,-0.05005000524564647,-0.05665747845646447,0.10037249829268272,0.028575662412672176,-0.04911853604241328,-0.08265453957313648,-0.09148291483891619,-0.04700720132267301,-0.2638810641751554,0.24012948334485312,0.09077039793850063,-0.19874368352823396,0.3650860467887715,-0.000794596388058455,-0.6094520990216964
Avg_Systolic_BP,0.23038137706794581,-0.054344918452902964,0.22858544251238605,0.5102517679549156,-0.10428042318050688,-0.13834423702842716,0.0014762608588116122,0.09975066874344567,-0.013349142443136359,-0.06181890899319956,0.08093576768527194,-0.20911547817039852,-0.15309194739988086,0.07765902130675265,0.02318313511528741,-0.13237368791877396,-0.014212702473873646,0.22463011141881856,0.20567009267873002,0.5644041656947141,-0.05394151690159775,-0.2675405769354783,-0.00395636288988277,-0.05977252375832678
Avg_Diastolic_BP,0.2110751596736553,-0.06735619675920573,0.20580267215731282,0.5212912437670276,-0.07729603971201734,-0.1886101061090766,-0.06007675574548668,0.21701794580311495,-0.1370499560017569,-0.018275190407335454,0.01913566697049757,-0.1461168293851555,-0.10714258152488071,-0.11511305178832303,0.024843652910961054,-0.018613844782595448,-0.1335024752476277,-0.12950884271743224,-0.1831316851619507,-0.5822202919742576,0.04753360580720381,0.25665503161387043,-0.03993255545606808,0.0345031554135658
BPXPLS,0.07221379155299508,0.09683376810471367,0.29349228612550443,-0.16228358820714864,-0.05371958559615312,0.007145457129526647,-0.15578221873577316,0.5662707836056442,-0.1304164669652327,0.17067130681613263,-0.33357465000685527,0.20832642900433002,0.22793945978464455,-0.40826221004081253,-0.16110110511066908,0.15077213680967017,0.026899751110701826,0.05101091676190145,-0.012435876890578783,0.16081852413824768,-0.1615039684992837,-0.02217482546356357,-0.028149576073922808,0.015073489353870023
LBXGLU,0.18893754711163585,0.03468215145955253,0.23563914736689157,-0.009452609790877416,0.08409453511400969,0.2760239272137796,-0.290902607283928,0.13906778381044083,0.49512445622536905,0.24676859814805002,0.09495240456945604,-0.05338378277957981,0.0864489553047642,0.26961058737647026,0.04154541341872976,-0.2724405274910517,0.4383434598650428,-0.11133049966236126,-0.09562271375686404,-0.13972421944870766,-0.0427040369665161,-0.10115010576515464,-0.019955654897648806,-0.02404520850984763
LBXIN,0.2785385621065616,0.10999522509172846,0.022712060581395972,-0.21965854203486782,0.04886639940952117,-0.05469269467174035,-0.004497782282763783,0.25393208085234975,-0.2124574819268815,0.05652815982172233,0.20518833603837636,0.22128714110897896,0.025659964550450706,0.36123698469534576,0.6332664463477372,0.07392341334455173,-0.2914410937182321,0.014062935319426519,0.057710623074071,-0.0552597960592821,-0.11154695403555907,-0.09897038364710471,0.0037458353443415027,-0.029213140194024545
