feature,category,cohort_mean,cohort_std,cohort_median,cohort_q25,cohort_q75,cohort_iqr,c0_n,c0_mean,c0_std,c0_median,c0_q25,c0_q75,c0_zscore,c1_n,c1_mean,c1_std,c1_median,c1_q25,c1_q75,c1_zscore
BMXBMI,primary,29.75885765283356,7.108538973996684,28.6,24.8,33.5,8.7,2048,34.67900390625,6.777328551865832,33.5,29.9,38.0,0.6921459207601637,2434,25.618981101068204,4.110813138308408,25.5,22.7,28.2,-0.5823807911737118
BMXWAIST,primary,100.88123605533244,16.934123723888767,99.5,89.0,111.3,22.299999999999997,2048,113.6986328125,13.796094407291775,112.4,103.9,121.42500000000001,0.7568975499503531,2434,90.09650780608052,10.647461781212895,90.5,82.225,97.5,-0.6368636739105682
Avg_Systolic_BP,primary,126.51070950468541,19.633588362756402,124.0,113.0,137.0,24.0,2048,131.6865234375,19.807855074221575,128.0,118.0,142.0,0.26362037530708154,2434,122.1557107641742,18.393738833804896,119.0,108.0,132.0,-0.22181369294531744
Avg_Diastolic_BP,primary,72.64078536367693,12.820614123086347,73.0,65.0,80.0,15.0,2048,75.33837890625,13.000028248024037,75.0,67.0,84.0,0.21041063373988153,2434,70.37099424815119,12.217140637528042,71.0,64.0,77.0,-0.1770423080933755
BPXPLS,primary,71.4417670682731,11.497157224146177,70.0,64.0,78.0,14.0,2048,72.6337890625,11.647932188929788,72.0,64.0,80.0,0.10367971586258183,2434,70.43878389482333,11.273883244177265,70.0,62.0,78.0,-0.08723749305117891
LBXTC,primary,188.45604640785365,41.463346098199615,185.0,160.0,214.0,54.0,2048,189.2998046875,43.4544717914295,187.0,159.75,216.0,0.020349498027680612,2434,187.74609695973706,39.705859991723294,184.0,160.0,212.0,-0.017122338521237096
LBDHDD,primary,53.186523873270865,15.591413716056683,50.0,42.0,61.75,19.75,2048,45.3544921875,10.973313070445064,44.0,38.0,51.0,-0.5023297969256704,2434,59.77649958915366,15.853319841941365,58.0,48.0,68.0,0.42266697785693186
LBXSTR,primary,144.80008924587239,106.74744880497168,118.0,83.0,171.0,88.0,2048,186.30517578125,134.76319904510976,150.5,108.0,221.0,0.38881572346714993,2434,109.8771569433032,55.10777196549733,96.0,71.0,135.0,-0.327154725415252
LBXSATSI,primary,22.41387773315484,16.594439428676658,18.0,13.0,26.0,13.0,2048,26.59228515625,20.211419889384967,21.0,15.0,31.0,0.2517956355834775,2434,18.89811010682005,11.679947780304406,16.0,12.0,22.0,-0.2118641995377822
LBXSAL,primary,4.052074966532798,0.33309786093762966,4.1,3.9,4.3,0.3999999999999999,2048,3.964111328125,0.3324291305348147,4.0,3.8,4.2,-0.2640774640827507,2434,4.126088742810188,0.3152471253374414,4.1,3.9,4.3,0.2221982935256627
LBXSTP,primary,7.144779116465863,0.4371508123053643,7.1,6.9,7.4,0.5,2048,7.113720703125001,0.4358083237921901,7.1,6.8,7.4,-0.07104736504336483,2434,7.170912078882498,0.4366579796569135,7.2,6.9,7.4,0.059780198688914106
LBXSTB,primary,0.46079875055778674,0.2680828397023429,0.4,0.3,0.6,0.3,2048,0.43886718750000003,0.24616866011093294,0.4,0.3,0.5,-0.08180890310673262,2434,0.47925225965488905,0.2839610602335559,0.4,0.3,0.6,0.0688351000667986
LBXSCR,primary,0.9064881749219099,0.4723202694441063,0.85,0.71,1.01,0.30000000000000004,2048,1.000966796875,0.6472829559641402,0.92,0.76,1.09,0.20003084361441015,2434,0.8269926047658175,0.21102511997517312,0.8,0.68,0.94,-0.16830861451204313
LBXSUA,primary,5.462182061579652,1.4951606723563395,5.3,4.4,6.4,2.0,2048,6.185791015625,1.4898871802080385,6.1,5.2,7.1,0.48396735375934996,2434,4.853327855382087,1.1991910625197395,4.8,4.0,5.7,-0.40721657374656883
LBXSBU,primary,15.119812583668006,6.172059853827163,14.0,11.0,18.0,7.0,2048,16.4873046875,7.338679304445742,15.0,12.0,19.0,0.2215617048794563,2434,13.969186524239934,4.68509757953502,13.0,11.0,16.0,-0.186424967786823
LBXSCA,primary,9.281459170013386,0.368155913161088,9.3,9.0,9.5,0.5,2048,9.2302734375,0.3755491318097114,9.2,9.0,9.5,-0.13903275944664942,2434,9.324527526705014,0.3562406504167294,9.3,9.1,9.5,0.11698401452208242
LBXSPH,primary,3.5609549308344493,0.5298892931532434,3.6,3.2,3.9,0.6999999999999997,2048,3.519970703125,0.5536631126654756,3.5,3.1,3.9,-0.07734488739253849,2434,3.5954396055875106,0.5065779308349838,3.6,3.3,3.9,0.06507901782248024
LBXSNASI,primary,140.2884872824632,2.77087483753236,140.0,138.0,142.0,4.0,2048,140.3173828125,2.905085510461744,140.0,138.0,142.0,0.010428305763005593,2434,140.26417419884962,2.6530532078204616,140.0,139.0,142.0,-0.008774515284577051
LBXSKSI,primary,4.076929941990183,0.36637714875650595,4.1,3.8,4.3,0.5,2048,4.111669921875,0.38616213734657207,4.1,3.9,4.3,0.09482026923001437,2434,4.047699260476581,0.34625120294960543,4.0,3.8,4.3,-0.07978303672270996
HOMA_IR,derived,4.50475184501845,8.566438638537617,2.6120370370370365,1.5950617283950617,4.685432098765432,3.09037037037037,966,6.966145489865297,11.94062104713614,4.26679012345679,2.6189012345679012,6.98288888888889,0.2873298635180598,1202,2.526626835931883,3.009669559317537,1.867925925925926,1.2067222222222223,2.9155,-0.23091568066426418
TC_HDL_ratio,derived,3.8008638630934324,1.3886935141886971,3.5765971316818774,2.8666666666666667,4.458207831325301,1.5915411646586342,2048,4.400713191243674,1.5850272416888307,4.16869918699187,3.404532967032967,5.105263157894737,0.431952278902005,2434,3.296142653540558,0.9382531011208912,3.1365384615384615,2.6,3.8333333333333335,-0.36345039736701223
TG_HDL_ratio,derived,3.2619425602849113,3.6268543551564356,2.2981481481481483,1.3941387559808613,3.82512077294686,2.4309820169659986,2048,4.696285756785617,4.752007882221351,3.4314263322884013,2.191489361702128,5.3974953617810755,0.39547857621066196,2434,2.055067101602313,1.427841735596586,1.648635477582846,1.0964827050136028,2.5625,-0.3327609384056842
RIDAGEYR,contextual,51.18005354752343,17.49543056859243,53.0,36.0,65.0,29.0,2048,53.576171875,16.426831702993905,55.0,41.0,66.0,0.13695680812669178,2434,49.16392769104355,18.105658668280455,50.0,33.0,63.0,-0.11523728144760292
RIAGENDR,contextual,1.5111557340473003,0.4999313082244581,2.0,1.0,2.0,1.0,2048,1.408203125,0.49162114182905853,1.0,1.0,2.0,-0.20593350997148765,2434,1.5977814297452753,0.4904463436472659,2.0,1.0,2.0,0.17327519655776777
RIDRETH3,contextual,3.48772869254797,1.64270075232236,3.0,3.0,4.0,1.0,2048,3.33056640625,1.5736606021476516,3.0,3.0,4.0,-0.09567310788394198,2434,3.6199671322925226,1.6876366270209298,3.0,3.0,4.0,0.08050062651861663
