feature,category,cohort_mean,cohort_std,cohort_median,cohort_q25,cohort_q75,cohort_iqr,c0_n,c0_mean,c0_std,c0_median,c0_q25,c0_q75,c0_zscore,c1_n,c1_mean,c1_std,c1_median,c1_q25,c1_q75,c1_zscore,c2_n,c2_mean,c2_std,c2_median,c2_q25,c2_q75,c2_zscore
BMXBMI,primary,29.017580144777664,6.628356889094913,27.9,24.2,32.95,8.750000000000004,365,26.330958904109586,4.920952111367519,25.9,22.6,29.4,-0.4053223575043392,261,36.46743295019157,5.83457637381097,35.6,32.6,39.6,1.1239365848979155,341,26.19120234604106,3.808509669549665,26.1,23.7,28.6,-0.4264070034289509
BMXWAIST,primary,96.89493278179938,15.743244802308542,95.6,85.6,106.5,20.900000000000006,365,88.98986301369864,11.687712211524754,88.5,80.0,97.3,-0.5021245535698949,261,115.05134099616859,11.722039076794182,114.2,106.2,121.9,1.1532824676464921,341,91.45953079178885,10.15333059306833,92.1,84.5,98.7,-0.34525296774992037
Avg_Systolic_BP,primary,119.28852119958636,16.137879727417726,117.0,108.0,127.0,19.0,365,113.48493150684932,14.14555099584548,110.0,104.0,121.0,-0.3596252909777811,261,127.28735632183908,17.586210537264925,125.0,116.0,133.0,0.49565588896185486,341,119.3782991202346,14.280200135923465,117.0,110.0,127.0,0.0055631794364978246
Avg_Diastolic_BP,primary,73.5253360910031,11.662220208532716,73.0,66.0,79.5,13.5,365,69.98082191780821,10.314140745723574,69.0,64.0,76.0,-0.303931336384947,261,78.89272030651341,11.493643087273272,78.0,71.0,85.0,0.4602369119718081,341,73.21114369501467,11.653678749390556,74.0,67.0,79.0,-0.026941044704210593
BPXPLS,primary,70.77145811789038,11.149115974018999,70.0,62.0,78.0,16.0,365,71.79178082191781,10.112577217198751,72.0,64.0,78.0,0.09151601852605296,261,74.8735632183908,11.634303983381159,74.0,68.0,82.0,0.36793097408437037,341,66.53958944281526,10.400892996520282,66.0,60.0,72.0,-0.37956988562471905
LBXTC,primary,188.9482936918304,37.82573388006937,186.0,162.5,212.0,49.5,365,185.92328767123288,35.59516929407151,182.0,163.0,206.0,-0.07997217000967195,261,196.49808429118775,41.56548350967264,193.0,168.0,223.0,0.19959402832195638,341,186.40762463343108,36.43399915786292,183.0,159.0,209.0,-0.06716773999560156
LBDHDD,primary,52.53671147880041,14.82689790177819,50.0,41.0,60.0,19.0,365,59.654794520547945,14.606985393266152,57.0,49.0,68.0,0.4800790488274597,261,44.50574712643678,11.334298081369994,43.0,37.0,49.0,-0.5416483208804236,341,51.064516129032256,13.85116056351802,48.0,41.0,59.0,-0.09929220255786589
LBXSTR,primary,130.32781799379524,107.54977220208536,101.0,72.0,155.0,83.0,365,96.43013698630136,47.78889786965763,83.0,64.0,114.0,-0.31518133710037377,261,189.91954022988506,162.95647496216745,150.0,100.0,222.0,0.5540850623478527,341,121.0,77.87999818725639,97.0,69.0,145.0,-0.08673024407962783
LBXSATSI,primary,23.05377456049638,16.761918404997456,18.0,13.0,27.0,14.0,365,16.273972602739725,9.87345797387545,13.0,11.0,18.0,-0.4044764921260624,261,29.325670498084293,21.30161767129641,24.0,16.0,35.0,0.3741753053587225,341,25.51026392961877,16.165068919291077,21.0,16.0,30.0,0.14655180330611828
LBXSAL,primary,4.061116856256463,0.3281133625289034,4.1,3.8,4.3,0.5,365,3.975068493150685,0.29595776395129897,4.0,3.8,4.2,-0.26225193159634963,261,3.909578544061303,0.3051232641197702,3.9,3.8,4.1,-0.46184742683806845,341,4.269208211143694,0.2681455169964995,4.3,4.1,4.5,0.6342056699044084
LBXSTP,primary,7.176732161323681,0.40891523623387427,7.2,6.9,7.4,0.5,365,7.0895890410958895,0.40869814204146304,7.1,6.8,7.3,-0.21310802950357904,261,7.144444444444445,0.39625382523969904,7.1,6.9,7.4,-0.07895943711123929,341,7.294721407624634,0.39149223767274527,7.3,7.0,7.5,0.28854206409044164
LBXSTB,primary,0.475904860392968,0.25925634860717095,0.4,0.3,0.6,0.3,365,0.4019178082191781,0.19448902857729872,0.4,0.3,0.5,-0.2853818337382208,261,0.4226053639846743,0.211556760454952,0.4,0.3,0.5,-0.20558607993455105,341,0.5958944281524926,0.30618262619964287,0.5,0.4,0.7,0.46282210022688625
