cluster_id,feature,system,evidence_tier,qualification,literature_direction,cluster_zscore,cluster_direction,p_value,q_value_fdr,stat_significance,effect_size_name,effect_size_val,concordance,limitation_qualification,cohort
0,BMXBMI,Body composition,B — indirect,General adult body-size phenotype proxy,Higher,0.6921459207601637,Higher,0.0,0.0,q < 0.05,Cohen's d,1.6496039292544828,Concordant,"Influenced by age, diet, activity; not direct lifelong Prakriti.",A
0,BMXWAIST,Body composition,B — indirect,Abdominal adiposity proxy,Higher,0.7568975499503531,Higher,0.0,0.0,q < 0.05,Cohen's d,1.9365875603732232,Concordant,"Plausible phenotype proxy, not an established biomarker.",A
0,Avg_Systolic_BP,Cardiovascular / autonomic,B — indirect,Vascular state,Exploratory / Unspecified,0.26362037530708154,Higher,7.715410000965637e-60,2.094182714547816e-59,q < 0.05,Cohen's d,0.5002288998473491,Unclear / Insufficient Evidence,Audited literature did not establish clear baseline BP difference across healthy groups.,A
0,Avg_Diastolic_BP,Cardiovascular / autonomic,B — indirect,Vascular state,Exploratory / Unspecified,0.21041063373988153,Higher,1.878198539918939e-38,3.568577225845984e-38,q < 0.05,Cohen's d,0.39483529358680913,Unclear / Insufficient Evidence,"Medication, age, current health strongly affect measurement.",A
0,BPXPLS,Cardiovascular / autonomic,B — indirect,Resting pulse rate (pace/movement),Higher,0.10367971586258183,Near cohort reference,1.9920745394461573e-10,2.911493557652076e-10,q < 0.05,Cohen's d,0.19176530450924462,Unclear / Insufficient Evidence,"Single examination pulse affected by acute anxiety, caffeine, fitness.",A
0,LBXTC,Lipid metabolism,"A — direct, male-specific",Male-specific (Kapha males),Higher,0.020349498027680612,Near cohort reference,0.21500899709295987,0.22695394137590208,q >= 0.05,Cohen's d,0.03747418573418814,Unclear / Insufficient Evidence,Higher baseline TC reported in Kapha males; female differences absent.,A
0,LBDHDD,Lipid metabolism,"A — direct, male-specific",Male-specific (Kapha males),Lower,-0.5023297969256704,Lower,2.1822337559233217e-246,1.382081378751437e-245,q < 0.05,Cohen's d,-1.0421480383483332,Concordant,Lower HDL reported in Kapha males; do not generalize as universal.,A
0,LBXSTR,Lipid metabolism,"A — direct, male-specific",Male-specific (Kapha males),Higher,0.38881572346714993,Higher,1.7544189006223703e-115,6.666791822365007e-115,q < 0.05,Cohen's d,0.7662968640369454,Concordant,Higher TG reported in Kapha males; cited sample was young adults.,A
0,LBXSATSI,Hepatic / biliary,"A — direct, male-specific",Male-specific ALT (Kapha males),Higher,0.2517956355834775,Higher,1.534214078430237e-50,3.643758436271813e-50,q < 0.05,Cohen's d,0.4764948547762748,Concordant,Higher ALT reported in Kapha males; retain sex qualification.,A
0,LBXSAL,Hepatic / biliary,C — weak/speculative,Albumin,Exploratory / Unspecified,-0.2640774640827507,Lower,2.882272672955841e-60,9.127196797693496e-60,q < 0.05,Cohen's d,-0.5011502708907283,Unclear / Insufficient Evidence,General clinical relevance only.,A
0,LBXSTP,Hepatic / biliary,C — weak/speculative,Total protein,Exploratory / Unspecified,-0.07104736504336483,Near cohort reference,1.2565627256379229e-05,1.4043936345365019e-05,q < 0.05,Cohen's d,-0.13109171140414752,Unclear / Insufficient Evidence,No direct association established.,A
0,LBXSTB,Hepatic / biliary,B — indirect,Total bilirubin (Pitta biliary/pigmentation),Higher,-0.08180890310673262,Near cohort reference,3.5464382317162243e-07,4.4921550935072173e-07,q < 0.05,Cohen's d,-0.15105320345500647,Unclear / Insufficient Evidence,Functional alignment; empirical source showed no baseline elevation.,A
0,LBXSCR,Renal / waste clearance,B — indirect,Creatinine,Exploratory / Unspecified,0.20003084361441015,Higher,1.4278119890883182e-30,2.4662207084252767e-30,q < 0.05,Cohen's d,0.374660616602089,Unclear / Insufficient Evidence,No baseline difference established across groups.,A
0,LBXSUA,Renal / waste clearance,"A — direct, male-specific",Male-specific (Kapha males),Higher,0.48396735375934996,Higher,5.536898823699378e-206,2.6300269412572044e-205,q < 0.05,Cohen's d,0.9944764648118782,Concordant,Higher serum uric acid reported in Kapha males.,A
0,LBXSBU,Renal / waste clearance,B — indirect,Blood urea nitrogen,Exploratory / Unspecified,0.2215617048794563,Higher,6.319218572623974e-40,1.3340572542206168e-39,q < 0.05,Cohen's d,0.41663839099559824,Unclear / Insufficient Evidence,"Physiologically relevant, no direct baseline association.",A
0,LBXSCA,Electrolytes / minerals,C — weak/speculative,Calcium,Exploratory / Unspecified,-0.13903275944664942,Near cohort reference,1.446822363549311e-17,2.2908020756197427e-17,q < 0.05,Cohen's d,-0.2580961994051922,Unclear / Insufficient Evidence,Tightly homeostatically regulated; no established association.,A
0,LBXSPH,Electrolytes / minerals,"B — indirect, female-specific",Female-specific (Pitta females),Higher,-0.07734488739253849,Near cohort reference,2.3762702273710903e-06,2.82182089500317e-06,q < 0.05,Cohen's d,-0.14276785913518866,Unclear / Insufficient Evidence,Higher phosphorus reported in Pitta females; substantial variance.,A
0,LBXSNASI,Electrolytes / minerals,C — weak/speculative,Sodium,Exploratory / Unspecified,0.010428305763005593,Near cohort reference,0.5252092222874025,0.5252092222874025,q >= 0.05,Cohen's d,0.019201556953655944,Unclear / Insufficient Evidence,Strong homeostatic regulation.,A
0,LBXSKSI,Electrolytes / minerals,C — weak/speculative,Potassium,Exploratory / Unspecified,0.09482026923001437,Near cohort reference,7.559108078370709e-09,1.0258789534931677e-08,q < 0.05,Cohen's d,0.17524810944701522,Unclear / Insufficient Evidence,Not a Dosha biomarker; tightly regulated.,A
1,BMXBMI,Body composition,B — indirect,General adult body-size phenotype proxy,Higher,-0.5823807911737118,Lower,0.0,0.0,q < 0.05,Cohen's d,1.6496039292544828,Discordant,"Influenced by age, diet, activity; not direct lifelong Prakriti.",A
1,BMXWAIST,Body composition,B — indirect,Abdominal adiposity proxy,Higher,-0.6368636739105682,Lower,0.0,0.0,q < 0.05,Cohen's d,1.9365875603732232,Discordant,"Plausible phenotype proxy, not an established biomarker.",A
1,Avg_Systolic_BP,Cardiovascular / autonomic,B — indirect,Vascular state,Exploratory / Unspecified,-0.22181369294531744,Lower,7.715410000965637e-60,2.094182714547816e-59,q < 0.05,Cohen's d,0.5002288998473491,Unclear / Insufficient Evidence,Audited literature did not establish clear baseline BP difference across healthy groups.,A
1,Avg_Diastolic_BP,Cardiovascular / autonomic,B — indirect,Vascular state,Exploratory / Unspecified,-0.1770423080933755,Near cohort reference,1.878198539918939e-38,3.568577225845984e-38,q < 0.05,Cohen's d,0.39483529358680913,Unclear / Insufficient Evidence,"Medication, age, current health strongly affect measurement.",A
1,BPXPLS,Cardiovascular / autonomic,B — indirect,Resting pulse rate (pace/movement),Higher,-0.08723749305117891,Near cohort reference,1.9920745394461573e-10,2.911493557652076e-10,q < 0.05,Cohen's d,0.19176530450924462,Unclear / Insufficient Evidence,"Single examination pulse affected by acute anxiety, caffeine, fitness.",A
1,LBXTC,Lipid metabolism,"A — direct, male-specific",Male-specific (Kapha males),Higher,-0.017122338521237096,Near cohort reference,0.21500899709295987,0.22695394137590208,q >= 0.05,Cohen's d,0.03747418573418814,Unclear / Insufficient Evidence,Higher baseline TC reported in Kapha males; female differences absent.,A
1,LBDHDD,Lipid metabolism,"A — direct, male-specific",Male-specific (Kapha males),Lower,0.42266697785693186,Higher,2.1822337559233217e-246,1.382081378751437e-245,q < 0.05,Cohen's d,-1.0421480383483332,Discordant,Lower HDL reported in Kapha males; do not generalize as universal.,A
1,LBXSTR,Lipid metabolism,"A — direct, male-specific",Male-specific (Kapha males),Higher,-0.327154725415252,Lower,1.7544189006223703e-115,6.666791822365007e-115,q < 0.05,Cohen's d,0.7662968640369454,Discordant,Higher TG reported in Kapha males; cited sample was young adults.,A
1,LBXSATSI,Hepatic / biliary,"A — direct, male-specific",Male-specific ALT (Kapha males),Higher,-0.2118641995377822,Lower,1.534214078430237e-50,3.643758436271813e-50,q < 0.05,Cohen's d,0.4764948547762748,Discordant,Higher ALT reported in Kapha males; retain sex qualification.,A
1,LBXSAL,Hepatic / biliary,C — weak/speculative,Albumin,Exploratory / Unspecified,0.2221982935256627,Higher,2.882272672955841e-60,9.127196797693496e-60,q < 0.05,Cohen's d,-0.5011502708907283,Unclear / Insufficient Evidence,General clinical relevance only.,A
1,LBXSTP,Hepatic / biliary,C — weak/speculative,Total protein,Exploratory / Unspecified,0.059780198688914106,Near cohort reference,1.2565627256379229e-05,1.4043936345365019e-05,q < 0.05,Cohen's d,-0.13109171140414752,Unclear / Insufficient Evidence,No direct association established.,A
1,LBXSTB,Hepatic / biliary,B — indirect,Total bilirubin (Pitta biliary/pigmentation),Higher,0.0688351000667986,Near cohort reference,3.5464382317162243e-07,4.4921550935072173e-07,q < 0.05,Cohen's d,-0.15105320345500647,Unclear / Insufficient Evidence,Functional alignment; empirical source showed no baseline elevation.,A
1,LBXSCR,Renal / waste clearance,B — indirect,Creatinine,Exploratory / Unspecified,-0.16830861451204313,Near cohort reference,1.4278119890883182e-30,2.4662207084252767e-30,q < 0.05,Cohen's d,0.374660616602089,Unclear / Insufficient Evidence,No baseline difference established across groups.,A
1,LBXSUA,Renal / waste clearance,"A — direct, male-specific",Male-specific (Kapha males),Higher,-0.40721657374656883,Lower,5.536898823699378e-206,2.6300269412572044e-205,q < 0.05,Cohen's d,0.9944764648118782,Discordant,Higher serum uric acid reported in Kapha males.,A
1,LBXSBU,Renal / waste clearance,B — indirect,Blood urea nitrogen,Exploratory / Unspecified,-0.186424967786823,Near cohort reference,6.319218572623974e-40,1.3340572542206168e-39,q < 0.05,Cohen's d,0.41663839099559824,Unclear / Insufficient Evidence,"Physiologically relevant, no direct baseline association.",A
1,LBXSCA,Electrolytes / minerals,C — weak/speculative,Calcium,Exploratory / Unspecified,0.11698401452208242,Near cohort reference,1.446822363549311e-17,2.2908020756197427e-17,q < 0.05,Cohen's d,-0.2580961994051922,Unclear / Insufficient Evidence,Tightly homeostatically regulated; no established association.,A
1,LBXSPH,Electrolytes / minerals,"B — indirect, female-specific",Female-specific (Pitta females),Higher,0.06507901782248024,Near cohort reference,2.3762702273710903e-06,2.82182089500317e-06,q < 0.05,Cohen's d,-0.14276785913518866,Unclear / Insufficient Evidence,Higher phosphorus reported in Pitta females; substantial variance.,A
1,LBXSNASI,Electrolytes / minerals,C — weak/speculative,Sodium,Exploratory / Unspecified,-0.008774515284577051,Near cohort reference,0.5252092222874025,0.5252092222874025,q >= 0.05,Cohen's d,0.019201556953655944,Unclear / Insufficient Evidence,Strong homeostatic regulation.,A
1,LBXSKSI,Electrolytes / minerals,C — weak/speculative,Potassium,Exploratory / Unspecified,-0.07978303672270996,Near cohort reference,7.559108078370709e-09,1.0258789534931677e-08,q < 0.05,Cohen's d,0.17524810944701522,Unclear / Insufficient Evidence,Not a Dosha biomarker; tightly regulated.,A
0,BMXBMI,Body composition,B — indirect,General adult body-size phenotype proxy,Higher,-0.4053223575043392,Lower,1.1470777587877411e-132,6.882466552726447e-132,q < 0.05,Eta-squared (eta^2),0.4675673059689124,Discordant,"Influenced by age, diet, activity; not direct lifelong Prakriti.",B
0,BMXWAIST,Body composition,B — indirect,Abdominal adiposity proxy,Higher,-0.5021245535698949,Lower,1.8933967427749474e-144,2.272076091329937e-143,q < 0.05,Eta-squared (eta^2),0.49670802760274574,Discordant,"Plausible phenotype proxy, not an established biomarker.",B
0,Avg_Systolic_BP,Cardiovascular / autonomic,B — indirect,Vascular state,Exploratory / Unspecified,-0.3596252909777811,Lower,2.3233175789237702e-26,3.982830135297892e-26,q < 0.05,Eta-squared (eta^2),0.11525594590394155,Unclear / Insufficient Evidence,Audited literature did not establish clear baseline BP difference across healthy groups.,B
0,Avg_Diastolic_BP,Cardiovascular / autonomic,B — indirect,Vascular state,Exploratory / Unspecified,-0.303931336384947,Lower,5.0989431801610224e-21,7.198508019050856e-21,q < 0.05,Eta-squared (eta^2),0.09238986586512159,Unclear / Insufficient Evidence,"Medication, age, current health strongly affect measurement.",B
0,BPXPLS,Cardiovascular / autonomic,B — indirect,Resting pulse rate (pace/movement),Higher,0.09151601852605296,Near cohort reference,1.3188205319512701e-20,1.758427375935027e-20,q < 0.05,Eta-squared (eta^2),0.0905986972932899,Unclear / Insufficient Evidence,"Single examination pulse affected by acute anxiety, caffeine, fitness.",B
