model_1,model_2,target_k,common_n,adjusted_rand_index,cohort
kmeans_RAW,kmeans_LOG,2,4482,0.6379220818719711,A
kmeans_RAW,gmm_RAW,2,4482,0.04633679836831472,A
kmeans_RAW,gmm_LOG,2,4482,0.033769773780833616,A
kmeans_RAW,ward_RAW,2,4482,0.3030577393766789,A
kmeans_RAW,ward_LOG,2,4482,0.288310950963489,A
kmeans_RAW,spectral_RAW,2,4482,0.6371787363099455,A
kmeans_RAW,spectral_LOG,2,4482,0.5140404084805016,A
kmeans_LOG,gmm_RAW,2,4482,0.030923956870371236,A
kmeans_LOG,gmm_LOG,2,4482,0.014348159585688388,A
kmeans_LOG,ward_RAW,2,4482,0.24738381640727522,A
kmeans_LOG,ward_LOG,2,4482,0.32762400654705703,A
kmeans_LOG,spectral_RAW,2,4482,0.6181142053068274,A
kmeans_LOG,spectral_LOG,2,4482,0.6932618563931078,A
gmm_RAW,gmm_LOG,2,4482,0.27376759121660244,A
gmm_RAW,ward_RAW,2,4482,0.02848391951036849,A
gmm_RAW,ward_LOG,2,4482,-0.015545242384997925,A
gmm_RAW,spectral_RAW,2,4482,0.06075226222861752,A
gmm_RAW,spectral_LOG,2,4482,-0.006355831827135765,A
gmm_LOG,ward_RAW,2,4482,0.02711267531168144,A
gmm_LOG,ward_LOG,2,4482,-0.011963751087286999,A
gmm_LOG,spectral_RAW,2,4482,0.02225537276480082,A
gmm_LOG,spectral_LOG,2,4482,-0.006164263228124304,A
ward_RAW,ward_LOG,2,4482,0.19223395235801782,A
ward_RAW,spectral_RAW,2,4482,0.2513990832378895,A
ward_RAW,spectral_LOG,2,4482,0.26962796793149063,A
ward_LOG,spectral_RAW,2,4482,0.27774425080472404,A
ward_LOG,spectral_LOG,2,4482,0.3590874240389461,A
spectral_RAW,spectral_LOG,2,4482,0.5191329734996085,A
kmeans_RAW,kmeans_LOG,3,967,0.8979408315002052,B
kmeans_RAW,gmm_RAW,3,967,0.1401108260027348,B
kmeans_RAW,gmm_LOG,3,967,0.4920984234771402,B
kmeans_RAW,ward_RAW,3,967,0.33701356835149365,B
kmeans_RAW,ward_LOG,3,967,0.22957944494655294,B
kmeans_RAW,spectral_RAW,3,967,0.5428006229041447,B
kmeans_RAW,spectral_LOG,3,967,0.43190384258968395,B
kmeans_LOG,gmm_RAW,3,967,0.16025304721981043,B
kmeans_LOG,gmm_LOG,3,967,0.4506225619186665,B
kmeans_LOG,ward_RAW,3,967,0.3471623166068014,B
kmeans_LOG,ward_LOG,3,967,0.2311573545131508,B
kmeans_LOG,spectral_RAW,3,967,0.5285518186228896,B
kmeans_LOG,spectral_LOG,3,967,0.42103695160358307,B
gmm_RAW,gmm_LOG,3,967,0.12016934951269914,B
gmm_RAW,ward_RAW,3,967,0.12480784911469041,B
gmm_RAW,ward_LOG,3,967,0.2051098376937885,B
gmm_RAW,spectral_RAW,3,967,0.1624889915958024,B
gmm_RAW,spectral_LOG,3,967,0.18329680859168831,B
gmm_LOG,ward_RAW,3,967,0.2116238889491837,B
gmm_LOG,ward_LOG,3,967,0.20665306078959936,B
gmm_LOG,spectral_RAW,3,967,0.47703157743268515,B
gmm_LOG,spectral_LOG,3,967,0.42993732477852475,B
ward_RAW,ward_LOG,3,967,0.18745421022294473,B
ward_RAW,spectral_RAW,3,967,0.2721271587911539,B
ward_RAW,spectral_LOG,3,967,0.2304693897091879,B
ward_LOG,spectral_RAW,3,967,0.2467784609342583,B
ward_LOG,spectral_LOG,3,967,0.2976496163314306,B
spectral_RAW,spectral_LOG,3,967,0.7166211187251921,B
