feature,retained_k,raw_zscores,log_zscores,raw_directions,log_directions,persistence_category,cohort
BMXBMI,2,"[0.692, -0.582]","[0.544, -0.553]","[1, -1]","[1, -1]",Persistent,A
BMXWAIST,2,"[0.757, -0.637]","[0.628, -0.638]","[1, -1]","[1, -1]",Persistent,A
Avg_Systolic_BP,2,"[0.264, -0.222]","[0.263, -0.268]","[1, -1]","[1, -1]",Persistent,A
Avg_Diastolic_BP,2,"[0.21, -0.177]","[0.196, -0.199]","[1, 0]","[0, 0]",Partially Persistent,A
BPXPLS,2,"[0.104, -0.087]","[0.041, -0.042]","[0, 0]","[0, 0]",Persistent,A
LBXTC,2,"[0.02, -0.017]","[0.069, -0.071]","[0, 0]","[0, 0]",Persistent,A
LBDHDD,2,"[-0.502, 0.423]","[-0.495, 0.503]","[-1, 1]","[-1, 1]",Persistent,A
LBXSTR,2,"[0.389, -0.327]","[0.399, -0.406]","[1, -1]","[1, -1]",Persistent,A
LBXSATSI,2,"[0.252, -0.212]","[0.291, -0.295]","[1, -1]","[1, -1]",Persistent,A
LBXSAL,2,"[-0.264, 0.222]","[-0.064, 0.065]","[-1, 1]","[0, 0]",Partially Persistent,A
LBXSTP,2,"[-0.071, 0.06]","[0.038, -0.039]","[0, 0]","[0, 0]",Persistent,A
LBXSTB,2,"[-0.082, 0.069]","[0.007, -0.007]","[0, 0]","[0, 0]",Persistent,A
LBXSCR,2,"[0.2, -0.168]","[0.212, -0.216]","[1, 0]","[1, -1]",Partially Persistent,A
LBXSUA,2,"[0.484, -0.407]","[0.501, -0.509]","[1, -1]","[1, -1]",Persistent,A
LBXSBU,2,"[0.222, -0.186]","[0.247, -0.251]","[1, 0]","[1, -1]",Partially Persistent,A
LBXSCA,2,"[-0.139, 0.117]","[0.012, -0.012]","[0, 0]","[0, 0]",Persistent,A
LBXSPH,2,"[-0.077, 0.065]","[-0.052, 0.052]","[0, 0]","[0, 0]",Persistent,A
LBXSNASI,2,"[0.01, -0.009]","[0.021, -0.021]","[0, 0]","[0, 0]",Persistent,A
LBXSKSI,2,"[0.095, -0.08]","[0.11, -0.112]","[0, 0]","[0, 0]",Persistent,A
BMXBMI,3,"[-0.405, 1.124, -0.426]","[-0.446, 1.029, -0.428]","[-1, 1, -1]","[-1, 1, -1]",Persistent,B
BMXWAIST,3,"[-0.502, 1.153, -0.345]","[-0.37, 1.055, -0.519]","[-1, 1, -1]","[-1, 1, -1]",Persistent,B
Avg_Systolic_BP,3,"[-0.36, 0.496, 0.006]","[-0.005, 0.461, -0.37]","[-1, 1, 0]","[0, 1, -1]",Partially Persistent,B
Avg_Diastolic_BP,3,"[-0.304, 0.46, -0.027]","[-0.059, 0.451, -0.313]","[-1, 1, 0]","[0, 1, -1]",Partially Persistent,B
BPXPLS,3,"[0.092, 0.368, -0.38]","[-0.387, 0.334, 0.083]","[0, 1, -1]","[-1, 1, 0]",Partially Persistent,B
LBXTC,3,"[-0.08, 0.2, -0.067]","[-0.095, 0.226, -0.096]","[0, 0, 0]","[0, 1, 0]",Partially Persistent,B
LBDHDD,3,"[0.48, -0.542, -0.099]","[-0.073, -0.566, 0.528]","[1, -1, 0]","[0, -1, 1]",Partially Persistent,B
LBXSTR,3,"[-0.315, 0.554, -0.087]","[-0.126, 0.57, -0.348]","[-1, 1, 0]","[0, 1, -1]",Partially Persistent,B
LBXSATSI,3,"[-0.404, 0.374, 0.147]","[0.121, 0.402, -0.438]","[-1, 1, 0]","[0, 1, -1]",Partially Persistent,B
LBXSAL,3,"[-0.262, -0.462, 0.634]","[0.639, -0.419, -0.246]","[-1, -1, 1]","[1, -1, -1]",Representation-Dependent,B
LBXSTP,3,"[-0.213, -0.079, 0.289]","[0.284, -0.059, -0.213]","[-1, 0, 1]","[1, 0, -1]",Representation-Dependent,B
LBXSTB,3,"[-0.285, -0.206, 0.463]","[0.499, -0.234, -0.268]","[-1, -1, 1]","[1, -1, -1]",Representation-Dependent,B
LBXSCR,3,"[-0.628, -0.077, 0.732]","[0.722, -0.051, -0.621]","[-1, 0, 1]","[1, 0, -1]",Representation-Dependent,B
LBXSUA,3,"[-0.689, 0.328, 0.486]","[0.47, 0.338, -0.706]","[-1, 1, 1]","[1, 1, -1]",Representation-Dependent,B
LBXSBU,3,"[-0.302, 0.079, 0.263]","[0.278, 0.087, -0.325]","[-1, 0, 1]","[1, 0, -1]",Representation-Dependent,B
LBXSCA,3,"[-0.272, -0.233, 0.469]","[0.482, -0.243, -0.245]","[-1, -1, 1]","[1, -1, -1]",Representation-Dependent,B
LBXSPH,3,"[0.128, -0.218, 0.03]","[0.027, -0.187, 0.127]","[0, -1, 0]","[0, 0, 0]",Partially Persistent,B
LBXSNASI,3,"[-0.025, -0.086, 0.093]","[0.09, -0.059, -0.034]","[0, 0, 0]","[0, 0, 0]",Persistent,B
LBXSKSI,3,"[-0.145, 0.046, 0.121]","[0.116, 0.05, -0.147]","[0, 0, 0]","[0, 0, 0]",Persistent,B
DXDTOBMD,3,"[-0.464, 0.171, 0.365]","[0.389, 0.104, -0.442]","[-1, 0, 1]","[1, 0, -1]",Representation-Dependent,B
DXDTOPF,3,"[0.449, 0.595, -0.936]","[-0.952, 0.535, 0.438]","[1, 1, -1]","[-1, 1, 1]",Representation-Dependent,B
DXDTOLE,3,"[-0.896, 0.729, 0.401]","[0.386, 0.681, -0.909]","[-1, 1, 1]","[1, 1, -1]",Representation-Dependent,B
LBXGLU,3,"[-0.237, 0.531, -0.153]","[-0.153, 0.455, -0.229]","[-1, 1, 0]","[0, 1, -1]",Partially Persistent,B
LBXIN,3,"[-0.278, 0.791, -0.308]","[-0.345, 0.779, -0.317]","[-1, 1, -1]","[-1, 1, -1]",Persistent,B
